date,value
2014-01-31,92.09
2014-02-28,94.114
2014-03-31,93.764
2014-04-30,92.831
2014-05-31,93.089
2014-06-30,93.062
2014-07-31,91.905
2014-08-31,94.197
2014-09-30,93.914
2014-10-31,93.357
2014-11-30,93.805
2014-12-31,96.301
2015-01-31,94.333
2015-02-28,92.228
2015-03-31,98.257
2015-04-30,94.25
2015-05-31,96.139
2015-06-30,94.954
2015-07-31,96.811
2015-08-31,96.259
2015-09-30,97.118
2015-10-31,94.731
2015-11-30,96.696
2015-12-31,94.995
2016-01-31,95.924
2016-02-29,97.891
2016-03-31,97.938
2016-04-30,96.509
2016-05-31,96.304
2016-06-30,97.478
2016-07-31,96.921
2016-08-31,97.849
2016-09-30,98.692
2016-10-31,98.076
2016-11-30,98.914
2016-12-31,98.649
2017-01-31,100.118
2017-02-28,99.568
2017-03-31,98.811
2017-04-30,100.018
2017-05-31,100.136
2017-06-30,98.974
2017-07-31,99.39
2017-08-31,100.638
2017-09-30,99.62
2017-10-31,101.426
2017-11-30,100.828
2017-12-31,102.603
2018-01-31,102.466
2018-02-28,102.249
2018-03-31,100.261
2018-04-30,101.835
2018-05-31,101.816
2018-06-30,101.852
2018-07-31,101.991
2018-08-31,95.904
2018-09-30,96.839
2018-10-31,97.683
2018-11-30,98.195
2018-12-31,98.957
2019-01-31,98.72
2019-02-28,99.427
2019-03-31,99.482
2019-04-30,99.552
2019-05-31,99.219
2019-06-30,99.781
2019-07-31,99.383
2019-08-31,99.696
2019-09-30,100.518
2019-10-31,101.424
2019-11-30,101.196
2019-12-31,101.602
2020-01-31,103.54
2020-02-29,104.541
2020-03-31,103.754
2020-04-30,105.247
2020-05-31,105.629
2020-06-30,103.536
2020-07-31,105.124
2020-08-31,101.751
2020-09-30,100.624
2020-10-31,101.443
2020-11-30,103.327
2020-12-31,102.371
2021-01-31,104.162
2021-02-28,108.098
2021-03-31,107.657
2021-04-30,108.232
2021-05-31,106.786
2021-06-30,107.766
2021-07-31,108.809
2021-08-31,109.906
2021-09-30,109.516
2021-10-31,107.088
2021-11-30,111.161
2021-12-31,111.499
2022-01-31,111.948
2022-02-28,112.641
2022-03-31,112.293
2022-04-30,115.347
2022-05-31,117.911
2022-06-30,109.524
2022-07-31,112.689
2022-08-31,115.026
2022-09-30,119.563
2022-10-31,117.105
2022-11-30,119.016
2022-12-31,119.749
2023-01-31,117.776
2023-02-28,111.767
2023-03-31,112.594
2023-04-30,120.006
2023-05-31,120.933
2023-06-30,120.256
2023-07-31,119.11
2023-08-31,115.643
2023-09-30,119.447
2023-10-31,118.469
2023-11-30,122.755
2023-12-31,122.317
2024-01-31,121.451
2024-02-29,123.078
2024-03-31,122.587
2024-04-30,121.452
