date,value
2014-01-31,95.801
2014-02-28,95.801
2014-03-31,95.801
2014-04-30,95.801
2014-05-31,95.833
2014-06-30,95.833
2014-07-31,95.833
2014-08-31,95.833
2014-09-30,95.833
2014-10-31,98.901
2014-11-30,98.901
2014-12-31,99.03
2015-01-31,99.038
2015-02-28,99.07
2015-03-31,99.07
2015-04-30,99.038
2015-05-31,99.038
2015-06-30,99.217
2015-07-31,99.187
2015-08-31,99.187
2015-09-30,99.187
2015-10-31,99.187
2015-11-30,99.187
2015-12-31,99.187
2016-01-31,99.208
2016-02-29,99.208
2016-03-31,99.21
2016-04-30,99.309
2016-05-31,99.33
2016-06-30,99.33
2016-07-31,99.188
2016-08-31,99.038
2016-09-30,99.467
2016-10-31,99.468
2016-11-30,99.441
2016-12-31,99.468
2017-01-31,99.559
2017-02-28,99.893
2017-03-31,99.578
2017-04-30,99.594
2017-05-31,99.597
2017-06-30,99.517
2017-07-31,99.559
2017-08-31,99.562
2017-09-30,99.517
2017-10-31,99.715
2017-11-30,99.712
2017-12-31,99.594
2018-01-31,99.505
2018-02-28,99.748
2018-03-31,99.332
2018-04-30,99.727
2018-05-31,99.738
2018-06-30,99.643
2018-07-31,99.753
2018-08-31,99.911
2018-09-30,99.854
2018-10-31,99.872
2018-11-30,99.911
2018-12-31,100.006
2019-01-31,100.181
2019-02-28,100.168
2019-03-31,99.932
2019-04-30,99.863
2019-05-31,100.029
2019-06-30,99.993
2019-07-31,100.205
2019-08-31,99.991
2019-09-30,100.066
2019-10-31,99.899
2019-11-30,100.065
2019-12-31,99.611
2020-01-31,100.065
2020-02-29,100.133
2020-03-31,99.667
2020-04-30,101.252
2020-05-31,101.393
2020-06-30,101.077
2020-07-31,100.331
2020-08-31,100.961
2020-09-30,101.006
2020-10-31,101.041
2020-11-30,101.159
2020-12-31,101.041
2021-01-31,100.959
2021-02-28,100.953
2021-03-31,100.953
2021-04-30,100.765
2021-05-31,101.075
2021-06-30,101.129
2021-07-31,101.345
2021-08-31,101.343
2021-09-30,101.357
2021-10-31,101.414
2021-11-30,101.408
2021-12-31,101.664
2022-01-31,101.651
2022-02-28,101.733
2022-03-31,101.768
2022-04-30,101.942
2022-05-31,102.286
2022-06-30,102.354
2022-07-31,102.658
2022-08-31,102.658
2022-09-30,102.658
2022-10-31,103.649
2022-11-30,103.703
2022-12-31,103.652
2023-01-31,104.843
2023-02-28,104.818
2023-03-31,104.818
2023-04-30,104.696
2023-05-31,104.696
2023-06-30,104.742
2023-07-31,104.746
2023-08-31,104.747
2023-09-30,104.744
2023-10-31,104.744
2023-11-30,104.757
2023-12-31,104.757
2024-01-31,105.191
2024-02-29,105.4
2024-03-31,105.385
2024-04-30,105.553
