date,value
2014-01-31,90.798
2014-02-28,90.96
2014-03-31,91.368
2014-04-30,91.71
2014-05-31,91.503
2014-06-30,91.395
2014-07-31,92.159
2014-08-31,92.507
2014-09-30,92.465
2014-10-31,92.346
2014-11-30,91.999
2014-12-31,92.229
2015-01-31,93.782
2015-02-28,94.013
2015-03-31,93.947
2015-04-30,94.072
2015-05-31,94.562
2015-06-30,94.98
2015-07-31,94.937
2015-08-31,94.834
2015-09-30,95.102
2015-10-31,94.913
2015-11-30,94.863
2015-12-31,94.536
2016-01-31,95.033
2016-02-29,95.116
2016-03-31,95.166
2016-04-30,95.341
2016-05-31,95.166
2016-06-30,94.743
2016-07-31,95.095
2016-08-31,95.187
2016-09-30,95.482
2016-10-31,95.722
2016-11-30,95.659
2016-12-31,95.318
2017-01-31,96.056
2017-02-28,96.119
2017-03-31,96.049
2017-04-30,96.42
2017-05-31,96.765
2017-06-30,96.407
2017-07-31,96.579
2017-08-31,96.653
2017-09-30,96.446
2017-10-31,97.489
2017-11-30,97.707
2017-12-31,97.145
2018-01-31,97.337
2018-02-28,97.803
2018-03-31,97.548
2018-04-30,97.749
2018-05-31,98.501
2018-06-30,98.74
2018-07-31,98.862
2018-08-31,99.042
2018-09-30,99.591
2018-10-31,99.633
2018-11-30,98.865
2018-12-31,98.806
2019-01-31,99.43
2019-02-28,99.657
2019-03-31,99.398
2019-04-30,99.882
2019-05-31,99.381
2019-06-30,99.514
2019-07-31,100.29
2019-08-31,100.229
2019-09-30,100.963
2019-10-31,100.311
2019-11-30,100.575
2019-12-31,100.37
2020-01-31,100.921
2020-02-29,101.366
2020-03-31,101.552
2020-04-30,101.872
2020-05-31,102.058
2020-06-30,102.762
2020-07-31,103.025
2020-08-31,102.816
2020-09-30,102.672
2020-10-31,102.996
2020-11-30,102.881
2020-12-31,102.756
2021-01-31,103.235
2021-02-28,103.376
2021-03-31,103.536
2021-04-30,103.29
2021-05-31,103.417
2021-06-30,103.691
2021-07-31,104.155
2021-08-31,104.166
2021-09-30,103.958
2021-10-31,104.414
2021-11-30,104.304
2021-12-31,104.515
2022-01-31,105.422
2022-02-28,105.399
2022-03-31,105.591
2022-04-30,107.484
2022-05-31,107.018
2022-06-30,107.302
2022-07-31,108.572
2022-08-31,108.627
2022-09-30,108.86
2022-10-31,110.844
2022-11-30,111.112
2022-12-31,111.035
2023-01-31,114.166
2023-02-28,114.392
2023-03-31,114.536
2023-04-30,114.677
2023-05-31,114.651
2023-06-30,114.708
2023-07-31,114.908
2023-08-31,115.862
2023-09-30,115.928
2023-10-31,116.903
2023-11-30,116.869
2023-12-31,116.682
2024-01-31,118.424
2024-02-29,118.515
2024-03-31,118.906
2024-04-30,119.87
