date,value
2004-01-31,80.201
2004-02-29,80.201
2004-03-31,80.201
2004-04-30,80.201
2004-05-31,80.201
2004-06-30,80.201
2004-07-31,80.201
2004-08-31,80.201
2004-09-30,80.201
2004-10-31,80.201
2004-11-30,80.201
2004-12-31,80.201
2005-01-31,80.201
2005-02-28,80.201
2005-03-31,80.201
2005-04-30,80.564
2005-05-31,80.564
2005-06-30,80.564
2005-07-31,80.564
2005-08-31,80.564
2005-09-30,80.564
2005-10-31,80.564
2005-11-30,80.564
2005-12-31,80.564
2006-01-31,80.564
2006-02-28,80.564
2006-03-31,80.564
2006-04-30,80.564
2006-05-31,80.564
2006-06-30,80.564
2006-07-31,80.564
2006-08-31,80.564
2006-09-30,80.564
2006-10-31,80.564
2006-11-30,80.564
2006-12-31,80.564
2007-01-31,80.564
2007-02-28,80.564
2007-03-31,80.564
2007-04-30,82.083
2007-05-31,82.083
2007-06-30,82.083
2007-07-31,82.695
2007-08-31,82.695
2007-09-30,82.695
2007-10-31,84.106
2007-11-30,84.106
2007-12-31,84.211
2008-01-31,85.353
2008-02-29,85.353
2008-03-31,85.353
2008-04-30,86.07
2008-05-31,86.07
2008-06-30,86.07
2008-07-31,87.724
2008-08-31,87.724
2008-09-30,87.724
2008-10-31,87.724
2008-11-30,87.724
2008-12-31,87.724
2009-01-31,87.65
2009-02-28,87.65
2009-03-31,87.65
2009-04-30,88.113
2009-05-31,88.113
2009-06-30,88.113
2009-07-31,88.113
2009-08-31,88.113
2009-09-30,88.113
2009-10-31,88.113
2009-11-30,88.113
2009-12-31,88.113
2010-01-31,88.113
2010-02-28,88.113
2010-03-31,88.113
2010-04-30,87.746
2010-05-31,87.746
2010-06-30,87.746
2010-07-31,88.102
2010-08-31,88.102
2010-09-30,88.102
2010-10-31,88.102
2010-11-30,88.102
2010-12-31,88.102
2011-01-31,88.264
2011-02-28,88.264
2011-03-31,88.264
2011-04-30,89.35
2011-05-31,89.35
2011-06-30,89.35
2011-07-31,89.35
2011-08-31,89.35
2011-09-30,89.35
2011-10-31,89.726
2011-11-30,89.726
2011-12-31,89.726
2012-01-31,89.726
2012-02-29,89.726
2012-03-31,89.726
2012-04-30,89.726
2012-05-31,89.726
2012-06-30,89.726
2012-07-31,90.079
2012-08-31,90.079
2012-09-30,90.079
2012-10-31,90.079
2012-11-30,90.079
2012-12-31,90.079
2013-01-31,90.381
2013-02-28,90.381
2013-03-31,90.381
2013-04-30,90.66
2013-05-31,90.66
2013-06-30,90.66
2013-07-31,90.77
2013-08-31,90.923
2013-09-30,90.923
2013-10-31,90.923
2013-11-30,90.923
2013-12-31,90.923
2014-01-31,90.762
2014-02-28,90.762
2014-03-31,90.762
2014-04-30,92.246
2014-05-31,92.246
2014-06-30,92.246
2014-07-31,92.246
2014-08-31,92.246
2014-09-30,92.246
2014-10-31,92.246
2014-11-30,92.246
2014-12-31,92.246
2015-01-31,92.008
2015-02-28,92.008
2015-03-31,92.008
2015-04-30,92.114
2015-05-31,92.114
2015-06-30,92.114
2015-07-31,92.085
2015-08-31,92.085
2015-09-30,92.085
2015-10-31,92.085
2015-11-30,92.085
2015-12-31,92.085
2016-01-31,92.085
2016-02-29,92.085
2016-03-31,92.085
2016-04-30,92.85
2016-05-31,92.85
2016-06-30,92.613
2016-07-31,92.785
2016-08-31,92.785
2016-09-30,92.785
2016-10-31,93.297
2016-11-30,93.297
2016-12-31,93.297
2017-01-31,93.297
2017-02-28,94.405
2017-03-31,94.405
2017-04-30,94.405
2017-05-31,94.405
2017-06-30,94.405
2017-07-31,94.405
2017-08-31,94.405
2017-09-30,94.405
2017-10-31,94.477
2017-11-30,94.477
2017-12-31,94.477
2018-01-31,95.332
2018-02-28,95.332
2018-03-31,95.332
2018-04-30,94.703
2018-05-31,94.703
2018-06-30,94.703
2018-07-31,95.994
2018-08-31,95.994
2018-09-30,95.994
2018-10-31,95.35
2018-11-30,95.35
2018-12-31,95.35
2019-01-31,98.573
2019-02-28,99.288
2019-03-31,99.288
2019-04-30,99.381
2019-05-31,99.381
2019-06-30,99.381
2019-07-31,100.247
2019-08-31,100.247
2019-09-30,100.247
2019-10-31,101.324
2019-11-30,101.324
2019-12-31,101.324
2020-01-31,101.465
2020-02-29,101.465
2020-03-31,101.465
2020-04-30,101.612
2020-05-31,101.612
2020-06-30,101.612
2020-07-31,101.612
2020-08-31,101.612
2020-09-30,101.612
2020-10-31,101.887
2020-11-30,101.887
2020-12-31,101.887
2021-01-31,102.194
2021-02-28,102.194
2021-03-31,102.194
2021-04-30,102.194
2021-05-31,102.194
2021-06-30,102.194
2021-07-31,102.341
2021-08-31,102.341
2021-09-30,102.341
2021-10-31,102.586
2021-11-30,102.586
2021-12-31,102.586
2022-01-31,103.466
2022-02-28,103.466
2022-03-31,103.466
2022-04-30,103.466
2022-05-31,107.652
2022-06-30,107.652
2022-07-31,109.113
2022-08-31,109.113
2022-09-30,109.113
2022-10-31,109.034
2022-11-30,109.034
2022-12-31,109.034
2023-01-31,111.847
2023-02-28,111.847
2023-03-31,111.847
2023-04-30,113.588
2023-05-31,113.588
2023-06-30,113.588
2023-07-31,114.422
2023-08-31,114.422
2023-09-30,114.422
2023-10-31,114.923
2023-11-30,114.923
2023-12-31,114.923
2024-01-31,116.566
2024-02-29,116.566
2024-03-31,116.566
2024-04-30,117.375
