date,value
2014-01-31,177.038
2014-02-28,177.038
2014-03-31,178.066
2014-04-30,178.066
2014-05-31,178.066
2014-06-30,178.066
2014-07-31,178.066
2014-08-31,178.066
2014-09-30,172.198
2014-10-31,172.198
2014-11-30,172.198
2014-12-31,172.198
2015-01-31,94.266
2015-02-28,94.266
2015-03-31,94.266
2015-04-30,95.572
2015-05-31,95.572
2015-06-30,95.572
2015-07-31,96.791
2015-08-31,96.791
2015-09-30,96.678
2015-10-31,96.678
2015-11-30,96.791
2015-12-31,96.791
2016-01-31,96.791
2016-02-29,96.791
2016-03-31,96.791
2016-04-30,96.791
2016-05-31,96.791
2016-06-30,96.791
2016-07-31,97.438
2016-08-31,97.971
2016-09-30,98.081
2016-10-31,99.068
2016-11-30,99.068
2016-12-31,99.068
2017-01-31,99.068
2017-02-28,99.068
2017-03-31,99.068
2017-04-30,99.068
2017-05-31,99.068
2017-06-30,99.068
2017-07-31,99.622
2017-08-31,100.079
2017-09-30,100.079
2017-10-31,100.079
2017-11-30,100.079
2017-12-31,100.079
2018-01-31,100.079
2018-02-28,100.079
2018-03-31,100.079
2018-04-30,100.079
2018-05-31,100.079
2018-06-30,100.079
2018-07-31,100.079
2018-08-31,100.079
2018-09-30,100.079
2018-10-31,100.079
2018-11-30,100.377
2018-12-31,101.01
2019-01-31,101.114
2019-02-28,101.114
2019-03-31,101.114
2019-04-30,101.114
2019-05-31,101.114
2019-06-30,101.114
2019-07-31,101.114
2019-08-31,101.114
2019-09-30,101.114
2019-10-31,100.444
2019-11-30,94.765
2019-12-31,94.765
2020-01-31,94.765
2020-02-29,92.027
2020-03-31,88.147
2020-04-30,88.196
2020-05-31,88.196
2020-06-30,88.196
2020-07-31,88.196
2020-08-31,88.196
2020-09-30,88.196
2020-10-31,88.196
2020-11-30,88.196
2020-12-31,88.196
2021-01-31,88.196
2021-02-28,88.196
2021-03-31,88.196
2021-04-30,88.194
2021-05-31,88.194
2021-06-30,88.194
2021-07-31,88.194
2021-08-31,89.047
2021-09-30,89.255
2021-10-31,89.255
2021-11-30,89.255
2021-12-31,89.255
2022-01-31,89.255
2022-02-28,89.255
2022-03-31,89.255
2022-04-30,89.255
2022-05-31,89.255
2022-06-30,89.255
2022-07-31,96.668
2022-08-31,96.84
2022-09-30,97.932
2022-10-31,101.187
2022-11-30,102.49
2022-12-31,102.49
2023-01-31,103.455
2023-02-28,103.455
2023-03-31,103.455
2023-04-30,104.832
2023-05-31,105.608
2023-06-30,105.608
2023-07-31,105.603
2023-08-31,105.603
2023-09-30,107.176
2023-10-31,115.155
2023-11-30,115.155
2023-12-31,115.155
2024-01-31,115.155
2024-02-29,115.25
2024-03-31,115.845
2024-04-30,115.875
