date,value
2019-01-31,99.469
2019-02-28,99.634
2019-03-31,99.736
2019-04-30,99.84
2019-05-31,99.927
2019-06-30,99.969
2019-07-31,100.008
2019-08-31,100.212
2019-09-30,100.282
2019-10-31,100.221
2019-11-30,100.299
2019-12-31,100.403
2020-01-31,100.492
2020-02-29,100.733
2020-03-31,101.027
2020-04-30,101.051
2020-05-31,101.084
2020-06-30,101.113
2020-07-31,101.156
2020-08-31,101.254
2020-09-30,101.373
2020-10-31,101.53
2020-11-30,101.586
2020-12-31,101.803
2021-01-31,101.889
2021-02-28,101.966
2021-03-31,101.997
2021-04-30,102.306
2021-05-31,102.382
2021-06-30,102.628
2021-07-31,102.763
2021-08-31,102.977
2021-09-30,103.087
2021-10-31,103.318
2021-11-30,103.618
2021-12-31,103.804
2022-01-31,104.329
2022-02-28,104.78
2022-03-31,105.625
2022-04-30,106.494
2022-05-31,107.186
2022-06-30,108.428
2022-07-31,109.412
2022-08-31,109.968
2022-09-30,110.834
2022-10-31,111.16
2022-11-30,111.706
2022-12-31,112.171
2023-01-31,112.829
2023-02-28,113.398
2023-03-31,113.959
2023-04-30,114.604
2023-05-31,114.917
2023-06-30,115.383
2023-07-31,115.662
2023-08-31,115.736
2023-09-30,116.022
2023-10-31,116.223
2023-11-30,116.453
2023-12-31,116.677
2024-01-31,117.335
2024-02-29,117.877
2024-03-31,118.43
2024-04-30,118.75
