date,value
1990-01-31,57.841
1990-02-28,57.96
1990-03-31,57.98
1990-04-30,57.986
1990-05-31,58.007
1990-06-30,58.05
1990-07-31,58.174
1990-08-31,58.354
1990-09-30,58.448
1990-10-31,58.545
1990-11-30,58.602
1990-12-31,58.669
1991-01-31,58.794
1991-02-28,58.988
1991-03-31,59.093
1991-04-30,59.255
1991-05-31,59.316
1991-06-30,59.293
1991-07-31,59.434
1991-08-31,59.607
1991-09-30,59.668
1991-10-31,59.703
1991-11-30,59.705
1991-12-31,59.769
1992-01-31,59.747
1992-02-29,59.821
1992-03-31,59.931
1992-04-30,60.043
1992-05-31,60.197
1992-06-30,60.231
1992-07-31,60.247
1992-08-31,60.324
1992-09-30,60.393
1992-10-31,60.406
1992-11-30,60.456
1992-12-31,60.54
1993-01-31,60.908
1993-02-28,60.942
1993-03-31,61.114
1993-04-30,61.152
1993-05-31,61.233
1993-06-30,61.291
1993-07-31,61.472
1993-08-31,61.6
1993-09-30,61.625
1993-10-31,61.608
1993-11-30,61.613
1993-12-31,61.682
1994-01-31,62.191
1994-02-28,62.502
1994-03-31,62.516
1994-04-30,63.617
1994-05-31,63.957
1994-06-30,64.028
1994-07-31,64.225
1994-08-31,64.272
1994-09-30,64.314
1994-10-31,64.411
1994-11-30,64.478
1994-12-31,64.616
1995-01-31,64.75
1995-02-28,64.837
1995-03-31,65.172
1995-04-30,65.521
1995-05-31,65.778
1995-06-30,65.801
1995-07-31,65.86
1995-08-31,65.954
1995-09-30,66.014
1995-10-31,66.047
1995-11-30,66.271
1995-12-31,66.347
1996-01-31,66.453
1996-02-29,66.55
1996-03-31,66.907
1996-04-30,67.149
1996-05-31,67.237
1996-06-30,67.353
1996-07-31,67.563
1996-08-31,67.668
1996-09-30,67.75
1996-10-31,67.757
1996-11-30,67.86
1996-12-31,68.018
1997-01-31,68.02
1997-02-28,68.133
1997-03-31,68.023
1997-04-30,68.121
1997-05-31,68.122
1997-06-30,68.372
1997-07-31,68.663
1997-08-31,68.74
1997-09-30,68.746
1997-10-31,68.867
1997-11-30,69.021
1997-12-31,69.167
1998-01-31,69.321
1998-02-28,69.354
1998-03-31,69.352
1998-04-30,69.375
1998-05-31,69.393
1998-06-30,69.436
1998-07-31,69.449
1998-08-31,69.461
1998-09-30,69.488
1998-10-31,69.536
1998-11-30,69.624
1998-12-31,69.647
1999-01-31,69.637
1999-02-28,69.725
1999-03-31,69.722
1999-04-30,69.737
1999-05-31,69.853
1999-06-30,69.878
1999-07-31,69.93
1999-08-31,69.948
1999-09-30,69.969
1999-10-31,69.935
1999-11-30,69.998
1999-12-31,70.03
2000-01-31,70.137
2000-02-29,70.293
2000-03-31,70.216
2000-04-30,70.095
2000-05-31,70.062
2000-06-30,70.129
2000-07-31,70.209
2000-08-31,70.263
2000-09-30,70.297
2000-10-31,70.374
2000-11-30,70.406
2000-12-31,70.54
2001-01-31,70.891
2001-02-28,71.027
2001-03-31,71.106
2001-04-30,70.944
2001-05-31,71.0
2001-06-30,71.098
2001-07-31,71.151
2001-08-31,71.186
