date,value
2014-01-31,86.125
2014-02-28,85.987
2014-03-31,89.595
2014-04-30,90.145
2014-05-31,90.618
2014-06-30,91.013
2014-07-31,92.239
2014-08-31,92.271
2014-09-30,92.458
2014-10-31,92.698
2014-11-30,92.793
2014-12-31,92.878
2015-01-31,92.944
2015-02-28,92.919
2015-03-31,92.657
2015-04-30,93.586
2015-05-31,94.328
2015-06-30,94.542
2015-07-31,96.384
2015-08-31,96.307
2015-09-30,96.342
2015-10-31,96.778
2015-11-30,97.011
2015-12-31,96.783
2016-01-31,96.976
2016-02-29,96.662
2016-03-31,97.859
2016-04-30,98.548
2016-05-31,98.61
2016-06-30,98.851
2016-07-31,99.078
2016-08-31,98.539
2016-09-30,98.822
2016-10-31,98.891
2016-11-30,99.034
2016-12-31,99.032
2017-01-31,98.899
2017-02-28,99.116
2017-03-31,99.811
2017-04-30,99.481
2017-05-31,99.617
2017-06-30,99.037
2017-07-31,100.406
2017-08-31,100.118
2017-09-30,99.861
2017-10-31,99.976
2017-11-30,100.1
2017-12-31,99.42
2018-01-31,100.141
2018-02-28,100.907
2018-03-31,99.146
2018-04-30,99.908
2018-05-31,100.416
2018-06-30,99.38
2018-07-31,99.858
2018-08-31,99.78
2018-09-30,100.096
2018-10-31,99.909
2018-11-30,100.548
2018-12-31,100.186
2019-01-31,100.848
2019-02-28,100.75
2019-03-31,99.183
2019-04-30,98.841
2019-05-31,99.486
2019-06-30,99.393
2019-07-31,100.081
2019-08-31,100.368
2019-09-30,100.682
2019-10-31,100.194
2019-11-30,100.732
2019-12-31,99.441
2020-01-31,100.359
2020-02-29,99.913
2020-03-31,100.231
2020-04-30,100.697
2020-05-31,100.116
2020-06-30,99.88
2020-07-31,100.403
2020-08-31,100.376
2020-09-30,99.882
2020-10-31,100.192
2020-11-30,100.072
2020-12-31,99.573
2021-01-31,100.182
2021-02-28,100.407
2021-03-31,100.62
2021-04-30,101.009
2021-05-31,100.658
2021-06-30,100.817
2021-07-31,100.542
2021-08-31,100.586
2021-09-30,100.52
2021-10-31,99.855
2021-11-30,100.654
2021-12-31,99.881
2022-01-31,99.875
2022-02-28,100.746
2022-03-31,100.918
2022-04-30,102.83
2022-05-31,102.678
2022-06-30,103.338
2022-07-31,102.914
2022-08-31,103.328
2022-09-30,103.04
2022-10-31,102.94
2022-11-30,103.272
2022-12-31,104.183
2023-01-31,105.085
2023-02-28,105.472
2023-03-31,105.91
2023-04-30,106.85
2023-05-31,106.708
2023-06-30,107.051
2023-07-31,107.083
2023-08-31,107.566
2023-09-30,107.954
2023-10-31,108.011
2023-11-30,109.227
2023-12-31,109.219
2024-01-31,109.949
2024-02-29,110.412
2024-03-31,110.041
2024-04-30,110.241
