date,value
2014-01-31,94.076
2014-02-28,93.944
2014-03-31,90.204
2014-04-30,87.527
2014-05-31,85.772
2014-06-30,86.788
2014-07-31,92.488
2014-08-31,89.645
2014-09-30,89.254
2014-10-31,90.439
2014-11-30,92.276
2014-12-31,92.309
2015-01-31,97.989
2015-02-28,98.726
2015-03-31,92.222
2015-04-30,88.038
2015-05-31,90.095
2015-06-30,91.427
2015-07-31,92.733
2015-08-31,91.817
2015-09-30,90.646
2015-10-31,90.818
2015-11-30,90.291
2015-12-31,91.443
2016-01-31,91.194
2016-02-29,92.751
2016-03-31,92.44
2016-04-30,93.782
2016-05-31,97.814
2016-06-30,97.444
2016-07-31,96.95
2016-08-31,95.435
2016-09-30,94.485
2016-10-31,93.953
2016-11-30,94.757
2016-12-31,96.364
2017-01-31,96.405
2017-02-28,98.592
2017-03-31,96.13
2017-04-30,94.366
2017-05-31,94.602
2017-06-30,96.168
2017-07-31,95.347
2017-08-31,95.968
2017-09-30,97.125
2017-10-31,96.194
2017-11-30,95.887
2017-12-31,96.124
2018-01-31,101.809
2018-02-28,104.579
2018-03-31,100.202
2018-04-30,93.569
2018-05-31,93.87
2018-06-30,93.799
2018-07-31,94.969
2018-08-31,95.45
2018-09-30,95.562
2018-10-31,95.108
2018-11-30,97.299
2018-12-31,98.024
2019-01-31,99.602
2019-02-28,101.759
2019-03-31,100.923
2019-04-30,101.288
2019-05-31,101.388
2019-06-30,100.504
2019-07-31,101.159
2019-08-31,98.845
2019-09-30,96.553
2019-10-31,96.634
2019-11-30,99.76
2019-12-31,101.586
2020-01-31,104.045
2020-02-29,103.921
2020-03-31,100.599
2020-04-30,103.904
2020-05-31,107.473
2020-06-30,108.32
2020-07-31,109.037
2020-08-31,105.926
2020-09-30,106.144
2020-10-31,105.799
2020-11-30,108.617
2020-12-31,111.666
2021-01-31,115.208
2021-02-28,118.08
2021-03-31,116.126
2021-04-30,110.616
2021-05-31,112.961
2021-06-30,113.029
2021-07-31,114.82
2021-08-31,113.712
2021-09-30,113.067
2021-10-31,112.306
2021-11-30,116.443
2021-12-31,117.969
2022-01-31,123.346
2022-02-28,122.875
2022-03-31,119.417
2022-04-30,117.051
2022-05-31,118.577
2022-06-30,121.777
2022-07-31,119.733
2022-08-31,121.029
2022-09-30,125.126
2022-10-31,123.553
2022-11-30,122.317
2022-12-31,124.598
2023-01-31,128.143
2023-02-28,135.795
2023-03-31,133.042
2023-04-30,127.266
2023-05-31,123.416
2023-06-30,123.65
2023-07-31,122.815
2023-08-31,121.396
2023-09-30,119.221
2023-10-31,117.705
2023-11-30,119.153
2023-12-31,119.9
2024-01-31,124.338
2024-02-29,123.801
2024-03-31,118.983
2024-04-30,116.689
