date,value
1961-01-31,18.604
1961-02-28,18.604
1961-03-31,18.604
1961-04-30,18.604
1961-05-31,18.604
1961-06-30,18.604
1961-07-31,18.604
1961-08-31,18.604
1961-09-30,18.604
1961-10-31,18.604
1961-11-30,18.604
1961-12-31,18.604
1962-01-31,18.701
1962-02-28,18.604
1962-03-31,18.604
1962-04-30,18.604
1962-05-31,18.604
1962-06-30,18.604
1962-07-31,18.604
1962-08-31,18.604
1962-09-30,18.604
1962-10-31,18.604
1962-11-30,18.604
1962-12-31,18.604
1963-01-31,18.604
1963-02-28,18.604
1963-03-31,18.604
1963-04-30,18.604
1963-05-31,18.604
1963-06-30,18.604
1963-07-31,18.604
1963-08-31,18.604
1963-09-30,18.604
1963-10-31,18.604
1963-11-30,18.604
1963-12-31,18.604
1964-01-31,18.604
1964-02-29,18.604
1964-03-31,18.604
1964-04-30,18.604
1964-05-31,18.604
1964-06-30,18.604
1964-07-31,18.604
1964-08-31,18.604
1964-09-30,18.604
1964-10-31,18.604
1964-11-30,18.604
1964-12-31,18.604
1965-01-31,18.604
1965-02-28,18.604
1965-03-31,18.604
1965-04-30,18.604
1965-05-31,18.604
1965-06-30,18.604
1965-07-31,18.604
1965-08-31,18.604
1965-09-30,18.604
1965-10-31,18.604
1965-11-30,18.604
1965-12-31,18.604
1966-01-31,18.604
1966-02-28,18.604
1966-03-31,18.604
1966-04-30,18.604
1966-05-31,18.604
1966-06-30,18.604
1966-07-31,18.604
1966-08-31,18.604
1966-09-30,18.604
1966-10-31,18.604
1966-11-30,18.604
1966-12-31,18.604
1967-01-31,18.604
1967-02-28,18.604
1967-03-31,18.604
1967-04-30,18.604
1967-05-31,18.604
1967-06-30,18.604
1967-07-31,18.604
1967-08-31,18.604
1967-09-30,18.604
1967-10-31,18.604
1967-11-30,18.604
1967-12-31,18.604
1968-01-31,18.701
1968-02-29,18.701
1968-03-31,18.701
1968-04-30,18.701
1968-05-31,18.701
1968-06-30,18.701
1968-07-31,18.701
1968-08-31,18.701
1968-09-30,18.701
1968-10-31,19.316
1968-11-30,19.316
1968-12-31,19.626
1969-01-31,20.454
1969-02-28,20.454
1969-03-31,20.454
1969-04-30,20.454
1969-05-31,20.454
1969-06-30,20.454
1969-07-31,20.454
1969-08-31,20.454
1969-09-30,20.454
1969-10-31,20.454
1969-11-30,20.454
1969-12-31,20.454
1970-01-31,20.454
1970-02-28,20.454
1970-03-31,20.454
1970-04-30,20.454
1970-05-31,20.454
1970-06-30,20.454
1970-07-31,20.454
