date,value
2000-01-31,77.214
2000-02-29,77.307
2000-03-31,77.307
2000-04-30,77.329
2000-05-31,77.404
2000-06-30,77.249
2000-07-31,77.574
2000-08-31,77.409
2000-09-30,77.31
2000-10-31,77.401
2000-11-30,77.473
2000-12-31,77.504
2001-01-31,77.541
2001-02-28,77.438
2001-03-31,77.598
2001-04-30,77.548
2001-05-31,77.531
2001-06-30,77.502
2001-07-31,77.463
2001-08-31,77.376
2001-09-30,77.318
2001-10-31,77.535
2001-11-30,77.453
2001-12-31,77.248
2002-01-31,77.157
2002-02-28,77.182
2002-03-31,77.14
2002-04-30,77.306
2002-05-31,77.397
2002-06-30,77.267
2002-07-31,77.461
2002-08-31,77.598
2002-09-30,77.617
2002-10-31,77.649
2002-11-30,77.682
2002-12-31,77.667
2003-01-31,77.643
2003-02-28,77.553
2003-03-31,77.422
2003-04-30,77.397
2003-05-31,77.41
2003-06-30,77.278
2003-07-31,77.432
2003-08-31,77.421
2003-09-30,77.343
2003-10-31,77.357
2003-11-30,77.364
2003-12-31,77.335
2004-01-31,77.579
2004-02-29,77.571
2004-03-31,77.565
2004-04-30,77.644
2004-05-31,77.609
2004-06-30,77.577
2004-07-31,77.574
2004-08-31,72.694
2004-09-30,72.865
2004-10-31,73.192
2004-11-30,73.145
2004-12-31,73.164
2005-01-31,73.985
2005-02-28,74.107
2005-03-31,74.49
2005-04-30,70.847
2005-05-31,71.271
2005-06-30,71.376
2005-07-31,71.559
2005-08-31,71.461
2005-09-30,71.425
2005-10-31,71.375
2005-11-30,71.336
2005-12-31,71.343
2006-01-31,71.289
2006-02-28,71.32
2006-03-31,71.358
2006-04-30,71.386
2006-05-31,71.312
2006-06-30,71.389
2006-07-31,71.428
2006-08-31,71.448
2006-09-30,71.417
2006-10-31,71.494
2006-11-30,71.632
2006-12-31,71.708
2007-01-31,71.724
2007-02-28,71.771
2007-03-31,71.732
2007-04-30,72.262
2007-05-31,72.822
2007-06-30,73.055
2007-07-31,71.915
2007-08-31,71.981
2007-09-30,71.998
2007-10-31,72.055
2007-11-30,72.05
2007-12-31,72.975
2008-01-31,73.432
2008-02-29,73.463
2008-03-31,73.325
2008-04-30,73.438
2008-05-31,73.449
2008-06-30,73.422
2008-07-31,73.648
2008-08-31,73.981
2008-09-30,74.217
2008-10-31,74.271
2008-11-30,74.357
2008-12-31,74.503
2009-01-31,74.374
2009-02-28,74.539
2009-03-31,74.601
2009-04-30,74.853
2009-05-31,74.85
2009-06-30,74.852
2009-07-31,75.047
2009-08-31,75.189
2009-09-30,75.279
2009-10-31,75.503
2009-11-30,75.624
2009-12-31,75.622
2010-01-31,75.693
2010-02-28,75.673
2010-03-31,75.769
2010-04-30,75.798
2010-05-31,75.792
2010-06-30,75.719
2010-07-31,76.233
2010-08-31,76.26
2010-09-30,76.289
2010-10-31,76.757
2010-11-30,76.899
2010-12-31,76.906
2011-01-31,78.225
2011-02-28,80.662
2011-03-31,80.672
2011-04-30,83.024
2011-05-31,83.971
2011-06-30,83.962
2011-07-31,84.344
2011-08-31,84.337
2011-09-30,84.379
2011-10-31,84.572
2011-11-30,84.787
2011-12-31,84.756
2012-01-31,84.946
2012-02-29,85.002
2012-03-31,85.023
2012-04-30,85.207
2012-05-31,85.267
2012-06-30,85.341
2012-07-31,85.859
2012-08-31,86.175
2012-09-30,86.511
2012-10-31,87.031
2012-11-30,86.995
2012-12-31,87.628
2013-01-31,87.806
2013-02-28,92.043
2013-03-31,89.578
2013-04-30,91.432
2013-05-31,91.629
2013-06-30,91.92
2013-07-31,92.128
2013-08-31,92.264
2013-09-30,92.204
2013-10-31,92.646
2013-11-30,92.876
2013-12-31,93.074
2014-01-31,93.274
2014-02-28,93.258
2014-03-31,93.591
2014-04-30,93.552
2014-05-31,93.658
2014-06-30,93.556
2014-07-31,93.654
2014-08-31,93.693
2014-09-30,93.705
2014-10-31,93.76
2014-11-30,93.751
2014-12-31,93.73
2015-01-31,94.258
2015-02-28,94.601
2015-03-31,94.698
2015-04-30,94.901
2015-05-31,90.976
2015-06-30,91.003
2015-07-31,91.0
2015-08-31,91.066
2015-09-30,91.209
2015-10-31,91.344
2015-11-30,91.667
2015-12-31,91.837
2016-01-31,92.213
2016-02-29,93.642
2016-03-31,93.994
2016-04-30,94.955
2016-05-31,95.162
2016-06-30,95.476
2016-07-31,95.365
2016-08-31,95.459
2016-09-30,95.602
2016-10-31,95.759
2016-11-30,95.712
2016-12-31,95.588
2017-01-31,95.824
2017-02-28,96.338
2017-03-31,96.579
2017-04-30,96.775
2017-05-31,96.904
2017-06-30,96.855
2017-07-31,97.42
2017-08-31,97.525
2017-09-30,97.623
2017-10-31,97.81
2017-11-30,97.877
2017-12-31,97.973
2018-01-31,98.032
2018-02-28,97.984
2018-03-31,98.368
2018-04-30,98.416
2018-05-31,98.512
2018-06-30,98.391
2018-07-31,98.529
2018-08-31,98.776
2018-09-30,98.895
2018-10-31,98.905
2018-11-30,98.936
2018-12-31,98.915
2019-01-31,99.256
2019-02-28,99.439
2019-03-31,99.427
2019-04-30,100.241
2019-05-31,100.172
2019-06-30,100.121
2019-07-31,100.153
2019-08-31,100.258
2019-09-30,100.198
2019-10-31,100.308
2019-11-30,100.26
2019-12-31,100.169
2020-01-31,100.145
2020-02-29,100.338
2020-03-31,100.427
2020-04-30,100.505
2020-05-31,100.492
2020-06-30,100.553
2020-07-31,100.502
2020-08-31,100.524
2020-09-30,100.741
2020-10-31,100.594
2020-11-30,100.723
2020-12-31,100.535
2021-01-31,101.164
2021-02-28,101.351
2021-03-31,101.487
2021-04-30,101.607
2021-05-31,101.601
2021-06-30,101.432
2021-07-31,102.148
2021-08-31,102.396
2021-09-30,102.331
2021-10-31,102.33
2021-11-30,102.38
2021-12-31,102.499
2022-01-31,102.457
2022-02-28,102.662
2022-03-31,102.712
2022-04-30,103.014
2022-05-31,103.266
2022-06-30,103.255
2022-07-31,103.366
2022-08-31,103.456
2022-09-30,103.557
2022-10-31,103.782
2022-11-30,103.977
2022-12-31,103.929
2023-01-31,104.731
2023-02-28,104.884
2023-03-31,104.934
2023-04-30,104.834
2023-05-31,104.978
2023-06-30,105.424
2023-07-31,105.781
2023-08-31,105.768
2023-09-30,105.91
2023-10-31,105.96
2023-11-30,105.951
2023-12-31,105.969
2024-01-31,106.285
2024-02-29,106.339
2024-03-31,106.357
2024-04-30,106.493
