date,value
2014-01-31,90.772
2014-02-28,89.023
2014-03-31,88.782
2014-04-30,91.696
2014-05-31,92.616
2014-06-30,92.17
2014-07-31,91.907
2014-08-31,92.651
2014-09-30,91.348
2014-10-31,89.544
2014-11-30,91.748
2014-12-31,93.216
2015-01-31,96.157
2015-02-28,91.938
2015-03-31,91.026
2015-04-30,92.612
2015-05-31,93.969
2015-06-30,92.656
2015-07-31,91.483
2015-08-31,92.687
2015-09-30,90.511
2015-10-31,90.838
2015-11-30,90.115
2015-12-31,92.633
2016-01-31,94.889
2016-02-29,100.574
2016-03-31,99.588
2016-04-30,98.67
2016-05-31,99.225
2016-06-30,99.35
2016-07-31,98.036
2016-08-31,97.197
2016-09-30,94.832
2016-10-31,93.359
2016-11-30,97.182
2016-12-31,99.089
2017-01-31,99.39
2017-02-28,99.91
2017-03-31,95.088
2017-04-30,94.495
2017-05-31,97.113
2017-06-30,96.82
2017-07-31,96.261
2017-08-31,94.394
2017-09-30,99.122
2017-10-31,99.823
2017-11-30,100.376
2017-12-31,98.374
2018-01-31,102.822
2018-02-28,97.459
2018-03-31,95.593
2018-04-30,94.956
2018-05-31,97.333
2018-06-30,96.78
2018-07-31,97.378
2018-08-31,95.971
2018-09-30,97.541
2018-10-31,97.126
2018-11-30,99.982
2018-12-31,97.375
2019-01-31,97.436
2019-02-28,99.32
2019-03-31,98.086
2019-04-30,100.102
2019-05-31,102.322
2019-06-30,100.527
2019-07-31,100.066
2019-08-31,99.55
2019-09-30,98.618
2019-10-31,99.776
2019-11-30,101.907
2019-12-31,102.289
2020-01-31,102.858
2020-02-29,102.907
2020-03-31,100.609
2020-04-30,101.956
2020-05-31,100.425
2020-06-30,102.885
2020-07-31,103.618
2020-08-31,104.778
2020-09-30,104.876
2020-10-31,105.603
2020-11-30,107.067
2020-12-31,107.334
2021-01-31,111.436
2021-02-28,111.27
2021-03-31,108.799
2021-04-30,108.909
2021-05-31,111.2
2021-06-30,112.153
2021-07-31,111.641
2021-08-31,110.97
2021-09-30,113.798
2021-10-31,114.191
2021-11-30,121.621
2021-12-31,122.267
2022-01-31,123.143
2022-02-28,118.941
2022-03-31,118.749
2022-04-30,117.549
2022-05-31,118.594
2022-06-30,118.551
2022-07-31,119.839
2022-08-31,120.977
2022-09-30,120.771
2022-10-31,119.196
2022-11-30,120.113
2022-12-31,122.951
2023-01-31,125.787
2023-02-28,125.96
2023-03-31,120.816
2023-04-30,117.345
2023-05-31,118.075
2023-06-30,116.569
2023-07-31,116.358
2023-08-31,117.152
2023-09-30,116.683
2023-10-31,116.295
2023-11-30,118.808
2023-12-31,118.159
2024-01-31,120.088
2024-02-29,121.88
2024-03-31,119.212
2024-04-30,117.574
