date,value
2014-01-31,104.968
2014-02-28,103.971
2014-03-31,104.887
2014-04-30,103.242
2014-05-31,104.565
2014-06-30,105.532
2014-07-31,104.927
2014-08-31,104.622
2014-09-30,104.42
2014-10-31,106.636
2014-11-30,106.232
2014-12-31,105.895
2015-01-31,105.882
2015-02-28,105.516
2015-03-31,103.988
2015-04-30,105.364
2015-05-31,104.954
2015-06-30,104.557
2015-07-31,105.718
2015-08-31,102.877
2015-09-30,103.337
2015-10-31,105.687
2015-11-30,106.596
2015-12-31,102.752
2016-01-31,103.799
2016-02-29,102.28
2016-03-31,105.078
2016-04-30,103.477
2016-05-31,101.792
2016-06-30,102.5
2016-07-31,104.798
2016-08-31,104.638
2016-09-30,104.635
2016-10-31,101.266
2016-11-30,101.543
2016-12-31,102.633
2017-01-31,102.052
2017-02-28,102.23
2017-03-31,101.172
2017-04-30,101.848
2017-05-31,101.015
2017-06-30,100.164
2017-07-31,102.537
2017-08-31,103.732
2017-09-30,101.572
2017-10-31,102.187
2017-11-30,101.678
2017-12-31,105.793
2018-01-31,100.563
2018-02-28,98.257
2018-03-31,96.279
2018-04-30,99.621
2018-05-31,99.212
2018-06-30,98.237
2018-07-31,102.434
2018-08-31,103.232
2018-09-30,101.695
2018-10-31,101.888
2018-11-30,101.959
2018-12-31,102.009
2019-01-31,100.756
2019-02-28,101.364
2019-03-31,101.169
2019-04-30,100.139
2019-05-31,96.213
2019-06-30,96.021
2019-07-31,99.673
2019-08-31,101.091
2019-09-30,100.012
2019-10-31,101.2
2019-11-30,100.945
2019-12-31,101.418
2020-01-31,101.395
2020-02-29,103.174
2020-03-31,105.85
2020-04-30,109.766
2020-05-31,110.21
2020-06-30,109.913
2020-07-31,109.35
2020-08-31,109.34
2020-09-30,108.753
2020-10-31,108.344
2020-11-30,107.007
2020-12-31,107.319
2021-01-31,106.88
2021-02-28,106.594
2021-03-31,107.122
2021-04-30,106.783
2021-05-31,105.669
2021-06-30,106.061
2021-07-31,106.412
2021-08-31,103.654
2021-09-30,103.749
2021-10-31,103.833
2021-11-30,103.836
2021-12-31,103.804
2022-01-31,103.925
2022-02-28,104.5
2022-03-31,104.341
2022-04-30,106.156
2022-05-31,110.095
2022-06-30,112.68
2022-07-31,112.676
2022-08-31,115.173
2022-09-30,115.925
2022-10-31,115.236
2022-11-30,118.842
2022-12-31,115.946
2023-01-31,114.28
2023-02-28,112.557
2023-03-31,113.607
2023-04-30,114.235
2023-05-31,114.257
2023-06-30,113.489
2023-07-31,113.727
2023-08-31,112.431
2023-09-30,112.369
2023-10-31,112.741
2023-11-30,115.914
2023-12-31,114.782
2024-01-31,114.281
2024-02-29,113.959
2024-03-31,114.136
2024-04-30,114.088
