date,value
2000-01-31,61.821
2000-02-29,64.292
2000-03-31,62.787
2000-04-30,62.867
2000-05-31,62.836
2000-06-30,62.162
2000-07-31,61.781
2000-08-31,61.771
2000-09-30,61.64
2000-10-31,61.712
2000-11-30,61.679
2000-12-31,61.717
2001-01-31,62.913
2001-02-28,62.213
2001-03-31,62.094
2001-04-30,62.266
2001-05-31,62.224
2001-06-30,62.311
2001-07-31,61.738
2001-08-31,61.706
2001-09-30,61.386
2001-10-31,61.672
2001-11-30,61.669
2001-12-31,61.574
2002-01-31,62.175
2002-02-28,64.105
2002-03-31,63.162
2002-04-30,62.808
2002-05-31,62.504
2002-06-30,62.447
2002-07-31,62.386
2002-08-31,62.154
2002-09-30,61.886
2002-10-31,61.77
2002-11-30,61.952
2002-12-31,61.936
2003-01-31,64.021
2003-02-28,63.445
2003-03-31,63.261
2003-04-30,63.388
2003-05-31,64.289
2003-06-30,64.733
2003-07-31,64.962
2003-08-31,64.866
2003-09-30,65.156
2003-10-31,65.036
2003-11-30,66.028
2003-12-31,66.255
2004-01-31,67.877
2004-02-29,68.466
2004-03-31,68.01
2004-04-30,67.74
2004-05-31,67.834
2004-06-30,67.98
2004-07-31,68.097
2004-08-31,68.349
2004-09-30,70.693
2004-10-31,73.229
2004-11-30,73.444
2004-12-31,73.064
2005-01-31,72.759
2005-02-28,74.003
2005-03-31,73.265
2005-04-30,72.766
2005-05-31,72.766
2005-06-30,72.451
2005-07-31,72.388
2005-08-31,72.383
2005-09-30,72.555
2005-10-31,73.717
2005-11-30,73.896
2005-12-31,74.044
2006-01-31,74.594
2006-02-28,74.142
2006-03-31,73.813
2006-04-30,73.946
2006-05-31,74.306
2006-06-30,74.209
2006-07-31,73.972
2006-08-31,73.781
2006-09-30,73.65
2006-10-31,73.486
2006-11-30,73.94
2006-12-31,73.796
2007-01-31,73.916
2007-02-28,75.43
2007-03-31,74.471
2007-04-30,74.223
2007-05-31,73.965
2007-06-30,73.823
2007-07-31,74.473
2007-08-31,74.995
2007-09-30,75.701
2007-10-31,77.473
2007-11-30,78.896
2007-12-31,81.752
2008-01-31,82.647
2008-02-29,83.4
2008-03-31,82.703
2008-04-30,82.305
2008-05-31,82.453
2008-06-30,83.461
2008-07-31,84.638
2008-08-31,84.933
2008-09-30,85.318
2008-10-31,84.977
2008-11-30,85.26
2008-12-31,86.356
2009-01-31,88.486
2009-02-28,88.407
2009-03-31,88.205
2009-04-30,88.087
2009-05-31,88.383
2009-06-30,87.854
2009-07-31,88.066
2009-08-31,87.998
2009-09-30,88.231
2009-10-31,89.161
2009-11-30,88.51
2009-12-31,88.375
2010-01-31,89.043
2010-02-28,89.491
2010-03-31,89.279
2010-04-30,89.29
2010-05-31,89.696
2010-06-30,89.568
2010-07-31,90.122
2010-08-31,90.007
2010-09-30,90.09
2010-10-31,90.525
2010-11-30,90.575
2010-12-31,90.631
2011-01-31,91.473
2011-02-28,92.969
2011-03-31,91.867
2011-04-30,92.236
2011-05-31,92.426
2011-06-30,92.311
2011-07-31,92.338
2011-08-31,92.569
2011-09-30,92.502
2011-10-31,92.684
2011-11-30,92.498
2011-12-31,93.229
2012-01-31,94.818
2012-02-29,94.036
2012-03-31,93.806
2012-04-30,93.845
2012-05-31,93.967
2012-06-30,94.193
2012-07-31,94.134
2012-08-31,94.207
2012-09-30,94.264
2012-10-31,94.262
2012-11-30,94.255
2012-12-31,94.14
2013-01-31,94.396
2013-02-28,95.607
2013-03-31,94.313
2013-04-30,94.44
2013-05-31,94.738
2013-06-30,94.845
2013-07-31,95.069
2013-08-31,95.113
2013-09-30,95.665
2013-10-31,95.417
2013-11-30,95.964
2013-12-31,95.474
2014-01-31,96.563
2014-02-28,96.928
2014-03-31,97.019
2014-04-30,96.193
2014-05-31,96.755
2014-06-30,96.18
2014-07-31,96.465
2014-08-31,96.609
2014-09-30,96.56
2014-10-31,96.841
2014-11-30,97.335
2014-12-31,97.03
2015-01-31,97.265
2015-02-28,98.479
2015-03-31,97.466
2015-04-30,97.484
2015-05-31,97.775
2015-06-30,97.617
2015-07-31,96.287
2015-08-31,96.334
2015-09-30,96.872
2015-10-31,97.152
2015-11-30,97.932
2015-12-31,97.44
2016-01-31,99.391
2016-02-29,99.763
2016-03-31,99.653
2016-04-30,99.208
2016-05-31,98.993
2016-06-30,99.054
2016-07-31,99.058
2016-08-31,98.925
2016-09-30,99.998
2016-10-31,99.255
2016-11-30,99.559
2016-12-31,99.733
2017-01-31,99.955
2017-02-28,99.959
2017-03-31,99.547
2017-04-30,99.731
2017-05-31,99.531
2017-06-30,99.38
2017-07-31,99.678
2017-08-31,100.1
2017-09-30,100.017
2017-10-31,100.314
2017-11-30,100.329
2017-12-31,100.776
2018-01-31,100.065
2018-02-28,100.392
2018-03-31,99.16
2018-04-30,100.001
2018-05-31,99.625
2018-06-30,99.877
2018-07-31,100.303
2018-08-31,99.319
2018-09-30,99.761
2018-10-31,99.872
2018-11-30,99.824
2018-12-31,100.064
2019-01-31,99.554
2019-02-28,100.056
2019-03-31,99.95
2019-04-30,99.545
2019-05-31,98.952
2019-06-30,99.374
2019-07-31,99.707
2019-08-31,100.274
2019-09-30,100.233
2019-10-31,100.711
2019-11-30,100.642
2019-12-31,101.003
2020-01-31,102.545
2020-02-29,103.255
2020-03-31,104.471
2020-04-30,106.778
2020-05-31,107.929
2020-06-30,107.551
2020-07-31,106.839
2020-08-31,106.189
2020-09-30,105.991
2020-10-31,104.69
2020-11-30,105.036
2020-12-31,104.764
2021-01-31,105.118
2021-02-28,105.522
2021-03-31,105.343
2021-04-30,105.098
2021-05-31,105.199
2021-06-30,105.765
2021-07-31,106.366
2021-08-31,105.777
2021-09-30,106.338
2021-10-31,105.833
2021-11-30,106.654
2021-12-31,107.075
2022-01-31,107.623
2022-02-28,108.659
2022-03-31,109.071
2022-04-30,111.097
2022-05-31,112.514
2022-06-30,116.429
2022-07-31,117.529
2022-08-31,119.507
2022-09-30,121.119
2022-10-31,122.022
2022-11-30,122.85
2022-12-31,122.863
2023-01-31,123.743
2023-02-28,122.211
2023-03-31,122.433
2023-04-30,123.21
2023-05-31,124.394
2023-06-30,124.17
2023-07-31,124.09
2023-08-31,123.236
2023-09-30,123.62
2023-10-31,123.619
2023-11-30,124.498
2023-12-31,124.222
2024-01-31,124.767
2024-02-29,124.962
2024-03-31,123.922
2024-04-30,123.282
