date,value
2000-01-31,73.117
2000-02-29,73.346
2000-03-31,73.537
2000-04-30,73.185
2000-05-31,73.62
2000-06-30,73.564
2000-07-31,73.084
2000-08-31,72.195
2000-09-30,72.72
2000-10-31,72.716
2000-11-30,74.401
2000-12-31,74.722
2001-01-31,74.681
2001-02-28,74.911
2001-03-31,75.355
2001-04-30,75.179
2001-05-31,75.374
2001-06-30,75.647
2001-07-31,75.628
2001-08-31,74.411
2001-09-30,74.104
2001-10-31,74.803
2001-11-30,74.372
2001-12-31,74.126
2002-01-31,74.622
2002-02-28,74.105
2002-03-31,74.43
2002-04-30,74.174
2002-05-31,73.779
2002-06-30,74.086
2002-07-31,73.875
2002-08-31,74.042
2002-09-30,74.176
2002-10-31,74.242
2002-11-30,74.002
2002-12-31,74.109
2003-01-31,74.205
2003-02-28,74.498
2003-03-31,74.566
2003-04-30,74.516
2003-05-31,74.863
2003-06-30,74.711
2003-07-31,75.043
2003-08-31,74.919
2003-09-30,75.467
2003-10-31,75.217
2003-11-30,75.075
2003-12-31,75.016
2004-01-31,75.281
2004-02-29,76.107
2004-03-31,76.076
2004-04-30,76.416
2004-05-31,76.622
2004-06-30,76.606
2004-07-31,76.477
2004-08-31,76.681
2004-09-30,76.57
2004-10-31,76.496
2004-11-30,76.974
2004-12-31,77.254
2005-01-31,76.877
2005-02-28,77.32
2005-03-31,77.154
2005-04-30,77.429
2005-05-31,77.642
2005-06-30,77.621
2005-07-31,77.933
2005-08-31,77.796
2005-09-30,77.962
2005-10-31,77.592
2005-11-30,77.534
2005-12-31,77.761
2006-01-31,77.333
2006-02-28,78.149
2006-03-31,77.995
2006-04-30,78.086
2006-05-31,77.977
2006-06-30,79.066
2006-07-31,79.629
2006-08-31,79.954
2006-09-30,79.823
2006-10-31,80.212
2006-11-30,80.365
2006-12-31,80.731
2007-01-31,80.235
2007-02-28,80.666
2007-03-31,81.3
2007-04-30,81.541
2007-05-31,81.625
2007-06-30,82.891
2007-07-31,84.12
2007-08-31,83.836
2007-09-30,85.692
2007-10-31,86.002
2007-11-30,87.115
2007-12-31,88.448
2008-01-31,87.93
2008-02-29,89.33
2008-03-31,89.131
2008-04-30,89.704
2008-05-31,89.904
2008-06-30,89.952
2008-07-31,88.752
2008-08-31,89.151
2008-09-30,89.141
2008-10-31,89.739
2008-11-30,89.943
2008-12-31,90.118
2009-01-31,90.05
2009-02-28,90.377
2009-03-31,90.599
2009-04-30,90.426
2009-05-31,90.109
2009-06-30,89.775
2009-07-31,89.592
2009-08-31,89.52
2009-09-30,89.327
2009-10-31,89.54
2009-11-30,89.396
2009-12-31,89.206
2010-01-31,89.799
2010-02-28,89.708
2010-03-31,89.312
2010-04-30,89.737
2010-05-31,90.272
2010-06-30,90.114
2010-07-31,90.067
2010-08-31,90.25
2010-09-30,90.236
2010-10-31,89.948
2010-11-30,90.869
2010-12-31,91.3
2011-01-31,90.584
2011-02-28,91.586
2011-03-31,91.155
2011-04-30,91.854
2011-05-31,92.256
2011-06-30,92.714
2011-07-31,92.34
2011-08-31,93.281
2011-09-30,93.13
2011-10-31,93.092
2011-11-30,93.999
2011-12-31,94.03
2012-01-31,93.641
2012-02-29,93.933
2012-03-31,94.115
2012-04-30,93.851
2012-05-31,93.977
2012-06-30,93.889
2012-07-31,94.128
2012-08-31,94.701
2012-09-30,94.883
2012-10-31,94.802
2012-11-30,95.121
2012-12-31,95.208
2013-01-31,94.31
2013-02-28,94.274
2013-03-31,95.233
2013-04-30,95.532
2013-05-31,95.002
2013-06-30,96.078
2013-07-31,95.727
2013-08-31,95.913
2013-09-30,95.594
2013-10-31,95.685
2013-11-30,95.685
2013-12-31,96.155
2014-01-31,95.407
2014-02-28,95.436
2014-03-31,96.196
2014-04-30,96.149
2014-05-31,96.332
2014-06-30,96.843
2014-07-31,96.755
2014-08-31,96.46
2014-09-30,96.84
2014-10-31,97.046
2014-11-30,97.043
2014-12-31,96.518
2015-01-31,96.912
2015-02-28,95.705
2015-03-31,96.515
2015-04-30,96.748
2015-05-31,96.791
2015-06-30,96.291
2015-07-31,95.694
2015-08-31,96.216
2015-09-30,96.968
2015-10-31,98.264
2015-11-30,97.104
2015-12-31,97.448
2016-01-31,96.603
2016-02-29,97.051
2016-03-31,98.089
2016-04-30,97.59
2016-05-31,97.004
2016-06-30,95.866
2016-07-31,95.815
2016-08-31,96.551
2016-09-30,97.052
2016-10-31,96.563
2016-11-30,97.044
2016-12-31,97.436
2017-01-31,96.494
2017-02-28,96.617
2017-03-31,98.152
2017-04-30,97.021
2017-05-31,96.688
2017-06-30,95.87
2017-07-31,97.355
2017-08-31,97.17
2017-09-30,97.1
2017-10-31,98.388
2017-11-30,98.925
2017-12-31,98.354
2018-01-31,96.925
2018-02-28,96.563
2018-03-31,99.332
2018-04-30,99.078
2018-05-31,97.989
2018-06-30,97.21
2018-07-31,98.852
2018-08-31,99.374
2018-09-30,99.274
2018-10-31,99.43
2018-11-30,98.625
2018-12-31,98.927
2019-01-31,98.609
2019-02-28,97.971
2019-03-31,100.102
2019-04-30,100.48
2019-05-31,99.051
2019-06-30,99.445
2019-07-31,100.816
2019-08-31,99.693
2019-09-30,101.365
2019-10-31,101.285
2019-11-30,100.807
2019-12-31,100.378
2020-01-31,97.496
2020-02-29,101.191
2020-03-31,100.997
2020-04-30,103.514
2020-05-31,103.963
2020-06-30,106.287
2020-07-31,105.353
2020-08-31,104.99
2020-09-30,104.777
2020-10-31,104.756
2020-11-30,104.655
2020-12-31,105.045
2021-01-31,104.202
2021-02-28,103.771
2021-03-31,104.092
2021-04-30,105.053
2021-05-31,104.621
2021-06-30,105.0
2021-07-31,106.138
2021-08-31,105.891
2021-09-30,106.377
2021-10-31,106.351
2021-11-30,105.857
2021-12-31,106.111
2022-01-31,106.34
2022-02-28,106.831
2022-03-31,108.068
2022-04-30,108.817
2022-05-31,108.897
2022-06-30,110.098
2022-07-31,110.214
2022-08-31,110.258
2022-09-30,111.977
2022-10-31,112.607
2022-11-30,113.481
2022-12-31,114.243
2023-01-31,112.552
2023-02-28,114.103
2023-03-31,114.156
2023-04-30,114.453
2023-05-31,116.184
2023-06-30,117.178
2023-07-31,117.127
2023-08-31,117.631
2023-09-30,117.978
2023-10-31,119.086
2023-11-30,119.368
2023-12-31,119.059
2024-01-31,117.589
2024-02-29,118.423
2024-03-31,118.783
2024-04-30,117.57
