date,value
2000-01-31,90.003
2000-02-29,91.21
2000-03-31,94.653
2000-04-30,92.907
2000-05-31,91.606
2000-06-30,89.001
2000-07-31,92.524
2000-08-31,96.249
2000-09-30,95.573
2000-10-31,93.299
2000-11-30,95.08
2000-12-31,93.662
2001-01-31,90.305
2001-02-28,94.06
2001-03-31,94.543
2001-04-30,95.917
2001-05-31,94.578
2001-06-30,89.92
2001-07-31,94.48
2001-08-31,96.062
2001-09-30,95.646
2001-10-31,94.388
2001-11-30,93.144
2001-12-31,91.383
2002-01-31,88.488
2002-02-28,89.489
2002-03-31,93.333
2002-04-30,92.0
2002-05-31,91.843
2002-06-30,87.887
2002-07-31,92.464
2002-08-31,93.907
2002-09-30,92.12
2002-10-31,94.697
2002-11-30,94.664
2002-12-31,93.156
2003-01-31,90.09
2003-02-28,90.399
2003-03-31,94.824
2003-04-30,91.844
2003-05-31,94.934
2003-06-30,87.447
2003-07-31,91.531
2003-08-31,93.777
2003-09-30,89.722
2003-10-31,93.465
2003-11-30,92.977
2003-12-31,91.721
2004-01-31,91.211
2004-02-29,92.441
2004-03-31,93.701
2004-04-30,93.134
2004-05-31,92.031
2004-06-30,91.205
2004-07-31,93.372
2004-08-31,94.189
2004-09-30,94.516
2004-10-31,95.028
2004-11-30,94.588
2004-12-31,93.627
2005-01-31,93.482
2005-02-28,93.281
2005-03-31,95.586
2005-04-30,96.653
2005-05-31,93.309
2005-06-30,88.79
2005-07-31,89.877
2005-08-31,94.572
2005-09-30,95.53
2005-10-31,93.582
2005-11-30,94.421
2005-12-31,93.091
2006-01-31,91.158
2006-02-28,92.652
2006-03-31,95.358
2006-04-30,93.381
2006-05-31,93.959
2006-06-30,89.613
2006-07-31,92.666
2006-08-31,95.918
2006-09-30,95.241
2006-10-31,94.645
2006-11-30,94.875
2006-12-31,92.251
2007-01-31,91.814
2007-02-28,93.402
2007-03-31,95.916
2007-04-30,96.51
2007-05-31,93.016
2007-06-30,89.544
2007-07-31,95.184
2007-08-31,96.475
2007-09-30,95.492
2007-10-31,93.689
2007-11-30,95.828
2007-12-31,94.102
2008-01-31,92.235
2008-02-29,93.133
2008-03-31,95.576
2008-04-30,94.642
2008-05-31,93.749
2008-06-30,90.489
2008-07-31,93.82
2008-08-31,97.223
2008-09-30,95.73
2008-10-31,93.995
2008-11-30,95.751
2008-12-31,94.802
2009-01-31,93.257
2009-02-28,95.044
2009-03-31,95.178
2009-04-30,95.501
2009-05-31,94.35
2009-06-30,92.176
2009-07-31,95.436
2009-08-31,97.981
2009-09-30,95.526
2009-10-31,96.509
2009-11-30,97.367
2009-12-31,94.096
2010-01-31,93.966
2010-02-28,94.285
2010-03-31,97.256
2010-04-30,96.299
2010-05-31,95.436
2010-06-30,91.937
2010-07-31,97.077
2010-08-31,96.603
2010-09-30,96.594
2010-10-31,96.492
2010-11-30,98.085
2010-12-31,92.838
2011-01-31,94.413
2011-02-28,93.977
2011-03-31,97.363
2011-04-30,96.566
2011-05-31,94.72
2011-06-30,92.196
2011-07-31,93.612
2011-08-31,97.582
2011-09-30,95.581
2011-10-31,95.489
2011-11-30,97.106
2011-12-31,92.775
2012-01-31,93.582
2012-02-29,96.655
2012-03-31,97.72
2012-04-30,95.426
2012-05-31,94.869
2012-06-30,90.858
2012-07-31,94.856
2012-08-31,98.712
2012-09-30,98.82
2012-10-31,97.12
2012-11-30,97.896
2012-12-31,96.419
2013-01-31,95.741
2013-02-28,96.257
2013-03-31,99.026
2013-04-30,96.977
2013-05-31,96.987
2013-06-30,93.753
2013-07-31,96.227
2013-08-31,95.786
2013-09-30,94.874
2013-10-31,94.928
2013-11-30,97.257
2013-12-31,94.289
2014-01-31,97.38
2014-02-28,95.264
2014-03-31,101.407
2014-04-30,100.241
2014-05-31,100.179
2014-06-30,97.653
2014-07-31,96.94
2014-08-31,99.151
2014-09-30,98.194
2014-10-31,96.465
2014-11-30,97.307
2014-12-31,99.454
2015-01-31,98.709
2015-02-28,97.553
2015-03-31,99.233
2015-04-30,97.556
2015-05-31,97.812
2015-06-30,96.182
2015-07-31,93.188
2015-08-31,99.794
2015-09-30,101.705
2015-10-31,99.631
2015-11-30,100.931
2015-12-31,98.983
2016-01-31,99.908
2016-02-29,98.924
2016-03-31,99.903
2016-04-30,100.095
2016-05-31,100.366
2016-06-30,96.191
2016-07-31,95.849
2016-08-31,97.933
2016-09-30,99.449
2016-10-31,98.291
2016-11-30,99.163
2016-12-31,96.502
2017-01-31,98.566
2017-02-28,96.825
2017-03-31,100.013
2017-04-30,101.603
2017-05-31,101.41
2017-06-30,98.833
2017-07-31,99.388
