date,value
2014-01-31,93.858
2014-02-28,93.703
2014-03-31,94.746
2014-04-30,95.222
2014-05-31,95.238
2014-06-30,96.294
2014-07-31,96.047
2014-08-31,95.728
2014-09-30,96.359
2014-10-31,95.753
2014-11-30,96.571
2014-12-31,96.628
2015-01-31,96.765
2015-02-28,95.582
2015-03-31,95.173
2015-04-30,96.105
2015-05-31,95.693
2015-06-30,95.898
2015-07-31,95.731
2015-08-31,95.833
2015-09-30,96.895
2015-10-31,97.887
2015-11-30,96.942
2015-12-31,97.907
2016-01-31,96.63
2016-02-29,96.417
2016-03-31,97.897
2016-04-30,97.904
2016-05-31,97.33
2016-06-30,96.422
2016-07-31,96.211
2016-08-31,97.054
2016-09-30,96.715
2016-10-31,96.081
2016-11-30,96.661
2016-12-31,96.316
2017-01-31,96.516
2017-02-28,96.335
2017-03-31,98.137
2017-04-30,98.168
2017-05-31,97.837
2017-06-30,97.589
2017-07-31,97.924
2017-08-31,98.25
2017-09-30,98.65
2017-10-31,98.161
2017-11-30,99.68
2017-12-31,99.358
2018-01-31,97.953
2018-02-28,97.919
2018-03-31,100.174
2018-04-30,99.056
2018-05-31,99.318
2018-06-30,98.903
2018-07-31,98.788
2018-08-31,99.75
2018-09-30,100.316
2018-10-31,100.352
2018-11-30,99.714
2018-12-31,98.701
2019-01-31,99.625
2019-02-28,99.079
2019-03-31,100.302
2019-04-30,99.696
2019-05-31,99.663
2019-06-30,99.823
2019-07-31,99.762
2019-08-31,100.07
2019-09-30,99.761
2019-10-31,100.523
2019-11-30,100.477
2019-12-31,101.22
2020-01-31,99.016
2020-02-29,99.94
2020-03-31,100.337
2020-04-30,104.085
2020-05-31,106.434
2020-06-30,108.009
2020-07-31,107.657
2020-08-31,106.63
2020-09-30,106.841
2020-10-31,106.689
2020-11-30,106.762
2020-12-31,106.846
2021-01-31,106.348
2021-02-28,105.771
2021-03-31,105.058
2021-04-30,107.091
2021-05-31,106.143
2021-06-30,106.624
2021-07-31,107.846
2021-08-31,107.604
2021-09-30,106.979
2021-10-31,107.016
2021-11-30,105.597
2021-12-31,105.585
2022-01-31,105.93
2022-02-28,106.489
2022-03-31,108.322
2022-04-30,110.035
2022-05-31,109.636
2022-06-30,110.091
2022-07-31,110.537
2022-08-31,110.182
2022-09-30,111.773
2022-10-31,112.85
2022-11-30,115.075
2022-12-31,114.953
2023-01-31,113.205
2023-02-28,115.273
2023-03-31,115.489
2023-04-30,117.656
2023-05-31,118.377
2023-06-30,120.635
2023-07-31,121.235
2023-08-31,121.606
2023-09-30,122.392
2023-10-31,123.066
2023-11-30,124.106
2023-12-31,122.826
2024-01-31,121.394
2024-02-29,122.531
2024-03-31,121.94
2024-04-30,120.896
