date,value
2000-01-31,70.5
2000-02-29,70.442
2000-03-31,70.541
2000-04-30,70.647
2000-05-31,70.194
2000-06-30,70.154
2000-07-31,69.902
2000-08-31,69.884
2000-09-30,69.887
2000-10-31,69.927
2000-11-30,70.27
2000-12-31,70.041
2001-01-31,69.798
2001-02-28,69.738
2001-03-31,69.741
2001-04-30,69.955
2001-05-31,69.998
2001-06-30,70.038
2001-07-31,69.945
2001-08-31,69.916
2001-09-30,69.948
2001-10-31,69.957
2001-11-30,70.14
2001-12-31,69.746
2002-01-31,69.834
2002-02-28,69.694
2002-03-31,69.865
2002-04-30,69.894
2002-05-31,69.789
2002-06-30,69.677
2002-07-31,69.898
2002-08-31,69.623
2002-09-30,69.898
2002-10-31,69.749
2002-11-30,69.675
2002-12-31,69.578
2003-01-31,69.79
2003-02-28,69.914
2003-03-31,69.925
2003-04-30,69.843
2003-05-31,69.776
2003-06-30,69.96
2003-07-31,69.701
2003-08-31,69.466
2003-09-30,69.713
2003-10-31,69.639
2003-11-30,68.786
2003-12-31,69.187
2004-01-31,68.09
2004-02-29,69.173
2004-03-31,69.169
2004-04-30,69.285
2004-05-31,69.324
2004-06-30,69.591
2004-07-31,69.738
2004-08-31,69.565
2004-09-30,70.112
2004-10-31,70.204
2004-11-30,70.711
2004-12-31,70.595
2005-01-31,70.05
2005-02-28,70.363
2005-03-31,70.356
2005-04-30,70.749
2005-05-31,70.614
2005-06-30,71.009
2005-07-31,71.162
2005-08-31,71.176
2005-09-30,71.64
2005-10-31,71.42
2005-11-30,71.937
2005-12-31,72.261
2006-01-31,71.687
2006-02-28,72.196
2006-03-31,72.503
2006-04-30,72.563
2006-05-31,72.719
2006-06-30,72.339
2006-07-31,72.653
2006-08-31,71.761
2006-09-30,72.89
2006-10-31,73.323
2006-11-30,73.013
2006-12-31,73.398
2007-01-31,72.862
2007-02-28,72.924
2007-03-31,73.3
2007-04-30,73.887
2007-05-31,74.308
2007-06-30,74.514
2007-07-31,75.511
2007-08-31,74.699
2007-09-30,75.054
2007-10-31,75.053
2007-11-30,75.411
2007-12-31,76.29
2008-01-31,75.903
2008-02-29,76.789
2008-03-31,77.685
2008-04-30,79.693
2008-05-31,80.106
2008-06-30,80.023
2008-07-31,80.363
2008-08-31,80.442
2008-09-30,81.925
2008-10-31,83.323
2008-11-30,83.851
2008-12-31,83.627
2009-01-31,83.129
2009-02-28,84.177
2009-03-31,84.23
2009-04-30,84.162
2009-05-31,84.059
2009-06-30,84.422
2009-07-31,84.208
2009-08-31,83.563
2009-09-30,83.866
2009-10-31,84.248
2009-11-30,83.731
2009-12-31,83.483
2010-01-31,83.578
2010-02-28,84.457
2010-03-31,85.459
2010-04-30,84.649
2010-05-31,85.362
2010-06-30,85.261
2010-07-31,85.161
2010-08-31,84.895
2010-09-30,85.083
2010-10-31,85.934
2010-11-30,86.34
2010-12-31,86.039
2011-01-31,85.465
2011-02-28,86.447
2011-03-31,86.861
2011-04-30,87.749
2011-05-31,87.51
2011-06-30,87.825
2011-07-31,86.942
2011-08-31,87.404
2011-09-30,88.013
2011-10-31,88.535
2011-11-30,88.688
2011-12-31,88.955
2012-01-31,88.525
2012-02-29,88.545
2012-03-31,88.873
2012-04-30,89.262
2012-05-31,89.743
2012-06-30,89.738
2012-07-31,89.749
2012-08-31,89.527
2012-09-30,90.586
2012-10-31,90.701
2012-11-30,90.907
2012-12-31,90.579
2013-01-31,90.087
2013-02-28,90.303
2013-03-31,91.141
2013-04-30,90.85
2013-05-31,90.87
2013-06-30,91.752
2013-07-31,90.93
2013-08-31,90.232
2013-09-30,91.343
2013-10-31,91.324
2013-11-30,91.81
2013-12-31,91.266
2014-01-31,91.774
2014-02-28,91.729
2014-03-31,92.014
2014-04-30,93.157
2014-05-31,92.675
2014-06-30,93.129
2014-07-31,92.26
2014-08-31,93.075
2014-09-30,94.356
2014-10-31,94.444
2014-11-30,94.651
2014-12-31,94.365
2015-01-31,93.878
2015-02-28,93.937
2015-03-31,95.69
2015-04-30,95.088
2015-05-31,94.961
2015-06-30,95.422
2015-07-31,94.443
2015-08-31,94.254
2015-09-30,94.642
2015-10-31,95.197
2015-11-30,95.414
2015-12-31,95.339
2016-01-31,95.099
2016-02-29,96.263
2016-03-31,97.928
2016-04-30,96.802
2016-05-31,96.583
2016-06-30,96.818
2016-07-31,95.888
2016-08-31,96.595
2016-09-30,97.742
2016-10-31,97.315
2016-11-30,97.506
2016-12-31,97.51
2017-01-31,95.8
2017-02-28,96.454
2017-03-31,98.577
2017-04-30,98.403
2017-05-31,97.77
2017-06-30,97.177
2017-07-31,98.649
2017-08-31,97.777
2017-09-30,98.221
2017-10-31,99.246
2017-11-30,98.764
2017-12-31,98.511
2018-01-31,97.25
2018-02-28,97.057
2018-03-31,100.184
2018-04-30,99.175
2018-05-31,99.988
2018-06-30,100.45
2018-07-31,99.797
2018-08-31,99.45
2018-09-30,100.322
2018-10-31,100.9
2018-11-30,100.884
2018-12-31,100.034
2019-01-31,99.354
2019-02-28,99.032
2019-03-31,101.605
2019-04-30,101.517
2019-05-31,100.19
2019-06-30,100.189
2019-07-31,99.51
2019-08-31,99.014
2019-09-30,100.193
2019-10-31,100.479
2019-11-30,100.007
2019-12-31,98.912
2020-01-31,98.087
2020-02-29,99.643
2020-03-31,101.049
2020-04-30,101.193
2020-05-31,101.274
2020-06-30,101.833
2020-07-31,102.283
2020-08-31,101.967
2020-09-30,101.892
2020-10-31,102.131
2020-11-30,102.186
2020-12-31,101.917
2021-01-31,101.059
2021-02-28,101.851
2021-03-31,102.217
2021-04-30,102.7
2021-05-31,102.24
2021-06-30,103.053
2021-07-31,102.424
2021-08-31,103.149
2021-09-30,103.882
2021-10-31,104.138
2021-11-30,103.905
2021-12-31,103.362
2022-01-31,102.602
2022-02-28,103.429
2022-03-31,104.555
2022-04-30,104.864
2022-05-31,105.427
2022-06-30,106.149
2022-07-31,106.678
2022-08-31,106.726
2022-09-30,107.454
2022-10-31,107.921
2022-11-30,109.953
2022-12-31,109.646
2023-01-31,109.841
2023-02-28,108.992
2023-03-31,109.817
2023-04-30,111.087
2023-05-31,113.597
2023-06-30,113.078
2023-07-31,113.235
2023-08-31,112.439
2023-09-30,113.158
2023-10-31,116.096
2023-11-30,116.094
2023-12-31,115.596
2024-01-31,115.886
2024-02-29,116.001
2024-03-31,117.084
2024-04-30,116.768
