date,value
2014-01-31,96.58
2014-02-28,96.999
2014-03-31,95.325
2014-04-30,96.756
2014-05-31,97.39
2014-06-30,95.805
2014-07-31,96.129
2014-08-31,95.901
2014-09-30,96.4
2014-10-31,96.156
2014-11-30,95.917
2014-12-31,97.396
2015-01-31,96.283
2015-02-28,95.387
2015-03-31,95.009
2015-04-30,95.81
2015-05-31,95.676
2015-06-30,96.276
2015-07-31,96.719
2015-08-31,95.822
2015-09-30,95.228
2015-10-31,95.821
2015-11-30,96.566
2015-12-31,96.844
2016-01-31,96.626
2016-02-29,97.346
2016-03-31,97.082
2016-04-30,96.866
2016-05-31,96.713
2016-06-30,96.554
2016-07-31,96.933
2016-08-31,96.651
2016-09-30,96.679
2016-10-31,96.314
2016-11-30,97.493
2016-12-31,96.503
2017-01-31,96.036
2017-02-28,97.141
2017-03-31,97.001
2017-04-30,98.826
2017-05-31,98.085
2017-06-30,97.04
2017-07-31,97.132
2017-08-31,97.61
2017-09-30,98.02
2017-10-31,97.713
2017-11-30,98.032
2017-12-31,98.287
2018-01-31,98.58
2018-02-28,100.33
2018-03-31,100.281
2018-04-30,100.353
2018-05-31,100.067
2018-06-30,100.522
2018-07-31,99.845
2018-08-31,99.524
2018-09-30,100.352
2018-10-31,100.548
2018-11-30,100.486
2018-12-31,100.21
2019-01-31,99.81
2019-02-28,101.319
2019-03-31,99.382
2019-04-30,98.727
2019-05-31,99.496
2019-06-30,100.076
2019-07-31,99.465
2019-08-31,100.048
2019-09-30,100.009
2019-10-31,100.456
2019-11-30,100.591
2019-12-31,100.624
2020-01-31,100.551
2020-02-29,101.095
2020-03-31,99.969
2020-04-30,105.494
2020-05-31,106.297
2020-06-30,106.403
2020-07-31,104.925
2020-08-31,104.58
2020-09-30,105.358
2020-10-31,104.627
2020-11-30,104.627
2020-12-31,104.546
2021-01-31,104.804
2021-02-28,105.11
2021-03-31,105.665
2021-04-30,105.277
2021-05-31,105.533
2021-06-30,105.119
2021-07-31,105.158
2021-08-31,104.685
2021-09-30,105.259
2021-10-31,105.243
2021-11-30,105.762
2021-12-31,105.49
2022-01-31,105.475
2022-02-28,106.174
2022-03-31,106.678
2022-04-30,107.622
2022-05-31,107.515
2022-06-30,107.874
2022-07-31,108.179
2022-08-31,108.408
2022-09-30,109.447
2022-10-31,109.142
2022-11-30,110.822
2022-12-31,111.22
2023-01-31,110.651
2023-02-28,109.396
2023-03-31,111.446
2023-04-30,111.356
2023-05-31,112.232
2023-06-30,112.383
2023-07-31,112.56
2023-08-31,114.158
2023-09-30,114.546
2023-10-31,113.73
2023-11-30,113.777
2023-12-31,114.401
2024-01-31,114.748
2024-02-29,115.479
2024-03-31,114.662
2024-04-30,114.257
