date,value
2014-01-31,98.421
2014-02-28,96.763
2014-03-31,100.284
2014-04-30,99.421
2014-05-31,99.476
2014-06-30,95.762
2014-07-31,98.868
2014-08-31,99.92
2014-09-30,97.693
2014-10-31,97.797
2014-11-30,97.546
2014-12-31,96.339
2015-01-31,97.144
2015-02-28,97.0
2015-03-31,95.883
2015-04-30,96.59
2015-05-31,96.72
2015-06-30,95.322
2015-07-31,95.942
2015-08-31,96.691
2015-09-30,96.333
2015-10-31,97.088
2015-11-30,96.262
2015-12-31,96.471
2016-01-31,97.852
2016-02-29,98.563
2016-03-31,99.592
2016-04-30,99.47
2016-05-31,97.501
2016-06-30,95.527
2016-07-31,96.343
2016-08-31,97.958
2016-09-30,96.817
2016-10-31,98.263
2016-11-30,100.484
2016-12-31,99.827
2017-01-31,99.029
2017-02-28,99.864
2017-03-31,102.035
2017-04-30,101.861
2017-05-31,100.985
2017-06-30,100.257
2017-07-31,101.169
2017-08-31,101.22
2017-09-30,100.797
2017-10-31,102.16
2017-11-30,101.295
2017-12-31,101.139
2018-01-31,101.976
2018-02-28,101.609
2018-03-31,101.971
2018-04-30,102.098
2018-05-31,100.94
2018-06-30,100.797
2018-07-31,100.317
2018-08-31,100.252
2018-09-30,100.216
2018-10-31,99.53
2018-11-30,99.224
2018-12-31,99.607
2019-01-31,100.283
2019-02-28,100.234
2019-03-31,99.875
2019-04-30,99.673
2019-05-31,101.033
2019-06-30,100.368
2019-07-31,100.54
2019-08-31,100.074
2019-09-30,100.168
2019-10-31,99.404
2019-11-30,99.225
2019-12-31,99.124
2020-01-31,98.663
2020-02-29,99.291
2020-03-31,95.227
2020-04-30,92.293
2020-05-31,91.936
2020-06-30,91.433
2020-07-31,90.83
2020-08-31,89.754
2020-09-30,91.541
2020-10-31,93.191
2020-11-30,91.317
2020-12-31,92.114
2021-01-31,95.275
2021-02-28,93.894
2021-03-31,93.941
2021-04-30,93.573
2021-05-31,93.391
2021-06-30,93.285
2021-07-31,95.979
2021-08-31,99.41
2021-09-30,99.562
2021-10-31,97.755
2021-11-30,97.515
2021-12-31,99.27
2022-01-31,97.329
2022-02-28,98.556
2022-03-31,98.474
2022-04-30,99.363
2022-05-31,99.958
2022-06-30,97.808
2022-07-31,97.999
2022-08-31,97.877
2022-09-30,98.933
2022-10-31,99.638
2022-11-30,99.661
2022-12-31,99.134
2023-01-31,98.497
2023-02-28,98.88
2023-03-31,100.026
2023-04-30,98.547
2023-05-31,98.873
2023-06-30,99.676
2023-07-31,98.245
2023-08-31,98.621
2023-09-30,96.21
2023-10-31,96.193
2023-11-30,97.959
2023-12-31,93.539
2024-01-31,95.168
2024-02-29,98.521
2024-03-31,99.665
2024-04-30,102.702
