date,value
2014-01-31,99.93
2014-02-28,99.93
2014-03-31,99.93
2014-04-30,99.93
2014-05-31,99.93
2014-06-30,99.93
2014-07-31,99.93
2014-08-31,99.267
2014-09-30,98.675
2014-10-31,98.675
2014-11-30,97.808
2014-12-31,98.675
2015-01-31,98.675
2015-02-28,98.675
2015-03-31,96.439
2015-04-30,94.674
2015-05-31,96.969
2015-06-30,98.224
2015-07-31,98.106
2015-08-31,98.106
2015-09-30,98.106
2015-10-31,97.262
2015-11-30,95.118
2015-12-31,95.118
2016-01-31,97.695
2016-02-29,97.858
2016-03-31,96.74
2016-04-30,96.552
2016-05-31,95.773
2016-06-30,96.355
2016-07-31,95.952
2016-08-31,96.58
2016-09-30,96.58
2016-10-31,96.097
2016-11-30,95.366
2016-12-31,95.366
2017-01-31,98.054
2017-02-28,97.952
2017-03-31,97.259
2017-04-30,98.206
2017-05-31,98.162
2017-06-30,98.162
2017-07-31,99.335
2017-08-31,98.524
2017-09-30,98.524
2017-10-31,97.774
2017-11-30,95.963
2017-12-31,96.472
2018-01-31,98.862
2018-02-28,98.28
2018-03-31,98.52
2018-04-30,100.046
2018-05-31,99.049
2018-06-30,98.73
2018-07-31,99.909
2018-08-31,100.216
2018-09-30,99.372
2018-10-31,99.372
2018-11-30,99.372
2018-12-31,99.423
2019-01-31,100.57
2019-02-28,101.281
2019-03-31,101.403
2019-04-30,101.444
2019-05-31,100.075
2019-06-30,97.795
2019-07-31,98.51
2019-08-31,99.842
2019-09-30,100.078
2019-10-31,100.119
2019-11-30,97.774
2019-12-31,101.11
2020-01-31,101.645
2020-02-29,98.849
2020-03-31,101.466
2020-04-30,102.791
2020-05-31,109.062
2020-06-30,107.477
2020-07-31,109.062
2020-08-31,109.062
2020-09-30,108.192
2020-10-31,108.192
2020-11-30,108.233
2020-12-31,108.233
2021-01-31,109.231
2021-02-28,108.507
2021-03-31,108.648
2021-04-30,109.564
2021-05-31,108.219
2021-06-30,108.859
2021-07-31,109.957
2021-08-31,110.055
2021-09-30,109.528
2021-10-31,109.797
2021-11-30,109.92
2021-12-31,108.864
2022-01-31,104.505
2022-02-28,104.701
2022-03-31,267.624
2022-04-30,200.39
2022-05-31,141.882
2022-06-30,137.634
2022-07-31,135.628
2022-08-31,130.02
2022-09-30,131.877
2022-10-31,134.619
2022-11-30,135.348
2022-12-31,137.859
2023-01-31,135.526
2023-02-28,137.391
2023-03-31,134.298
2023-04-30,137.341
2023-05-31,138.339
2023-06-30,138.002
2023-07-31,137.564
2023-08-31,134.668
2023-09-30,138.736
2023-10-31,140.553
2023-11-30,136.182
2023-12-31,137.045
2024-01-31,141.777
2024-02-29,138.423
2024-03-31,139.555
2024-04-30,138.674
