date,value
2014-01-31,95.94
2014-02-28,96.209
2014-03-31,96.245
2014-04-30,97.047
2014-05-31,96.54
2014-06-30,96.22
2014-07-31,95.827
2014-08-31,95.83
2014-09-30,96.701
2014-10-31,96.501
2014-11-30,96.306
2014-12-31,96.725
2015-01-31,96.438
2015-02-28,97.172
2015-03-31,97.464
2015-04-30,96.999
2015-05-31,96.423
2015-06-30,97.251
2015-07-31,95.375
2015-08-31,94.508
2015-09-30,95.617
2015-10-31,96.242
2015-11-30,95.551
2015-12-31,95.79
2016-01-31,95.997
2016-02-29,96.316
2016-03-31,96.722
2016-04-30,96.962
2016-05-31,96.999
2016-06-30,97.211
2016-07-31,97.124
2016-08-31,97.239
2016-09-30,98.293
2016-10-31,97.622
2016-11-30,98.024
2016-12-31,99.167
2017-01-31,99.009
2017-02-28,99.153
2017-03-31,99.024
2017-04-30,99.214
2017-05-31,99.734
2017-06-30,99.826
2017-07-31,99.488
2017-08-31,98.693
2017-09-30,100.103
2017-10-31,100.308
2017-11-30,98.629
2017-12-31,98.297
2018-01-31,98.242
2018-02-28,97.28
2018-03-31,98.827
2018-04-30,98.843
2018-05-31,98.78
2018-06-30,98.904
2018-07-31,99.365
2018-08-31,99.35
2018-09-30,99.95
2018-10-31,99.188
2018-11-30,99.549
2018-12-31,99.248
2019-01-31,98.799
2019-02-28,99.2
2019-03-31,99.572
2019-04-30,99.546
2019-05-31,99.243
2019-06-30,99.893
2019-07-31,100.463
2019-08-31,100.002
2019-09-30,100.982
2019-10-31,100.819
2019-11-30,100.577
2019-12-31,100.907
2020-01-31,100.899
2020-02-29,102.648
2020-03-31,103.576
2020-04-30,105.997
2020-05-31,108.512
2020-06-30,108.154
2020-07-31,106.898
2020-08-31,105.592
2020-09-30,105.936
2020-10-31,106.207
2020-11-30,106.3
2020-12-31,106.267
2021-01-31,106.147
2021-02-28,105.988
2021-03-31,106.124
2021-04-30,106.387
2021-05-31,106.288
2021-06-30,106.097
2021-07-31,106.468
2021-08-31,106.073
2021-09-30,106.198
2021-10-31,107.716
2021-11-30,107.666
2021-12-31,107.467
2022-01-31,107.947
2022-02-28,108.477
2022-03-31,109.147
2022-04-30,111.307
2022-05-31,111.804
2022-06-30,111.755
2022-07-31,111.974
2022-08-31,112.175
2022-09-30,113.318
2022-10-31,114.149
2022-11-30,115.56
2022-12-31,116.159
2023-01-31,115.632
2023-02-28,114.781
2023-03-31,116.07
2023-04-30,117.057
2023-05-31,116.763
2023-06-30,116.566
2023-07-31,117.505
2023-08-31,118.006
2023-09-30,117.61
2023-10-31,117.537
2023-11-30,120.202
2023-12-31,119.886
2024-01-31,118.679
2024-02-29,118.957
2024-03-31,118.835
2024-04-30,120.549
