date,value
2014-01-31,95.325
2014-02-28,95.269
2014-03-31,94.994
2014-04-30,95.755
2014-05-31,95.111
2014-06-30,96.36
2014-07-31,95.606
2014-08-31,95.567
2014-09-30,95.293
2014-10-31,96.358
2014-11-30,96.475
2014-12-31,97.131
2015-01-31,95.349
2015-02-28,96.274
2015-03-31,95.892
2015-04-30,94.995
2015-05-31,94.389
2015-06-30,95.519
2015-07-31,95.594
2015-08-31,95.368
2015-09-30,94.863
2015-10-31,95.193
2015-11-30,96.106
2015-12-31,98.524
2016-01-31,95.872
2016-02-29,96.085
2016-03-31,95.627
2016-04-30,95.88
2016-05-31,95.866
2016-06-30,97.132
2016-07-31,96.068
2016-08-31,96.057
2016-09-30,95.686
2016-10-31,95.904
2016-11-30,96.341
2016-12-31,99.757
2017-01-31,96.953
2017-02-28,95.547
2017-03-31,95.712
2017-04-30,95.68
2017-05-31,94.607
2017-06-30,96.213
2017-07-31,94.668
2017-08-31,95.251
2017-09-30,95.052
2017-10-31,96.044
2017-11-30,96.925
2017-12-31,99.539
2018-01-31,96.428
2018-02-28,97.737
2018-03-31,95.684
2018-04-30,96.254
2018-05-31,96.556
2018-06-30,98.055
2018-07-31,97.21
2018-08-31,97.657
2018-09-30,97.467
2018-10-31,98.458
2018-11-30,98.468
2018-12-31,102.317
2019-01-31,98.45
2019-02-28,99.41
2019-03-31,98.623
2019-04-30,99.731
2019-05-31,100.126
2019-06-30,101.47
2019-07-31,99.401
2019-08-31,99.296
2019-09-30,99.257
2019-10-31,100.309
2019-11-30,100.686
2019-12-31,103.243
2020-01-31,101.869
2020-02-29,99.104
2020-03-31,98.509
2020-04-30,97.603
2020-05-31,98.061
2020-06-30,98.081
2020-07-31,97.767
2020-08-31,98.383
2020-09-30,98.708
2020-10-31,98.284
2020-11-30,98.765
2020-12-31,99.2
2021-01-31,98.43
2021-02-28,98.852
2021-03-31,98.784
2021-04-30,98.709
2021-05-31,99.489
2021-06-30,99.788
2021-07-31,99.523
2021-08-31,99.938
2021-09-30,100.634
2021-10-31,100.759
2021-11-30,102.016
2021-12-31,103.393
2022-01-31,102.139
2022-02-28,101.66
2022-03-31,102.991
2022-04-30,102.958
2022-05-31,104.568
2022-06-30,107.518
2022-07-31,105.8
2022-08-31,109.809
2022-09-30,110.156
2022-10-31,111.02
2022-11-30,111.525
2022-12-31,115.163
2023-01-31,112.274
2023-02-28,111.634
2023-03-31,112.707
2023-04-30,113.772
2023-05-31,113.557
2023-06-30,114.275
2023-07-31,114.456
2023-08-31,114.564
2023-09-30,113.647
2023-10-31,115.486
2023-11-30,116.364
2023-12-31,121.608
2024-01-31,116.356
2024-02-29,117.951
2024-03-31,117.703
2024-04-30,119.137
