date,value
2014-01-31,87.624
2014-02-28,87.156
2014-03-31,87.159
2014-04-30,87.139
2014-05-31,87.317
2014-06-30,87.47
2014-07-31,87.839
2014-08-31,87.861
2014-09-30,86.756
2014-10-31,87.26
2014-11-30,87.301
2014-12-31,87.324
2015-01-31,87.903
2015-02-28,87.916
2015-03-31,87.917
2015-04-30,88.099
2015-05-31,88.099
2015-06-30,88.339
2015-07-31,89.109
2015-08-31,89.47
2015-09-30,89.47
2015-10-31,89.637
2015-11-30,90.377
2015-12-31,90.429
2016-01-31,91.401
2016-02-29,91.55
2016-03-31,91.758
2016-04-30,92.199
2016-05-31,92.353
2016-06-30,92.744
2016-07-31,93.094
2016-08-31,93.544
2016-09-30,93.544
2016-10-31,93.55
2016-11-30,93.66
2016-12-31,93.809
2017-01-31,95.126
2017-02-28,95.161
2017-03-31,95.294
2017-04-30,96.369
2017-05-31,96.406
2017-06-30,96.437
2017-07-31,96.758
2017-08-31,96.775
2017-09-30,96.788
2017-10-31,96.883
2017-11-30,96.925
2017-12-31,96.925
2018-01-31,97.18
2018-02-28,97.451
2018-03-31,97.421
2018-04-30,97.705
2018-05-31,97.777
2018-06-30,97.857
2018-07-31,98.01
2018-08-31,98.11
2018-09-30,98.191
2018-10-31,98.639
2018-11-30,98.648
2018-12-31,98.729
2019-01-31,99.349
2019-02-28,99.554
2019-03-31,99.554
2019-04-30,99.676
2019-05-31,99.83
2019-06-30,99.867
2019-07-31,100.165
2019-08-31,100.165
2019-09-30,100.263
2019-10-31,100.523
2019-11-30,100.528
2019-12-31,100.528
2020-01-31,100.92
2020-02-29,100.941
2020-03-31,100.994
2020-04-30,100.909
2020-05-31,101.092
2020-06-30,101.092
2020-07-31,101.066
2020-08-31,101.091
2020-09-30,101.091
2020-10-31,101.162
2020-11-30,101.162
2020-12-31,101.162
2021-01-31,101.371
2021-02-28,101.394
2021-03-31,101.396
2021-04-30,101.493
2021-05-31,101.659
2021-06-30,101.717
2021-07-31,101.908
2021-08-31,102.21
2021-09-30,102.46
2021-10-31,102.492
2021-11-30,102.493
2021-12-31,102.705
2022-01-31,102.912
2022-02-28,103.043
2022-03-31,103.251
2022-04-30,103.55
2022-05-31,103.52
2022-06-30,103.974
2022-07-31,105.121
2022-08-31,105.178
2022-09-30,105.4
2022-10-31,106.107
2022-11-30,106.472
2022-12-31,106.562
2023-01-31,109.789
2023-02-28,109.789
2023-03-31,109.807
2023-04-30,110.146
2023-05-31,110.788
2023-06-30,110.889
2023-07-31,110.976
2023-08-31,111.441
2023-09-30,111.681
2023-10-31,111.832
2023-11-30,112.415
2023-12-31,112.485
2024-01-31,113.961
2024-02-29,114.655
2024-03-31,115.047
2024-04-30,115.211
