date,value
2000-01-31,94.077
2000-02-29,93.665
2000-03-31,95.918
2000-04-30,94.219
2000-05-31,93.431
2000-06-30,92.101
2000-07-31,94.482
2000-08-31,95.342
2000-09-30,93.253
2000-10-31,95.223
2000-11-30,95.737
2000-12-31,94.445
2001-01-31,94.053
2001-02-28,95.53
2001-03-31,96.013
2001-04-30,95.531
2001-05-31,94.507
2001-06-30,91.281
2001-07-31,94.915
2001-08-31,94.26
2001-09-30,94.071
2001-10-31,90.811
2001-11-30,93.986
2001-12-31,93.419
2002-01-31,91.908
2002-02-28,91.997
2002-03-31,94.37
2002-04-30,93.781
2002-05-31,94.51
2002-06-30,91.223
2002-07-31,95.305
2002-08-31,95.042
2002-09-30,92.92
2002-10-31,94.333
2002-11-30,94.097
2002-12-31,93.865
2003-01-31,93.52
2003-02-28,93.239
2003-03-31,96.759
2003-04-30,95.267
2003-05-31,94.87
2003-06-30,92.294
2003-07-31,94.529
2003-08-31,96.413
2003-09-30,93.278
2003-10-31,95.687
2003-11-30,96.41
2003-12-31,95.087
2004-01-31,96.942
2004-02-29,97.621
2004-03-31,96.768
2004-04-30,97.955
2004-05-31,97.729
2004-06-30,92.025
2004-07-31,92.974
2004-08-31,96.069
2004-09-30,93.001
2004-10-31,93.205
2004-11-30,93.877
2004-12-31,92.348
2005-01-31,92.829
2005-02-28,90.111
2005-03-31,93.227
2005-04-30,93.836
2005-05-31,91.292
2005-06-30,89.861
2005-07-31,91.525
2005-08-31,96.914
2005-09-30,93.392
2005-10-31,93.478
2005-11-30,95.054
2005-12-31,92.618
2006-01-31,93.901
2006-02-28,95.495
2006-03-31,95.648
2006-04-30,96.088
2006-05-31,95.406
2006-06-30,93.338
2006-07-31,94.859
2006-08-31,97.343
2006-09-30,95.113
2006-10-31,98.045
2006-11-30,96.182
2006-12-31,96.158
2007-01-31,97.429
2007-02-28,96.404
2007-03-31,98.518
2007-04-30,97.694
2007-05-31,96.574
2007-06-30,95.9
2007-07-31,97.141
2007-08-31,99.661
2007-09-30,98.418
2007-10-31,96.947
2007-11-30,99.113
2007-12-31,98.342
2008-01-31,99.221
2008-02-29,98.105
2008-03-31,100.38
2008-04-30,100.37
2008-05-31,99.183
2008-06-30,97.453
2008-07-31,97.378
2008-08-31,100.334
2008-09-30,99.368
2008-10-31,99.665
2008-11-30,95.386
2008-12-31,97.575
2009-01-31,97.896
2009-02-28,94.632
2009-03-31,99.988
2009-04-30,99.367
2009-05-31,98.332
2009-06-30,96.342
2009-07-31,96.098
2009-08-31,99.198
2009-09-30,98.569
2009-10-31,99.338
2009-11-30,99.043
2009-12-31,98.796
2010-01-31,98.971
2010-02-28,98.247
2010-03-31,98.679
2010-04-30,99.289
2010-05-31,99.485
2010-06-30,96.911
2010-07-31,98.526
2010-08-31,101.65
2010-09-30,98.753
2010-10-31,100.149
2010-11-30,100.927
2010-12-31,99.392
2011-01-31,99.782
2011-02-28,98.015
2011-03-31,100.147
2011-04-30,100.013
2011-05-31,98.583
2011-06-30,97.756
2011-07-31,98.574
2011-08-31,99.779
2011-09-30,98.123
2011-10-31,100.231
2011-11-30,98.364
2011-12-31,98.393
2012-01-31,98.492
2012-02-29,98.212
2012-03-31,99.613
2012-04-30,99.713
2012-05-31,98.724
2012-06-30,97.665
2012-07-31,99.074
2012-08-31,99.432
2012-09-30,98.804
2012-10-31,97.566
2012-11-30,99.292
2012-12-31,98.278
2013-01-31,98.128
2013-02-28,97.635
2013-03-31,100.1
2013-04-30,99.363
2013-05-31,100.637
2013-06-30,97.12
2013-07-31,97.027
2013-08-31,99.1
2013-09-30,98.951
2013-10-31,98.057
2013-11-30,99.59
2013-12-31,96.639
2014-01-31,98.815
2014-02-28,97.462
2014-03-31,100.335
2014-04-30,99.631
2014-05-31,99.676
2014-06-30,96.645
2014-07-31,99.18
2014-08-31,100.059
2014-09-30,98.142
2014-10-31,98.456
2014-11-30,98.25
2014-12-31,97.266
2015-01-31,97.923
2015-02-28,97.805
2015-03-31,97.233
2015-04-30,97.81
2015-05-31,97.577
2015-06-30,96.396
2015-07-31,96.942
2015-08-31,97.554
2015-09-30,97.289
2015-10-31,98.118
2015-11-30,97.248
2015-12-31,97.42
2016-01-31,98.546
2016-02-29,99.013
2016-03-31,99.966
2016-04-30,99.848
2016-05-31,98.242
2016-06-30,96.631
2016-07-31,97.294
2016-08-31,98.612
2016-09-30,97.641
2016-10-31,98.906
2016-11-30,100.757
2016-12-31,100.165
2017-01-31,99.464
2017-02-28,100.192
2017-03-31,101.963
2017-04-30,101.855
2017-05-31,101.138
2017-06-30,100.499
2017-07-31,101.304
2017-08-31,101.345
2017-09-30,101.0
