date,value
2014-01-31,97.575
2014-02-28,98.142
2014-03-31,96.253
2014-04-30,96.72
2014-05-31,96.689
2014-06-30,96.311
2014-07-31,95.776
2014-08-31,96.567
2014-09-30,96.289
2014-10-31,96.446
2014-11-30,96.295
2014-12-31,96.611
2015-01-31,96.32
2015-02-28,97.803
2015-03-31,97.051
2015-04-30,97.571
2015-05-31,97.267
2015-06-30,96.058
2015-07-31,97.151
2015-08-31,96.906
2015-09-30,97.03
2015-10-31,95.99
2015-11-30,96.659
2015-12-31,96.191
2016-01-31,96.433
2016-02-29,97.136
2016-03-31,96.312
2016-04-30,96.292
2016-05-31,96.944
2016-06-30,96.81
2016-07-31,96.939
2016-08-31,96.049
2016-09-30,96.498
2016-10-31,96.199
2016-11-30,96.773
2016-12-31,97.429
2017-01-31,98.469
2017-02-28,99.406
2017-03-31,97.183
2017-04-30,98.832
2017-05-31,97.67
2017-06-30,98.141
2017-07-31,97.579
2017-08-31,99.157
2017-09-30,98.123
2017-10-31,98.498
2017-11-30,99.019
2017-12-31,99.391
2018-01-31,97.734
2018-02-28,99.415
2018-03-31,99.464
2018-04-30,100.506
2018-05-31,100.371
2018-06-30,100.041
2018-07-31,99.969
2018-08-31,99.393
2018-09-30,100.274
2018-10-31,99.922
2018-11-30,100.326
2018-12-31,100.756
2019-01-31,101.054
2019-02-28,100.632
2019-03-31,99.828
2019-04-30,99.449
2019-05-31,99.712
2019-06-30,99.527
2019-07-31,98.579
2019-08-31,100.099
2019-09-30,100.021
2019-10-31,100.571
2019-11-30,100.32
2019-12-31,100.209
2020-01-31,99.712
2020-02-29,100.48
2020-03-31,100.216
2020-04-30,99.731
2020-05-31,100.166
2020-06-30,100.235
2020-07-31,100.054
2020-08-31,100.36
2020-09-30,101.207
2020-10-31,100.837
2020-11-30,100.638
2020-12-31,100.137
2021-01-31,100.774
2021-02-28,99.934
2021-03-31,100.288
2021-04-30,100.553
2021-05-31,100.374
2021-06-30,100.72
2021-07-31,100.282
2021-08-31,100.202
2021-09-30,100.515
2021-10-31,101.16
2021-11-30,101.132
2021-12-31,101.308
2022-01-31,101.485
2022-02-28,101.688
2022-03-31,101.544
2022-04-30,102.527
2022-05-31,102.495
2022-06-30,102.392
2022-07-31,103.36
2022-08-31,103.202
2022-09-30,105.748
2022-10-31,106.554
2022-11-30,107.387
2022-12-31,107.369
2023-01-31,109.337
2023-02-28,108.954
2023-03-31,109.585
2023-04-30,111.692
2023-05-31,112.69
2023-06-30,112.622
2023-07-31,113.55
2023-08-31,113.257
2023-09-30,113.921
2023-10-31,114.679
2023-11-30,114.991
2023-12-31,115.16
2024-01-31,115.462
2024-02-29,112.185
2024-03-31,112.096
2024-04-30,112.034
