date,value
2014-01-31,99.318
2014-02-28,99.318
2014-03-31,99.318
2014-04-30,99.323
2014-05-31,99.328
2014-06-30,99.328
2014-07-31,99.328
2014-08-31,99.328
2014-09-30,99.328
2014-10-31,99.318
2014-11-30,99.318
2014-12-31,99.318
2015-01-31,99.318
2015-02-28,99.318
2015-03-31,99.318
2015-04-30,99.674
2015-05-31,99.674
2015-06-30,99.784
2015-07-31,99.788
2015-08-31,99.788
2015-09-30,99.788
2015-10-31,99.788
2015-11-30,99.788
2015-12-31,100.0
2016-01-31,100.0
2016-02-29,100.0
2016-03-31,100.0
2016-04-30,100.0
2016-05-31,100.0
2016-06-30,100.0
2016-07-31,100.0
2016-08-31,100.0
2016-09-30,100.0
2016-10-31,100.0
2016-11-30,100.0
2016-12-31,100.0
2017-01-31,100.0
2017-02-28,100.0
2017-03-31,100.0
2017-04-30,100.0
2017-05-31,100.0
2017-06-30,100.0
2017-07-31,100.0
2017-08-31,100.0
2017-09-30,100.0
2017-10-31,100.0
2017-11-30,100.0
2017-12-31,100.0
2018-01-31,100.0
2018-02-28,100.0
2018-03-31,100.0
2018-04-30,100.0
2018-05-31,100.0
2018-06-30,100.0
2018-07-31,100.0
2018-08-31,100.0
2018-09-30,100.0
2018-10-31,100.0
2018-11-30,100.0
2018-12-31,100.0
2019-01-31,100.888
2019-02-28,100.271
2019-03-31,101.877
2019-04-30,99.919
2019-05-31,99.731
2019-06-30,98.862
2019-07-31,99.285
2019-08-31,98.74
2019-09-30,99.483
2019-10-31,99.542
2019-11-30,100.036
2019-12-31,101.365
2020-01-31,101.011
2020-02-29,102.429
2020-03-31,99.205
2020-04-30,98.088
2020-05-31,97.051
2020-06-30,96.336
2020-07-31,97.025
2020-08-31,98.626
2020-09-30,99.268
2020-10-31,99.355
2020-11-30,99.739
2020-12-31,100.383
2021-01-31,102.394
2021-02-28,102.561
2021-03-31,104.844
2021-04-30,103.724
2021-05-31,104.785
2021-06-30,100.911
2021-07-31,102.386
2021-08-31,103.886
2021-09-30,104.205
2021-10-31,104.69
2021-11-30,103.141
2021-12-31,106.039
2022-01-31,109.475
2022-02-28,108.675
2022-03-31,112.899
2022-04-30,114.413
2022-05-31,119.117
2022-06-30,121.52
2022-07-31,119.501
2022-08-31,120.089
2022-09-30,122.691
2022-10-31,123.627
2022-11-30,123.281
2022-12-31,124.798
2023-01-31,124.255
2023-02-28,125.908
2023-03-31,123.775
2023-04-30,120.583
2023-05-31,120.239
2023-06-30,120.62
2023-07-31,120.358
2023-08-31,120.895
2023-09-30,122.136
2023-10-31,122.658
2023-11-30,120.358
2023-12-31,124.843
2024-01-31,128.886
2024-02-29,130.435
2024-03-31,133.947
2024-04-30,129.974
