date,value
2014-01-31,96.392
2014-02-28,96.841
2014-03-31,96.114
2014-04-30,95.688
2014-05-31,95.604
2014-06-30,95.194
2014-07-31,95.909
2014-08-31,96.299
2014-09-30,95.979
2014-10-31,96.097
2014-11-30,96.198
2014-12-31,96.171
2015-01-31,96.364
2015-02-28,98.9
2015-03-31,96.434
2015-04-30,96.585
2015-05-31,96.659
2015-06-30,96.92
2015-07-31,94.138
2015-08-31,96.276
2015-09-30,96.607
2015-10-31,96.576
2015-11-30,97.482
2015-12-31,97.675
2016-01-31,100.015
2016-02-29,101.813
2016-03-31,100.024
2016-04-30,99.703
2016-05-31,99.887
2016-06-30,100.055
2016-07-31,99.973
2016-08-31,99.76
2016-09-30,99.759
2016-10-31,99.653
2016-11-30,100.245
2016-12-31,100.127
2017-01-31,100.926
2017-02-28,100.624
2017-03-31,99.844
2017-04-30,99.277
2017-05-31,99.544
2017-06-30,99.85
2017-07-31,99.701
2017-08-31,100.373
2017-09-30,100.428
2017-10-31,99.902
2017-11-30,100.125
2017-12-31,100.361
2018-01-31,100.275
2018-02-28,101.46
2018-03-31,99.908
2018-04-30,99.94
2018-05-31,99.697
2018-06-30,100.762
2018-07-31,100.382
2018-08-31,99.481
2018-09-30,100.306
2018-10-31,100.128
2018-11-30,100.063
2018-12-31,100.145
2019-01-31,99.859
2019-02-28,100.446
2019-03-31,99.75
2019-04-30,99.323
2019-05-31,99.513
2019-06-30,99.717
2019-07-31,99.364
2019-08-31,100.19
2019-09-30,100.044
2019-10-31,100.167
2019-11-30,99.929
2019-12-31,101.699
2020-01-31,105.203
2020-02-29,105.145
2020-03-31,107.128
2020-04-30,109.509
2020-05-31,111.726
2020-06-30,111.218
2020-07-31,109.507
2020-08-31,110.134
2020-09-30,109.461
2020-10-31,105.119
2020-11-30,106.248
2020-12-31,105.42
2021-01-31,106.173
2021-02-28,106.19
2021-03-31,105.895
2021-04-30,106.988
2021-05-31,106.856
2021-06-30,106.906
2021-07-31,107.344
2021-08-31,106.829
2021-09-30,107.632
2021-10-31,108.415
2021-11-30,107.131
2021-12-31,107.75
2022-01-31,108.141
2022-02-28,108.809
2022-03-31,108.679
2022-04-30,107.196
2022-05-31,106.173
2022-06-30,109.822
2022-07-31,108.888
2022-08-31,109.545
2022-09-30,110.237
2022-10-31,109.692
2022-11-30,110.682
2022-12-31,110.821
2023-01-31,111.649
2023-02-28,111.612
2023-03-31,112.067
2023-04-30,111.962
2023-05-31,116.679
2023-06-30,117.721
2023-07-31,116.842
2023-08-31,117.711
2023-09-30,117.178
2023-10-31,117.007
2023-11-30,118.188
2023-12-31,118.304
2024-01-31,118.148
2024-02-29,118.156
2024-03-31,115.317
2024-04-30,114.295
