date,value
2000-01-31,78.064
2000-02-29,78.064
2000-03-31,78.064
2000-04-30,78.064
2000-05-31,78.064
2000-06-30,78.064
2000-07-31,78.064
2000-08-31,78.064
2000-09-30,78.064
2000-10-31,78.064
2000-11-30,80.374
2000-12-31,80.374
2001-01-31,80.374
2001-02-28,80.374
2001-03-31,80.374
2001-04-30,80.374
2001-05-31,80.374
2001-06-30,80.374
2001-07-31,80.374
2001-08-31,80.374
2001-09-30,80.374
2001-10-31,80.374
2001-11-30,80.374
2001-12-31,80.374
2002-01-31,78.423
2002-02-28,78.423
2002-03-31,78.423
2002-04-30,78.423
2002-05-31,78.423
2002-06-30,78.423
2002-07-31,78.423
2002-08-31,78.423
2002-09-30,78.423
2002-10-31,78.423
2002-11-30,78.423
2002-12-31,78.423
2003-01-31,78.423
2003-02-28,78.423
2003-03-31,78.423
2003-04-30,78.423
2003-05-31,78.423
2003-06-30,78.423
2003-07-31,78.423
2003-08-31,78.423
2003-09-30,78.423
2003-10-31,78.423
2003-11-30,78.423
2003-12-31,78.423
2004-01-31,78.189
2004-02-29,79.047
2004-03-31,79.047
2004-04-30,79.047
2004-05-31,79.047
2004-06-30,79.047
2004-07-31,79.047
2004-08-31,79.047
2004-09-30,79.047
2004-10-31,79.047
2004-11-30,79.047
2004-12-31,79.047
2005-01-31,79.047
2005-02-28,79.047
2005-03-31,79.047
2005-04-30,79.047
2005-05-31,79.047
2005-06-30,79.047
2005-07-31,79.047
2005-08-31,79.047
2005-09-30,79.047
2005-10-31,79.047
2005-11-30,79.047
2005-12-31,79.047
2006-01-31,79.047
2006-02-28,79.047
2006-03-31,79.047
2006-04-30,79.047
2006-05-31,79.047
2006-06-30,79.047
2006-07-31,79.047
2006-08-31,79.047
2006-09-30,79.047
2006-10-31,79.047
2006-11-30,79.047
2006-12-31,84.514
2007-01-31,91.084
2007-02-28,91.084
2007-03-31,91.084
2007-04-30,91.084
2007-05-31,91.084
2007-06-30,91.084
2007-07-31,91.942
2007-08-31,91.942
2007-09-30,91.942
2007-10-31,91.942
2007-11-30,91.942
2007-12-31,91.942
2008-01-31,91.942
2008-02-29,91.942
2008-03-31,91.942
2008-04-30,91.942
2008-05-31,91.942
2008-06-30,91.942
2008-07-31,91.942
2008-08-31,91.942
2008-09-30,91.942
2008-10-31,91.942
2008-11-30,91.942
2008-12-31,91.942
2009-01-31,91.942
2009-02-28,91.942
2009-03-31,91.942
2009-04-30,91.942
2009-05-31,91.942
2009-06-30,91.942
2009-07-31,91.942
2009-08-31,91.942
2009-09-30,91.942
2009-10-31,91.942
2009-11-30,91.942
2009-12-31,91.942
2010-01-31,91.942
2010-02-28,91.942
2010-03-31,91.942
2010-04-30,91.942
2010-05-31,91.942
2010-06-30,91.942
2010-07-31,91.942
2010-08-31,91.942
2010-09-30,91.942
2010-10-31,91.942
2010-11-30,91.942
2010-12-31,91.942
2011-01-31,91.942
2011-02-28,91.942
2011-03-31,91.942
2011-04-30,91.942
2011-05-31,91.942
2011-06-30,91.942
2011-07-31,91.942
2011-08-31,91.942
2011-09-30,91.942
2011-10-31,91.942
2011-11-30,91.942
2011-12-31,91.942
2012-01-31,91.942
2012-02-29,91.942
2012-03-31,91.942
2012-04-30,91.942
2012-05-31,91.942
2012-06-30,91.942
2012-07-31,91.942
2012-08-31,91.942
2012-09-30,91.942
2012-10-31,91.942
2012-11-30,91.942
2012-12-31,91.942
2013-01-31,91.942
2013-02-28,91.942
2013-03-31,91.942
2013-04-30,91.942
2013-05-31,91.942
2013-06-30,91.942
2013-07-31,91.942
2013-08-31,91.942
2013-09-30,91.942
2013-10-31,91.942
2013-11-30,91.942
2013-12-31,91.942
2014-01-31,93.63
2014-02-28,93.63
2014-03-31,93.63
2014-04-30,93.63
2014-05-31,93.63
2014-06-30,93.63
2014-07-31,93.63
2014-08-31,93.63
2014-09-30,93.63
2014-10-31,100.018
2014-11-30,100.018
2014-12-31,100.018
2015-01-31,100.018
2015-02-28,100.018
2015-03-31,100.018
2015-04-30,100.018
2015-05-31,100.018
2015-06-30,100.018
2015-07-31,100.018
2015-08-31,100.018
2015-09-30,100.018
2015-10-31,100.018
2015-11-30,100.018
2015-12-31,100.018
2016-01-31,100.018
2016-02-29,100.018
2016-03-31,100.018
2016-04-30,100.018
2016-05-31,100.018
2016-06-30,100.018
2016-07-31,100.018
2016-08-31,100.018
2016-09-30,100.018
2016-10-31,100.018
2016-11-30,100.018
2016-12-31,100.018
2017-01-31,100.018
2017-02-28,100.018
2017-03-31,100.018
2017-04-30,100.018
2017-05-31,100.018
2017-06-30,100.018
2017-07-31,100.018
2017-08-31,100.018
2017-09-30,100.018
2017-10-31,100.018
2017-11-30,100.018
2017-12-31,100.018
2018-01-31,100.018
2018-02-28,100.018
2018-03-31,100.018
2018-04-30,100.018
2018-05-31,100.018
2018-06-30,100.018
2018-07-31,100.018
2018-08-31,100.018
2018-09-30,100.018
2018-10-31,100.018
2018-11-30,100.018
2018-12-31,100.018
2019-01-31,100.105
2019-02-28,100.105
2019-03-31,100.105
2019-04-30,100.105
2019-05-31,100.105
2019-06-30,100.105
2019-07-31,100.105
2019-08-31,100.105
2019-09-30,100.105
2019-10-31,100.105
2019-11-30,99.579
2019-12-31,99.379
2020-01-31,105.097
2020-02-29,105.097
2020-03-31,105.097
2020-04-30,105.097
2020-05-31,105.097
2020-06-30,105.097
2020-07-31,105.097
2020-08-31,105.097
2020-09-30,105.097
2020-10-31,98.481
2020-11-30,92.955
2020-12-31,92.955
2021-01-31,92.955
2021-02-28,92.955
2021-03-31,92.955
2021-04-30,92.955
2021-05-31,92.955
2021-06-30,92.955
2021-07-31,92.955
2021-08-31,92.955
2021-09-30,92.955
2021-10-31,92.955
2021-11-30,92.955
2021-12-31,92.955
2022-01-31,93.368
2022-02-28,93.368
2022-03-31,96.759
2022-04-30,96.759
2022-05-31,98.049
2022-06-30,98.049
2022-07-31,98.417
2022-08-31,99.68
2022-09-30,99.68
2022-10-31,99.68
2022-11-30,96.399
2022-12-31,95.579
2023-01-31,96.681
2023-02-28,96.681
2023-03-31,96.681
2023-04-30,96.681
2023-05-31,96.681
2023-06-30,96.681
2023-07-31,96.681
2023-08-31,96.681
2023-09-30,96.681
2023-10-31,105.962
2023-11-30,109.195
2023-12-31,109.195
2024-01-31,111.633
2024-02-29,111.785
2024-03-31,111.785
2024-04-30,111.785
