date,value
2000-01-31,65.281
2000-02-29,65.683
2000-03-31,65.373
2000-04-30,64.771
2000-05-31,64.668
2000-06-30,64.867
2000-07-31,64.959
2000-08-31,64.909
2000-09-30,64.998
2000-10-31,65.317
2000-11-30,65.541
2000-12-31,65.729
2001-01-31,66.772
2001-02-28,66.772
2001-03-31,66.822
2001-04-30,66.243
2001-05-31,66.033
2001-06-30,66.32
2001-07-31,66.599
2001-08-31,66.546
2001-09-30,66.485
2001-10-31,66.638
2001-11-30,66.493
2001-12-31,66.667
2002-01-31,66.9
2002-02-28,66.909
2002-03-31,66.943
2002-04-30,66.89
2002-05-31,66.914
2002-06-30,66.985
2002-07-31,67.019
2002-08-31,67.007
2002-09-30,67.097
2002-10-31,67.091
2002-11-30,67.008
2002-12-31,67.155
2003-01-31,67.872
2003-02-28,67.92
2003-03-31,67.925
2003-04-30,67.832
2003-05-31,67.773
2003-06-30,67.824
2003-07-31,68.555
2003-08-31,68.558
2003-09-30,68.558
2003-10-31,68.629
2003-11-30,68.81
2003-12-31,68.937
2004-01-31,70.068
2004-02-29,69.907
2004-03-31,69.883
2004-04-30,70.074
2004-05-31,70.077
2004-06-30,70.164
2004-07-31,70.158
2004-08-31,70.187
2004-09-30,70.27
2004-10-31,70.536
2004-11-30,70.536
2004-12-31,70.769
2005-01-31,70.887
2005-02-28,71.435
2005-03-31,70.897
2005-04-30,71.216
2005-05-31,71.186
2005-06-30,71.186
2005-07-31,71.504
2005-08-31,71.643
2005-09-30,71.643
2005-10-31,71.64
2005-11-30,71.645
2005-12-31,72.165
2006-01-31,71.598
2006-02-28,71.6
2006-03-31,71.631
2006-04-30,72.199
2006-05-31,72.191
2006-06-30,72.216
2006-07-31,72.667
2006-08-31,72.667
2006-09-30,72.712
2006-10-31,73.174
2006-11-30,73.271
2006-12-31,73.836
2007-01-31,73.579
2007-02-28,73.816
2007-03-31,73.593
2007-04-30,73.912
2007-05-31,73.926
2007-06-30,73.912
2007-07-31,75.507
2007-08-31,75.572
2007-09-30,75.576
2007-10-31,76.541
2007-11-30,76.582
2007-12-31,78.008
2008-01-31,78.85
2008-02-29,78.882
2008-03-31,78.915
2008-04-30,79.126
2008-05-31,79.147
2008-06-30,79.159
2008-07-31,79.418
2008-08-31,79.418
2008-09-30,79.338
2008-10-31,79.763
2008-11-30,79.759
2008-12-31,79.822
2009-01-31,80.077
2009-02-28,80.103
2009-03-31,80.103
2009-04-30,80.124
2009-05-31,80.124
2009-06-30,80.105
2009-07-31,80.204
2009-08-31,80.171
2009-09-30,80.245
2009-10-31,80.144
2009-11-30,80.232
2009-12-31,80.24
2010-01-31,80.234
2010-02-28,80.499
2010-03-31,80.489
2010-04-30,80.734
2010-05-31,80.755
2010-06-30,80.739
2010-07-31,81.391
2010-08-31,81.392
2010-09-30,81.395
2010-10-31,81.674
2010-11-30,81.674
2010-12-31,81.72
2011-01-31,82.239
2011-02-28,82.282
2011-03-31,82.278
2011-04-30,82.797
2011-05-31,82.829
2011-06-30,82.829
2011-07-31,83.564
2011-08-31,83.676
2011-09-30,83.676
2011-10-31,84.657
2011-11-30,84.65
2011-12-31,84.757
2012-01-31,85.478
2012-02-29,85.496
2012-03-31,85.496
2012-04-30,86.056
2012-05-31,86.056
2012-06-30,86.007
2012-07-31,86.477
2012-08-31,86.506
2012-09-30,86.524
2012-10-31,86.994
2012-11-30,87.052
2012-12-31,87.107
2013-01-31,87.58
2013-02-28,87.624
2013-03-31,87.589
2013-04-30,87.714
2013-05-31,87.852
2013-06-30,87.922
2013-07-31,88.4
2013-08-31,88.778
2013-09-30,88.805
2013-10-31,89.353
2013-11-30,89.37
2013-12-31,89.473
2014-01-31,90.119
2014-02-28,90.211
2014-03-31,90.219
2014-04-30,90.098
2014-05-31,90.139
2014-06-30,90.161
2014-07-31,90.261
2014-08-31,90.272
2014-09-30,90.457
2014-10-31,91.073
2014-11-30,91.286
2014-12-31,91.327
2015-01-31,92.066
2015-02-28,92.084
2015-03-31,92.24
2015-04-30,92.454
2015-05-31,93.144
2015-06-30,93.306
2015-07-31,93.945
2015-08-31,93.975
2015-09-30,94.074
2015-10-31,94.307
2015-11-30,94.348
2015-12-31,94.38
2016-01-31,94.616
