date,value
2014-01-31,88.045
2014-02-28,87.994
2014-03-31,87.472
2014-04-30,87.751
2014-05-31,88.78
2014-06-30,89.016
2014-07-31,89.711
2014-08-31,89.501
2014-09-30,90.059
2014-10-31,91.052
2014-11-30,92.113
2014-12-31,91.185
2015-01-31,90.783
2015-02-28,91.1
2015-03-31,90.424
2015-04-30,90.26
2015-05-31,89.776
2015-06-30,89.59
2015-07-31,89.245
2015-08-31,90.618
2015-09-30,91.786
2015-10-31,91.644
2015-11-30,91.379
2015-12-31,91.221
2016-01-31,92.494
2016-02-29,94.682
2016-03-31,96.596
2016-04-30,95.019
2016-05-31,96.571
2016-06-30,97.016
2016-07-31,97.415
2016-08-31,97.789
2016-09-30,97.413
2016-10-31,96.371
2016-11-30,96.71
2016-12-31,97.207
2017-01-31,98.917
2017-02-28,99.302
2017-03-31,98.179
2017-04-30,97.565
2017-05-31,101.738
2017-06-30,102.556
2017-07-31,100.419
2017-08-31,99.366
2017-09-30,99.593
2017-10-31,98.92
2017-11-30,99.125
2017-12-31,99.79
2018-01-31,100.681
2018-02-28,100.343
2018-03-31,100.015
2018-04-30,97.974
2018-05-31,97.951
2018-06-30,98.813
2018-07-31,98.311
2018-08-31,98.284
2018-09-30,98.214
2018-10-31,97.981
2018-11-30,97.215
2018-12-31,97.926
2019-01-31,98.498
2019-02-28,98.767
2019-03-31,99.346
2019-04-30,98.301
2019-05-31,99.568
2019-06-30,100.492
2019-07-31,100.772
2019-08-31,101.292
2019-09-30,101.134
2019-10-31,100.422
2019-11-30,100.54
2019-12-31,100.87
2020-01-31,102.086
2020-02-29,104.912
2020-03-31,107.456
2020-04-30,109.663
2020-05-31,109.122
2020-06-30,107.48
2020-07-31,105.466
2020-08-31,104.296
2020-09-30,103.55
2020-10-31,102.616
2020-11-30,105.295
2020-12-31,106.283
2021-01-31,106.898
2021-02-28,107.743
2021-03-31,107.375
2021-04-30,107.978
2021-05-31,107.156
2021-06-30,106.698
2021-07-31,107.269
2021-08-31,106.249
2021-09-30,103.133
2021-10-31,104.11
2021-11-30,104.962
2021-12-31,105.198
2022-01-31,106.965
2022-02-28,106.789
2022-03-31,106.64
2022-04-30,105.01
2022-05-31,105.084
2022-06-30,105.773
2022-07-31,106.891
2022-08-31,106.365
2022-09-30,107.414
2022-10-31,106.665
2022-11-30,107.984
2022-12-31,108.127
2023-01-31,108.078
2023-02-28,107.634
2023-03-31,107.324
2023-04-30,106.759
2023-05-31,106.787
2023-06-30,108.134
2023-07-31,108.305
2023-08-31,112.66
2023-09-30,113.24
2023-10-31,113.081
2023-11-30,112.075
2023-12-31,113.653
2024-01-31,116.321
2024-02-29,115.159
2024-03-31,116.62
2024-04-30,119.054
