date,value
2014-01-31,92.592
2014-02-28,92.113
2014-03-31,92.028
2014-04-30,92.484
2014-05-31,92.484
2014-06-30,92.336
2014-07-31,92.045
2014-08-31,91.585
2014-09-30,91.623
2014-10-31,92.332
2014-11-30,93.204
2014-12-31,92.948
2015-01-31,93.146
2015-02-28,92.358
2015-03-31,92.939
2015-04-30,92.288
2015-05-31,92.885
2015-06-30,92.316
2015-07-31,91.88
2015-08-31,90.295
2015-09-30,91.62
2015-10-31,91.349
2015-11-30,92.359
2015-12-31,92.538
2016-01-31,92.8
2016-02-29,93.179
2016-03-31,95.382
2016-04-30,95.877
2016-05-31,95.584
2016-06-30,95.235
2016-07-31,95.233
2016-08-31,95.228
2016-09-30,95.8
2016-10-31,96.195
2016-11-30,96.398
2016-12-31,96.417
2017-01-31,94.347
2017-02-28,94.373
2017-03-31,95.786
2017-04-30,96.391
2017-05-31,96.255
2017-06-30,96.256
2017-07-31,96.803
2017-08-31,96.068
2017-09-30,96.402
2017-10-31,96.626
2017-11-30,97.516
2017-12-31,97.096
2018-01-31,97.481
2018-02-28,96.837
2018-03-31,98.502
2018-04-30,99.168
2018-05-31,98.441
2018-06-30,98.311
2018-07-31,99.068
2018-08-31,98.336
2018-09-30,98.217
2018-10-31,99.485
2018-11-30,99.29
2018-12-31,99.788
2019-01-31,99.269
2019-02-28,98.985
2019-03-31,101.432
2019-04-30,100.673
2019-05-31,99.431
2019-06-30,100.523
2019-07-31,99.936
2019-08-31,99.778
2019-09-30,99.609
2019-10-31,99.171
2019-11-30,101.074
2019-12-31,100.124
2020-01-31,97.8
2020-02-29,99.312
2020-03-31,100.349
2020-04-30,101.309
2020-05-31,104.99
2020-06-30,104.087
2020-07-31,105.061
2020-08-31,104.949
2020-09-30,104.794
2020-10-31,104.143
2020-11-30,104.928
2020-12-31,105.523
2021-01-31,103.587
2021-02-28,103.052
2021-03-31,104.176
2021-04-30,104.248
2021-05-31,103.109
2021-06-30,103.723
2021-07-31,104.177
2021-08-31,103.709
2021-09-30,102.584
2021-10-31,103.233
2021-11-30,103.271
2021-12-31,103.393
2022-01-31,103.854
2022-02-28,104.976
2022-03-31,108.464
2022-04-30,106.894
2022-05-31,108.009
2022-06-30,108.784
2022-07-31,108.532
2022-08-31,107.753
2022-09-30,109.0
2022-10-31,109.826
2022-11-30,110.446
2022-12-31,109.237
2023-01-31,109.323
2023-02-28,109.734
2023-03-31,114.202
2023-04-30,117.189
2023-05-31,117.559
2023-06-30,118.262
2023-07-31,119.435
2023-08-31,119.392
2023-09-30,119.038
2023-10-31,119.414
2023-11-30,119.412
2023-12-31,119.573
2024-01-31,118.555
2024-02-29,118.362
2024-03-31,119.726
2024-04-30,118.224
