date,value
2000-01-31,75.962
2000-02-29,75.961
2000-03-31,75.961
2000-04-30,75.962
2000-05-31,75.962
2000-06-30,75.962
2000-07-31,76.066
2000-08-31,76.067
2000-09-30,76.069
2000-10-31,76.341
2000-11-30,76.344
2000-12-31,76.347
2001-01-31,76.632
2001-02-28,76.633
2001-03-31,76.631
2001-04-30,76.631
2001-05-31,76.631
2001-06-30,76.632
2001-07-31,76.608
2001-08-31,76.607
2001-09-30,76.607
2001-10-31,76.536
2001-11-30,76.536
2001-12-31,76.537
2002-01-31,76.354
2002-02-28,76.354
2002-03-31,76.354
2002-04-30,76.076
2002-05-31,76.076
2002-06-30,76.076
2002-07-31,75.864
2002-08-31,75.856
2002-09-30,75.858
2002-10-31,75.695
2002-11-30,75.695
2002-12-31,75.681
2003-01-31,75.491
2003-02-28,75.491
2003-03-31,75.491
2003-04-30,75.243
2003-05-31,75.243
2003-06-30,75.243
2003-07-31,75.012
2003-08-31,75.016
2003-09-30,75.014
2003-10-31,74.81
2003-11-30,74.809
2003-12-31,74.809
2004-01-31,74.207
2004-02-29,75.52
2004-03-31,74.74
2004-04-30,75.074
2004-05-31,75.07
2004-06-30,74.338
2004-07-31,74.639
2004-08-31,74.637
2004-09-30,74.857
2004-10-31,74.691
2004-11-30,74.659
2004-12-31,74.642
2005-01-31,73.593
2005-02-28,74.833
2005-03-31,74.398
2005-04-30,74.922
2005-05-31,74.911
2005-06-30,73.981
2005-07-31,74.943
2005-08-31,74.923
2005-09-30,74.953
2005-10-31,74.96
2005-11-30,74.959
2005-12-31,74.998
2006-01-31,74.451
2006-02-28,75.231
2006-03-31,74.726
2006-04-30,75.358
2006-05-31,75.353
2006-06-30,74.88
2006-07-31,75.382
2006-08-31,75.431
2006-09-30,75.39
2006-10-31,75.385
2006-11-30,75.419
2006-12-31,75.46
2007-01-31,70.438
2007-02-28,72.393
2007-03-31,73.582
2007-04-30,75.027
2007-05-31,76.131
2007-06-30,77.036
2007-07-31,78.174
2007-08-31,79.162
2007-09-30,78.27
2007-10-31,80.031
2007-11-30,81.138
2007-12-31,75.949
2008-01-31,77.667
2008-02-29,79.624
2008-03-31,81.491
2008-04-30,83.949
2008-05-31,85.788
2008-06-30,87.783
2008-07-31,89.089
2008-08-31,90.745
2008-09-30,91.61
2008-10-31,92.573
2008-11-30,93.134
2008-12-31,93.591
2009-01-31,93.383
2009-02-28,93.271
2009-03-31,92.637
2009-04-30,93.345
2009-05-31,92.29
2009-06-30,92.228
2009-07-31,91.633
2009-08-31,91.374
2009-09-30,90.775
2009-10-31,90.937
2009-11-30,90.812
