date,value
2000-01-31,67.565
2000-02-29,67.617
2000-03-31,67.184
2000-04-30,67.294
2000-05-31,67.212
2000-06-30,67.1
2000-07-31,66.922
2000-08-31,66.845
2000-09-30,67.114
2000-10-31,67.322
2000-11-30,67.523
2000-12-31,67.582
2001-01-31,67.591
2001-02-28,67.38
2001-03-31,67.28
2001-04-30,66.903
2001-05-31,66.766
2001-06-30,66.777
2001-07-31,66.622
2001-08-31,66.222
2001-09-30,66.016
2001-10-31,66.348
2001-11-30,66.322
2001-12-31,65.979
2002-01-31,65.015
2002-02-28,64.608
2002-03-31,64.599
2002-04-30,64.02
2002-05-31,63.808
2002-06-30,63.783
2002-07-31,63.605
2002-08-31,63.85
2002-09-30,64.441
2002-10-31,64.449
2002-11-30,64.342
2002-12-31,64.3
2003-01-31,64.304
2003-02-28,63.986
2003-03-31,64.06
2003-04-30,64.613
2003-05-31,65.543
2003-06-30,65.608
2003-07-31,65.466
2003-08-31,66.089
2003-09-30,66.495
2003-10-31,66.607
2003-11-30,66.776
2003-12-31,66.703
2004-01-31,67.049
2004-02-29,67.408
2004-03-31,67.518
2004-04-30,67.571
2004-05-31,67.84
2004-06-30,68.014
2004-07-31,68.165
2004-08-31,67.894
2004-09-30,67.988
2004-10-31,68.229
2004-11-30,68.229
2004-12-31,68.312
2005-01-31,68.364
2005-02-28,68.534
2005-03-31,68.714
2005-04-30,68.742
2005-05-31,68.436
2005-06-30,68.601
2005-07-31,68.84
2005-08-31,68.418
2005-09-30,68.945
2005-10-31,68.996
2005-11-30,69.115
2005-12-31,69.277
2006-01-31,69.472
2006-02-28,69.666
2006-03-31,69.689
2006-04-30,69.653
2006-05-31,69.349
2006-06-30,69.369
2006-07-31,69.166
2006-08-31,69.104
2006-09-30,69.808
2006-10-31,69.724
2006-11-30,69.869
2006-12-31,70.024
2007-01-31,69.992
2007-02-28,69.81
2007-03-31,70.415
2007-04-30,70.723
2007-05-31,70.923
2007-06-30,71.45
2007-07-31,72.174
2007-08-31,71.799
2007-09-30,72.381
2007-10-31,73.139
2007-11-30,74.976
2007-12-31,75.465
2008-01-31,76.094
2008-02-29,76.575
2008-03-31,78.283
2008-04-30,79.949
2008-05-31,84.032
2008-06-30,85.721
2008-07-31,85.872
2008-08-31,85.952
2008-09-30,86.85
2008-10-31,86.901
2008-11-30,87.152
2008-12-31,86.678
2009-01-31,86.216
2009-02-28,86.52
2009-03-31,86.547
2009-04-30,86.601
2009-05-31,86.506
2009-06-30,86.143
2009-07-31,86.393
2009-08-31,85.463
2009-09-30,85.56
2009-10-31,86.127
2009-11-30,86.607
2009-12-31,86.572
2010-01-31,87.053
2010-02-28,87.023
2010-03-31,87.382
2010-04-30,87.926
2010-05-31,88.141
2010-06-30,88.159
2010-07-31,88.123
2010-08-31,87.942
2010-09-30,88.018
2010-10-31,88.453
2010-11-30,88.675
2010-12-31,88.68
2011-01-31,89.007
2011-02-28,88.784
2011-03-31,89.126
2011-04-30,88.876
2011-05-31,89.209
2011-06-30,89.365
