date,value
2000-01-31,90.965
2000-02-29,91.37
2000-03-31,90.283
2000-04-30,90.039
2000-05-31,89.368
2000-06-30,91.641
2000-07-31,88.908
2000-08-31,90.633
2000-09-30,91.693
2000-10-31,91.783
2000-11-30,91.424
2000-12-31,91.685
2001-01-31,91.632
2001-02-28,92.036
2001-03-31,91.424
2001-04-30,91.416
2001-05-31,91.587
2001-06-30,91.127
2001-07-31,91.341
2001-08-31,90.494
2001-09-30,91.328
2001-10-31,90.502
2001-11-30,89.983
2001-12-31,90.945
2002-01-31,89.162
2002-02-28,89.851
2002-03-31,90.902
2002-04-30,90.767
2002-05-31,91.122
2002-06-30,92.003
2002-07-31,92.784
2002-08-31,92.38
2002-09-30,91.801
2002-10-31,92.636
2002-11-30,92.953
2002-12-31,91.586
2003-01-31,93.103
2003-02-28,91.864
2003-03-31,92.411
2003-04-30,92.269
2003-05-31,92.739
2003-06-30,91.68
2003-07-31,92.415
2003-08-31,92.178
2003-09-30,92.033
2003-10-31,91.498
2003-11-30,92.887
2003-12-31,93.47
2004-01-31,95.933
2004-02-29,92.186
2004-03-31,91.323
2004-04-30,92.743
2004-05-31,93.098
2004-06-30,93.974
2004-07-31,90.526
2004-08-31,92.61
2004-09-30,93.002
2004-10-31,92.576
2004-11-30,92.161
2004-12-31,92.704
2005-01-31,94.09
2005-02-28,93.56
2005-03-31,93.45
2005-04-30,94.177
2005-05-31,92.525
2005-06-30,93.336
2005-07-31,89.429
2005-08-31,91.615
2005-09-30,92.257
2005-10-31,93.723
2005-11-30,94.451
2005-12-31,94.099
2006-01-31,93.965
2006-02-28,94.821
2006-03-31,94.623
2006-04-30,94.167
2006-05-31,94.755
2006-06-30,94.867
2006-07-31,93.927
2006-08-31,94.327
2006-09-30,93.95
2006-10-31,93.986
2006-11-30,93.655
2006-12-31,93.674
2007-01-31,93.415
2007-02-28,94.503
2007-03-31,94.947
2007-04-30,95.008
2007-05-31,94.411
2007-06-30,94.178
2007-07-31,94.419
2007-08-31,94.156
2007-09-30,94.465
2007-10-31,93.45
2007-11-30,94.772
2007-12-31,95.952
2008-01-31,96.69
2008-02-29,96.062
2008-03-31,95.316
2008-04-30,95.124
2008-05-31,95.674
2008-06-30,95.661
2008-07-31,95.731
2008-08-31,95.857
2008-09-30,97.568
2008-10-31,95.075
2008-11-30,96.416
2008-12-31,96.46
2009-01-31,97.241
2009-02-28,97.274
2009-03-31,97.2
2009-04-30,97.331
2009-05-31,97.116
2009-06-30,98.076
2009-07-31,98.715
2009-08-31,98.487
2009-09-30,98.384
2009-10-31,97.913
2009-11-30,97.622
2009-12-31,97.926
2010-01-31,97.677
2010-02-28,97.086
2010-03-31,97.953
2010-04-30,98.176
2010-05-31,98.713
2010-06-30,98.278
2010-07-31,98.343
2010-08-31,99.2
2010-09-30,98.714
2010-10-31,99.266
2010-11-30,99.382
2010-12-31,98.439
2011-01-31,97.927
2011-02-28,98.21
2011-03-31,98.207
2011-04-30,98.963
2011-05-31,99.247
2011-06-30,99.542
2011-07-31,97.925
2011-08-31,98.964
2011-09-30,99.053
2011-10-31,99.184
2011-11-30,99.376
2011-12-31,98.549
2012-01-31,100.178
2012-02-29,99.686
2012-03-31,100.047
2012-04-30,99.989
2012-05-31,99.657
2012-06-30,100.186
2012-07-31,100.855
2012-08-31,100.66
2012-09-30,101.693
2012-10-31,101.104
2012-11-30,98.927
2012-12-31,100.868
2013-01-31,100.356
2013-02-28,100.92
2013-03-31,101.502
2013-04-30,100.739
2013-05-31,100.613
2013-06-30,99.956
2013-07-31,100.889
2013-08-31,100.899
2013-09-30,99.96
2013-10-31,100.075
2013-11-30,101.345
2013-12-31,101.026
2014-01-31,100.978
2014-02-28,98.219
2014-03-31,99.692
2014-04-30,100.865
2014-05-31,99.165
2014-06-30,98.958
2014-07-31,99.082
2014-08-31,100.793
2014-09-30,97.947
2014-10-31,98.927
2014-11-30,98.483
2014-12-31,98.503
2015-01-31,98.279
2015-02-28,98.291
2015-03-31,98.69
2015-04-30,98.204
2015-05-31,99.052
2015-06-30,98.761
2015-07-31,99.295
2015-08-31,99.207
2015-09-30,99.886
2015-10-31,99.007
2015-11-30,99.116
2015-12-31,99.432
2016-01-31,100.383
2016-02-29,100.284
2016-03-31,100.209
2016-04-30,100.102
2016-05-31,99.703
2016-06-30,99.851
2016-07-31,98.692
2016-08-31,98.639
2016-09-30,99.61
2016-10-31,100.229
2016-11-30,100.248
2016-12-31,100.152
2017-01-31,99.675
2017-02-28,100.147
2017-03-31,99.555
2017-04-30,100.74
2017-05-31,100.77
2017-06-30,100.813
2017-07-31,100.278
2017-08-31,99.338
2017-09-30,99.802
2017-10-31,100.371
2017-11-30,100.175
2017-12-31,99.008
2018-01-31,100.218
2018-02-28,100.512
2018-03-31,100.307
2018-04-30,101.54
2018-05-31,101.21
2018-06-30,101.393
2018-07-31,102.491
2018-08-31,102.334
2018-09-30,100.9
2018-10-31,100.713
2018-11-30,100.965
2018-12-31,101.494
2019-01-31,103.077
2019-02-28,101.485
2019-03-31,100.844
2019-04-30,99.768
2019-05-31,99.981
2019-06-30,100.044
2019-07-31,98.734
2019-08-31,97.925
2019-09-30,100.068
2019-10-31,99.332
2019-11-30,99.686
2019-12-31,99.154
2020-01-31,98.552
2020-02-29,98.423
2020-03-31,98.573
2020-04-30,96.891
2020-05-31,94.695
2020-06-30,96.634
2020-07-31,95.739
2020-08-31,95.467
2020-09-30,95.257
2020-10-31,95.447
2020-11-30,94.721
2020-12-31,95.425
2021-01-31,93.987
2021-02-28,92.217
2021-03-31,92.464
2021-04-30,92.622
2021-05-31,91.573
2021-06-30,88.283
2021-07-31,89.079
2021-08-31,88.841
2021-09-30,89.932
2021-10-31,92.302
2021-11-30,89.877
2021-12-31,90.275
2022-01-31,89.71
2022-02-28,90.872
2022-03-31,90.631
2022-04-30,94.085
2022-05-31,94.471
2022-06-30,94.172
2022-07-31,95.364
2022-08-31,96.462
2022-09-30,95.225
2022-10-31,94.438
2022-11-30,94.184
2022-12-31,94.892
2023-01-31,95.606
2023-02-28,94.932
2023-03-31,94.827
2023-04-30,97.078
2023-05-31,95.765
2023-06-30,94.699
2023-07-31,94.065
2023-08-31,94.578
2023-09-30,92.197
2023-10-31,93.221
2023-11-30,93.287
2023-12-31,92.998
2024-01-31,95.678
2024-02-29,96.106
2024-03-31,93.017
2024-04-30,96.742
