date,value
2000-01-31,74.425
2000-02-29,74.466
2000-03-31,74.466
2000-04-30,74.466
2000-05-31,74.466
2000-06-30,74.797
2000-07-31,74.797
2000-08-31,74.78
2000-09-30,74.81
2000-10-31,74.83
2000-11-30,74.83
2000-12-31,75.478
2001-01-31,76.296
2001-02-28,76.303
2001-03-31,76.324
2001-04-30,75.263
2001-05-31,76.674
2001-06-30,76.739
2001-07-31,76.766
2001-08-31,76.766
2001-09-30,76.766
2001-10-31,76.766
2001-11-30,76.766
2001-12-31,76.936
2002-01-31,77.067
2002-02-28,77.441
2002-03-31,77.441
2002-04-30,77.523
2002-05-31,77.543
2002-06-30,77.543
2002-07-31,77.71
2002-08-31,77.71
2002-09-30,77.168
2002-10-31,78.023
2002-11-30,78.226
2002-12-31,78.227
2003-01-31,78.36
2003-02-28,78.822
2003-03-31,78.837
2003-04-30,78.837
2003-05-31,78.368
2003-06-30,78.381
2003-07-31,78.34
2003-08-31,78.34
2003-09-30,78.34
2003-10-31,78.381
2003-11-30,78.386
2003-12-31,78.441
2004-01-31,79.199
2004-02-29,79.183
2004-03-31,79.282
2004-04-30,79.513
2004-05-31,79.476
2004-06-30,79.622
2004-07-31,79.622
2004-08-31,79.622
2004-09-30,79.622
2004-10-31,79.525
2004-11-30,79.525
2004-12-31,79.525
2005-01-31,79.525
2005-02-28,79.525
2005-03-31,79.525
2005-04-30,79.61
2005-05-31,80.018
2005-06-30,80.018
2005-07-31,80.044
2005-08-31,80.044
2005-09-30,79.781
2005-10-31,79.913
2005-11-30,79.913
2005-12-31,79.913
2006-01-31,80.657
2006-02-28,80.657
2006-03-31,80.657
2006-04-30,80.605
2006-05-31,81.109
2006-06-30,81.109
2006-07-31,81.109
2006-08-31,81.109
2006-09-30,81.109
2006-10-31,81.164
2006-11-30,81.382
2006-12-31,81.382
2007-01-31,81.939
2007-02-28,82.28
2007-03-31,81.965
2007-04-30,81.831
2007-05-31,81.831
2007-06-30,81.831
2007-07-31,83.38
2007-08-31,83.382
2007-09-30,83.278
2007-10-31,83.278
2007-11-30,83.291
2007-12-31,84.477
2008-01-31,84.804
2008-02-29,84.804
2008-03-31,84.983
2008-04-30,85.148
2008-05-31,85.148
2008-06-30,85.148
2008-07-31,85.241
2008-08-31,85.241
2008-09-30,85.473
2008-10-31,85.473
2008-11-30,85.719
2008-12-31,85.719
2009-01-31,87.043
2009-02-28,87.092
2009-03-31,87.233
2009-04-30,87.362
2009-05-31,87.362
2009-06-30,87.362
2009-07-31,87.373
2009-08-31,87.373
2009-09-30,87.373
2009-10-31,87.373
2009-11-30,87.373
2009-12-31,87.535
2010-01-31,87.535
2010-02-28,87.559
2010-03-31,87.559
2010-04-30,87.71
2010-05-31,87.71
2010-06-30,87.917
2010-07-31,87.715
2010-08-31,87.744
2010-09-30,87.744
2010-10-31,88.029
2010-11-30,88.029
2010-12-31,88.029
2011-01-31,88.592
2011-02-28,88.592
2011-03-31,88.592
2011-04-30,89.15
2011-05-31,89.15
2011-06-30,89.425
2011-07-31,89.606
2011-08-31,89.77
2011-09-30,89.77
2011-10-31,90.112
2011-11-30,90.112
2011-12-31,90.379
2012-01-31,90.506
2012-02-29,89.229
2012-03-31,89.229
2012-04-30,89.193
2012-05-31,89.193
2012-06-30,89.193
2012-07-31,89.211
2012-08-31,89.256
2012-09-30,89.45
2012-10-31,89.45
2012-11-30,89.45
2012-12-31,89.45
2013-01-31,89.677
2013-02-28,89.677
2013-03-31,89.749
2013-04-30,89.964
2013-05-31,89.964
2013-06-30,89.964
2013-07-31,89.964
2013-08-31,90.027
2013-09-30,89.964
2013-10-31,90.98
2013-11-30,91.044
2013-12-31,92.049
2014-01-31,92.589
2014-02-28,92.589
2014-03-31,92.685
2014-04-30,93.179
2014-05-31,93.192
2014-06-30,93.359
2014-07-31,93.527
2014-08-31,93.527
2014-09-30,93.881
2014-10-31,93.931
2014-11-30,93.931
2014-12-31,94.456
2015-01-31,95.18
2015-02-28,94.689
2015-03-31,94.64
2015-04-30,94.772
2015-05-31,94.772
2015-06-30,94.894
2015-07-31,94.894
2015-08-31,94.894
2015-09-30,95.165
2015-10-31,95.156
2015-11-30,95.156
2015-12-31,95.354
2016-01-31,95.386
2016-02-29,95.848
2016-03-31,96.063
2016-04-30,97.145
2016-05-31,97.559
2016-06-30,97.559
2016-07-31,97.787
2016-08-31,97.803
2016-09-30,97.459
2016-10-31,97.459
2016-11-30,97.459
2016-12-31,97.459
2017-01-31,97.614
2017-02-28,97.856
2017-03-31,98.2
2017-04-30,98.059
2017-05-31,98.059
2017-06-30,98.059
2017-07-31,97.97
2017-08-31,98.11
2017-09-30,98.303
2017-10-31,98.349
2017-11-30,98.471
2017-12-31,98.949
2018-01-31,98.811
2018-02-28,98.396
2018-03-31,98.308
2018-04-30,98.114
2018-05-31,98.114
2018-06-30,98.204
2018-07-31,98.531
2018-08-31,98.531
2018-09-30,98.531
2018-10-31,98.531
2018-11-30,98.531
2018-12-31,98.531
2019-01-31,99.107
2019-02-28,99.526
2019-03-31,99.626
2019-04-30,99.718
2019-05-31,99.718
2019-06-30,99.718
2019-07-31,99.976
2019-08-31,100.313
2019-09-30,100.313
2019-10-31,100.424
2019-11-30,100.781
2019-12-31,100.781
2020-01-31,101.099
2020-02-29,101.099
2020-03-31,101.336
2020-04-30,101.336
2020-05-31,101.297
2020-06-30,101.297
2020-07-31,101.297
2020-08-31,101.297
2020-09-30,101.297
2020-10-31,101.666
2020-11-30,101.666
2020-12-31,101.768
2021-01-31,102.372
2021-02-28,102.385
2021-03-31,102.385
2021-04-30,102.385
2021-05-31,102.385
2021-06-30,102.385
2021-07-31,102.567
2021-08-31,103.264
2021-09-30,103.405
2021-10-31,104.032
2021-11-30,104.167
2021-12-31,104.167
2022-01-31,104.099
2022-02-28,104.099
2022-03-31,104.653
2022-04-30,105.594
2022-05-31,105.594
2022-06-30,107.161
2022-07-31,107.96
2022-08-31,107.96
2022-09-30,108.605
2022-10-31,110.385
2022-11-30,110.385
2022-12-31,110.385
2023-01-31,112.832
2023-02-28,112.832
2023-03-31,113.462
2023-04-30,115.544
2023-05-31,115.544
2023-06-30,115.797
2023-07-31,115.999
2023-08-31,115.999
2023-09-30,116.189
2023-10-31,116.481
2023-11-30,117.563
2023-12-31,117.563
2024-01-31,119.614
2024-02-29,120.257
2024-03-31,120.257
2024-04-30,120.296
