date,value
2000-01-31,94.561
2000-02-29,95.552
2000-03-31,93.851
2000-04-30,94.182
2000-05-31,93.889
2000-06-30,93.973
2000-07-31,93.756
2000-08-31,93.741
2000-09-30,95.205
2000-10-31,95.576
2000-11-30,95.08
2000-12-31,95.605
2001-01-31,95.585
2001-02-28,95.031
2001-03-31,95.255
2001-04-30,95.313
2001-05-31,95.325
2001-06-30,95.041
2001-07-31,95.42
2001-08-31,94.322
2001-09-30,95.031
2001-10-31,94.285
2001-11-30,93.791
2001-12-31,94.361
2002-01-31,95.194
2002-02-28,95.879
2002-03-31,96.093
2002-04-30,95.548
2002-05-31,96.221
2002-06-30,95.551
2002-07-31,96.734
2002-08-31,96.213
2002-09-30,95.391
2002-10-31,95.939
2002-11-30,95.888
2002-12-31,95.598
2003-01-31,95.695
2003-02-28,95.172
2003-03-31,95.254
2003-04-30,94.887
2003-05-31,95.181
2003-06-30,95.709
2003-07-31,95.954
2003-08-31,95.476
2003-09-30,93.458
2003-10-31,94.829
2003-11-30,95.319
2003-12-31,95.351
2004-01-31,94.466
2004-02-29,94.827
2004-03-31,94.564
2004-04-30,95.172
2004-05-31,94.318
2004-06-30,95.322
2004-07-31,93.651
2004-08-31,94.613
2004-09-30,94.744
2004-10-31,94.451
2004-11-30,94.134
2004-12-31,94.441
2005-01-31,94.472
2005-02-28,94.165
2005-03-31,94.483
2005-04-30,94.803
2005-05-31,94.875
2005-06-30,94.24
2005-07-31,91.875
2005-08-31,93.853
2005-09-30,93.403
2005-10-31,93.278
2005-11-30,94.013
2005-12-31,93.323
2006-01-31,91.436
2006-02-28,93.368
2006-03-31,92.905
2006-04-30,92.799
2006-05-31,92.593
2006-06-30,92.704
2006-07-31,92.953
2006-08-31,92.595
2006-09-30,93.555
2006-10-31,93.892
2006-11-30,93.46
2006-12-31,93.176
2007-01-31,93.464
2007-02-28,93.843
2007-03-31,93.556
2007-04-30,93.746
2007-05-31,94.858
2007-06-30,95.005
2007-07-31,96.495
2007-08-31,95.781
2007-09-30,96.175
2007-10-31,94.165
2007-11-30,95.802
2007-12-31,96.282
2008-01-31,96.622
2008-02-29,96.196
2008-03-31,97.254
2008-04-30,96.834
2008-05-31,95.681
2008-06-30,96.039
2008-07-31,95.391
2008-08-31,96.907
2008-09-30,97.623
2008-10-31,95.238
2008-11-30,95.708
2008-12-31,95.347
2009-01-31,93.86
2009-02-28,94.468
2009-03-31,93.508
2009-04-30,94.091
2009-05-31,94.258
2009-06-30,94.303
2009-07-31,94.616
2009-08-31,92.738
2009-09-30,93.39
2009-10-31,94.85
2009-11-30,93.98
2009-12-31,94.345
2010-01-31,94.564
2010-02-28,93.035
2010-03-31,93.057
2010-04-30,92.919
2010-05-31,93.566
2010-06-30,93.671
2010-07-31,94.63
2010-08-31,95.144
2010-09-30,94.326
2010-10-31,95.62
2010-11-30,96.134
2010-12-31,93.494
2011-01-31,93.473
2011-02-28,94.861
2011-03-31,95.329
2011-04-30,94.53
2011-05-31,93.879
2011-06-30,93.212
2011-07-31,92.989
2011-08-31,93.885
2011-09-30,93.607
2011-10-31,92.371
2011-11-30,93.557
2011-12-31,93.586
2012-01-31,94.05
2012-02-29,95.144
2012-03-31,94.806
2012-04-30,95.608
2012-05-31,94.564
2012-06-30,94.651
2012-07-31,94.433
2012-08-31,95.386
2012-09-30,95.654
2012-10-31,95.881
2012-11-30,94.67
2012-12-31,96.078
2013-01-31,95.665
2013-02-28,94.298
2013-03-31,95.205
2013-04-30,94.075
2013-05-31,94.734
2013-06-30,96.054
2013-07-31,95.329
2013-08-31,94.764
2013-09-30,95.049
2013-10-31,96.152
2013-11-30,96.767
2013-12-31,95.74
2014-01-31,97.118
2014-02-28,96.644
2014-03-31,95.565
2014-04-30,96.444
2014-05-31,97.074
2014-06-30,97.93
2014-07-31,94.247
2014-08-31,95.652
2014-09-30,95.615
2014-10-31,94.986
2014-11-30,94.233
2014-12-31,95.363
2015-01-31,94.502
2015-02-28,95.274
2015-03-31,96.177
2015-04-30,96.458
2015-05-31,97.453
2015-06-30,98.072
2015-07-31,98.084
2015-08-31,98.102
2015-09-30,99.144
2015-10-31,98.52
2015-11-30,98.356
2015-12-31,97.784
2016-01-31,98.568
2016-02-29,98.162
2016-03-31,97.597
2016-04-30,95.69
2016-05-31,94.802
2016-06-30,93.574
