date,value
2000-01-31,68.521
2000-02-29,68.939
2000-03-31,69.085
2000-04-30,69.263
2000-05-31,69.018
2000-06-30,70.443
2000-07-31,71.228
2000-08-31,71.228
2000-09-30,70.864
2000-10-31,70.903
2000-11-30,72.846
2000-12-31,72.808
2001-01-31,73.443
2001-02-28,72.674
2001-03-31,73.283
2001-04-30,75.288
2001-05-31,75.926
2001-06-30,76.068
2001-07-31,76.745
2001-08-31,76.752
2001-09-30,76.824
2001-10-31,76.25
2001-11-30,74.556
2001-12-31,74.356
2002-01-31,75.134
2002-02-28,75.584
2002-03-31,75.723
2002-04-30,75.007
2002-05-31,75.523
2002-06-30,78.78
2002-07-31,75.43
2002-08-31,75.563
2002-09-30,75.271
2002-10-31,74.898
2002-11-30,75.75
2002-12-31,76.479
2003-01-31,77.057
2003-02-28,77.178
2003-03-31,76.864
2003-04-30,72.979
2003-05-31,69.477
2003-06-30,69.455
2003-07-31,68.75
2003-08-31,70.317
2003-09-30,73.144
2003-10-31,72.807
2003-11-30,73.068
2003-12-31,74.272
2004-01-31,73.054
2004-02-29,73.015
2004-03-31,73.473
2004-04-30,71.868
2004-05-31,74.034
2004-06-30,74.388
2004-07-31,74.797
2004-08-31,74.575
2004-09-30,74.338
2004-10-31,73.603
2004-11-30,73.48
2004-12-31,72.35
2005-01-31,72.988
2005-02-28,73.796
2005-03-31,73.476
2005-04-30,75.602
2005-05-31,76.425
2005-06-30,75.63
2005-07-31,75.719
2005-08-31,76.441
2005-09-30,77.074
2005-10-31,77.685
2005-11-30,76.774
2005-12-31,76.923
2006-01-31,77.321
2006-02-28,76.351
2006-03-31,76.449
2006-04-30,74.675
2006-05-31,73.601
2006-06-30,74.047
2006-07-31,73.873
2006-08-31,73.907
2006-09-30,74.102
2006-10-31,74.185
2006-11-30,76.772
2006-12-31,77.839
2007-01-31,77.896
2007-02-28,78.319
2007-03-31,79.349
2007-04-30,81.47
2007-05-31,79.962
2007-06-30,80.969
2007-07-31,81.293
2007-08-31,81.51
2007-09-30,82.15
2007-10-31,83.13
2007-11-30,83.549
2007-12-31,84.396
2008-01-31,84.052
2008-02-29,84.788
2008-03-31,84.943
2008-04-30,85.909
2008-05-31,86.819
2008-06-30,87.274
2008-07-31,87.644
2008-08-31,88.271
2008-09-30,88.685
2008-10-31,88.353
2008-11-30,87.554
2008-12-31,87.083
2009-01-31,88.773
2009-02-28,86.332
2009-03-31,86.382
2009-04-30,85.328
2009-05-31,84.703
2009-06-30,84.311
2009-07-31,83.574
2009-08-31,82.642
2009-09-30,82.403
2009-10-31,82.101
2009-11-30,82.801
2009-12-31,83.015
2010-01-31,82.558
2010-02-28,85.466
2010-03-31,84.526
2010-04-30,85.86
2010-05-31,87.145
2010-06-30,87.425
2010-07-31,88.873
2010-08-31,89.023
2010-09-30,89.204
2010-10-31,89.579
2010-11-30,89.573
2010-12-31,89.006
2011-01-31,89.931
2011-02-28,90.686
2011-03-31,91.063
2011-04-30,91.234
2011-05-31,90.316
2011-06-30,90.876
2011-07-31,90.991
2011-08-31,91.632
2011-09-30,91.076
2011-10-31,90.838
2011-11-30,91.543
2011-12-31,92.053
2012-01-31,92.83
2012-02-29,91.898
2012-03-31,91.862
2012-04-30,91.812
2012-05-31,91.774
2012-06-30,91.506
2012-07-31,91.42
2012-08-31,91.672
2012-09-30,92.156
2012-10-31,92.676
2012-11-30,92.4
2012-12-31,92.346
2013-01-31,92.092
2013-02-28,92.222
2013-03-31,92.179
2013-04-30,90.545
2013-05-31,91.681
2013-06-30,92.055
2013-07-31,91.794
2013-08-31,92.469
2013-09-30,93.248
2013-10-31,93.126
2013-11-30,94.559
2013-12-31,94.003
2014-01-31,94.768
2014-02-28,94.418
2014-03-31,94.481
2014-04-30,95.095
2014-05-31,95.218
2014-06-30,94.801
2014-07-31,94.84
2014-08-31,94.49
2014-09-30,94.035
2014-10-31,94.382
2014-11-30,93.633
2014-12-31,92.513
2015-01-31,93.621
2015-02-28,94.831
2015-03-31,94.938
2015-04-30,94.241
2015-05-31,94.518
2015-06-30,94.466
2015-07-31,95.345
2015-08-31,95.16
2015-09-30,94.784
2015-10-31,94.435
2015-11-30,94.515
2015-12-31,94.46
2016-01-31,94.642
2016-02-29,94.993
2016-03-31,95.195
2016-04-30,95.219
2016-05-31,95.849
2016-06-30,96.196
2016-07-31,96.332
2016-08-31,95.898
2016-09-30,96.223
2016-10-31,95.974
2016-11-30,95.983
2016-12-31,96.472
2017-01-31,96.557
2017-02-28,95.38
2017-03-31,96.184
2017-04-30,96.321
2017-05-31,95.701
2017-06-30,95.986
2017-07-31,95.684
2017-08-31,96.04
2017-09-30,96.15
2017-10-31,96.38
2017-11-30,96.728
2017-12-31,96.295
2018-01-31,96.343
2018-02-28,97.871
2018-03-31,96.541
2018-04-30,97.53
2018-05-31,97.663
2018-06-30,98.28
2018-07-31,98.349
2018-08-31,98.52
2018-09-30,98.616
2018-10-31,99.082
2018-11-30,98.46
2018-12-31,99.43
2019-01-31,98.37
2019-02-28,100.264
2019-03-31,100.477
2019-04-30,101.557
2019-05-31,100.289
2019-06-30,100.886
2019-07-31,100.13
2019-08-31,99.473
2019-09-30,99.132
2019-10-31,99.695
2019-11-30,99.975
2019-12-31,99.545
2020-01-31,99.688
2020-02-29,98.171
2020-03-31,97.711
2020-04-30,96.994
2020-05-31,97.153
2020-06-30,96.241
2020-07-31,96.735
2020-08-31,96.765
2020-09-30,96.849
2020-10-31,96.317
2020-11-30,96.454
2020-12-31,95.121
2021-01-31,97.383
2021-02-28,98.282
2021-03-31,98.333
2021-04-30,98.396
2021-05-31,98.654
2021-06-30,98.149
2021-07-31,98.555
2021-08-31,98.14
2021-09-30,98.714
2021-10-31,98.997
2021-11-30,99.086
2021-12-31,97.544
2022-01-31,98.345
2022-02-28,98.434
2022-03-31,99.767
2022-04-30,100.528
2022-05-31,102.235
2022-06-30,104.432
2022-07-31,104.002
2022-08-31,105.932
2022-09-30,106.926
2022-10-31,106.264
2022-11-30,107.146
2022-12-31,108.549
2023-01-31,107.885
2023-02-28,107.822
2023-03-31,109.528
2023-04-30,111.759
2023-05-31,110.761
2023-06-30,111.547
2023-07-31,113.631
2023-08-31,113.286
2023-09-30,112.642
2023-10-31,114.573
2023-11-30,115.034
2023-12-31,117.403
2024-01-31,113.399
2024-02-29,115.767
2024-03-31,116.177
2024-04-30,117.729
