date,value
2000-01-31,93.512
2000-02-29,92.453
2000-03-31,92.72
2000-04-30,92.18
2000-05-31,91.947
2000-06-30,93.042
2000-07-31,92.49
2000-08-31,93.815
2000-09-30,93.812
2000-10-31,91.81
2000-11-30,93.977
2000-12-31,94.044
2001-01-31,93.737
2001-02-28,95.457
2001-03-31,92.522
2001-04-30,95.224
2001-05-31,94.726
2001-06-30,94.072
2001-07-31,94.392
2001-08-31,93.816
2001-09-30,94.206
2001-10-31,92.814
2001-11-30,92.011
2001-12-31,91.684
2002-01-31,91.426
2002-02-28,90.882
2002-03-31,91.332
2002-04-30,91.479
2002-05-31,91.826
2002-06-30,91.964
2002-07-31,92.323
2002-08-31,92.025
2002-09-30,91.171
2002-10-31,93.068
2002-11-30,93.474
2002-12-31,93.379
2003-01-31,92.411
2003-02-28,91.689
2003-03-31,92.847
2003-04-30,91.474
2003-05-31,94.852
2003-06-30,91.584
2003-07-31,91.47
2003-08-31,92.146
2003-09-30,88.947
2003-10-31,91.989
2003-11-30,91.868
2003-12-31,91.946
2004-01-31,92.864
2004-02-29,93.417
2004-03-31,91.94
2004-04-30,92.846
2004-05-31,92.026
2004-06-30,95.49
2004-07-31,93.509
2004-08-31,92.675
2004-09-30,93.571
2004-10-31,93.759
2004-11-30,93.477
2004-12-31,93.958
2005-01-31,94.881
2005-02-28,93.975
2005-03-31,93.806
2005-04-30,96.317
2005-05-31,93.406
2005-06-30,93.025
2005-07-31,90.252
2005-08-31,92.867
2005-09-30,94.271
2005-10-31,92.733
2005-11-30,93.205
2005-12-31,93.487
2006-01-31,92.654
2006-02-28,93.201
2006-03-31,93.561
2006-04-30,93.002
2006-05-31,94.143
2006-06-30,93.802
2006-07-31,93.198
2006-08-31,93.862
2006-09-30,93.834
2006-10-31,94.169
2006-11-30,93.543
2006-12-31,92.692
2007-01-31,93.512
2007-02-28,93.939
2007-03-31,94.063
2007-04-30,96.028
2007-05-31,93.427
2007-06-30,93.566
2007-07-31,95.653
2007-08-31,94.056
2007-09-30,94.199
2007-10-31,93.522
2007-11-30,94.347
2007-12-31,94.538
2008-01-31,94.03
2008-02-29,93.738
2008-03-31,93.832
2008-04-30,94.145
2008-05-31,94.273
2008-06-30,94.273
2008-07-31,94.188
2008-08-31,94.6
2008-09-30,94.666
2008-10-31,93.815
2008-11-30,94.171
2008-12-31,95.567
2009-01-31,94.924
2009-02-28,95.763
2009-03-31,93.478
2009-04-30,94.898
2009-05-31,94.965
2009-06-30,95.738
