date,value
2000-01-31,57.827
2000-02-29,57.877
2000-03-31,58.063
2000-04-30,57.996
2000-05-31,58.678
2000-06-30,58.934
2000-07-31,58.846
2000-08-31,59.193
2000-09-30,59.266
2000-10-31,59.597
2000-11-30,59.618
2000-12-31,60.07
2001-01-31,60.579
2001-02-28,60.688
2001-03-31,60.825
2001-04-30,61.2
2001-05-31,61.421
2001-06-30,61.491
2001-07-31,61.596
2001-08-31,61.67
2001-09-30,61.749
2001-10-31,61.712
2001-11-30,61.726
2001-12-31,61.763
2002-01-31,61.728
2002-02-28,61.701
2002-03-31,64.479
2002-04-30,64.42
2002-05-31,64.439
2002-06-30,64.477
2002-07-31,64.582
2002-08-31,64.658
2002-09-30,64.822
2002-10-31,65.167
2002-11-30,65.178
2002-12-31,65.223
2003-01-31,65.256
2003-02-28,65.359
2003-03-31,65.431
2003-04-30,65.519
2003-05-31,65.561
2003-06-30,65.557
2003-07-31,65.823
2003-08-31,65.888
2003-09-30,65.923
2003-10-31,65.937
2003-11-30,65.955
2003-12-31,65.999
2004-01-31,71.684
2004-02-29,71.789
2004-03-31,71.879
2004-04-30,71.872
2004-05-31,71.924
2004-06-30,71.952
2004-07-31,71.951
2004-08-31,72.012
2004-09-30,72.079
2004-10-31,71.991
2004-11-30,72.032
2004-12-31,72.141
2005-01-31,72.189
2005-02-28,72.18
2005-03-31,72.313
2005-04-30,72.305
2005-05-31,72.289
2005-06-30,72.326
2005-07-31,72.343
2005-08-31,72.421
2005-09-30,72.479
2005-10-31,72.659
2005-11-30,72.755
2005-12-31,72.792
2006-01-31,72.791
2006-02-28,72.551
2006-03-31,72.683
2006-04-30,72.676
2006-05-31,72.765
2006-06-30,72.723
2006-07-31,72.849
2006-08-31,72.955
2006-09-30,73.12
2006-10-31,73.254
2006-11-30,73.445
2006-12-31,73.461
2007-01-31,73.519
2007-02-28,73.525
2007-03-31,73.95
2007-04-30,74.484
2007-05-31,75.034
2007-06-30,75.216
2007-07-31,76.684
2007-08-31,76.886
2007-09-30,77.074
2007-10-31,77.38
2007-11-30,77.557
2007-12-31,77.648
2008-01-31,78.298
2008-02-29,78.662
2008-03-31,78.972
2008-04-30,79.503
2008-05-31,79.655
2008-06-30,79.93
2008-07-31,80.079
2008-08-31,80.337
2008-09-30,80.548
2008-10-31,80.702
2008-11-30,80.913
2008-12-31,80.942
2009-01-31,81.657
2009-02-28,81.801
2009-03-31,81.939
2009-04-30,81.834
2009-05-31,81.868
2009-06-30,81.837
2009-07-31,81.892
2009-08-31,82.062
2009-09-30,82.279
