date,value
2000-01-31,94.869
2000-02-29,94.42
2000-03-31,94.253
2000-04-30,93.51
2000-05-31,93.075
2000-06-30,94.392
2000-07-31,93.803
2000-08-31,94.307
2000-09-30,94.55
2000-10-31,94.849
2000-11-30,95.098
2000-12-31,94.844
2001-01-31,94.761
2001-02-28,96.301
2001-03-31,94.336
2001-04-30,94.825
2001-05-31,94.16
2001-06-30,93.525
2001-07-31,94.383
2001-08-31,93.129
2001-09-30,95.356
2001-10-31,90.493
2001-11-30,93.356
2001-12-31,93.862
2002-01-31,92.463
2002-02-28,92.746
2002-03-31,92.754
2002-04-30,93.046
2002-05-31,94.202
2002-06-30,93.482
2002-07-31,95.013
2002-08-31,93.733
2002-09-30,94.077
2002-10-31,94.085
2002-11-30,93.431
2002-12-31,94.403
2003-01-31,93.899
2003-02-28,93.984
2003-03-31,95.195
2003-04-30,94.483
2003-05-31,94.615
2003-06-30,94.561
2003-07-31,94.566
2003-08-31,94.881
2003-09-30,94.253
2003-10-31,95.526
2003-11-30,95.75
2003-12-31,95.698
2004-01-31,97.118
2004-02-29,98.388
2004-03-31,95.273
2004-04-30,97.101
2004-05-31,97.631
2004-06-30,94.228
2004-07-31,93.323
2004-08-31,94.381
2004-09-30,93.747
2004-10-31,93.117
2004-11-30,93.237
2004-12-31,93.022
2005-01-31,92.79
2005-02-28,90.794
2005-03-31,91.885
2005-04-30,93.006
2005-05-31,91.353
2005-06-30,91.875
2005-07-31,92.192
2005-08-31,95.134
2005-09-30,93.855
2005-10-31,93.418
2005-11-30,94.481
2005-12-31,93.284
2006-01-31,93.731
2006-02-28,96.228
2006-03-31,94.36
2006-04-30,95.186
2006-05-31,95.619
2006-06-30,95.31
2006-07-31,95.794
2006-08-31,95.627
2006-09-30,95.285
2006-10-31,97.935
2006-11-30,95.649
2006-12-31,96.794
2007-01-31,97.234
2007-02-28,97.159
2007-03-31,97.34
2007-04-30,96.776
2007-05-31,96.743
2007-06-30,97.858
2007-07-31,98.24
2007-08-31,98.017
2007-09-30,98.398
2007-10-31,96.747
2007-11-30,98.662
2007-12-31,98.855
2008-01-31,99.049
2008-02-29,98.956
2008-03-31,99.257
2008-04-30,99.459
2008-05-31,99.319
2008-06-30,99.346
2008-07-31,98.478
2008-08-31,98.814
2008-09-30,99.294
2008-10-31,99.365
2008-11-30,95.005
2008-12-31,97.974
2009-01-31,97.775
2009-02-28,95.496
2009-03-31,98.988
2009-04-30,98.516
2009-05-31,98.382
2009-06-30,98.1
2009-07-31,97.082
2009-08-31,97.805
2009-09-30,98.507
2009-10-31,99.051
2009-11-30,98.659
2009-12-31,99.111
2010-01-31,98.935
2010-02-28,99.202
2010-03-31,97.731
2010-04-30,98.456
2010-05-31,99.507
2010-06-30,98.545
2010-07-31,99.345
2010-08-31,100.378
2010-09-30,98.704
2010-10-31,99.973
2010-11-30,100.481
2010-12-31,99.692
2011-01-31,99.84
2011-02-28,98.983
2011-03-31,99.202
2011-04-30,99.207
2011-05-31,98.514
2011-06-30,99.31
2011-07-31,99.132
2011-08-31,98.648
2011-09-30,98.167
2011-10-31,100.233
2011-11-30,97.896
2011-12-31,98.742
2012-01-31,98.593
2012-02-29,99.136
2012-03-31,98.593
2012-04-30,98.955
2012-05-31,98.614
2012-06-30,99.064
2012-07-31,99.414
2012-08-31,98.491
2012-09-30,98.945
2012-10-31,97.697
2012-11-30,98.91
2012-12-31,98.705
2013-01-31,98.211
2013-02-28,98.38
2013-03-31,98.982
2013-04-30,98.597
2013-05-31,100.478
2013-06-30,98.411
2013-07-31,97.27
2013-08-31,98.353
2013-09-30,99.208
2013-10-31,98.262
2013-11-30,99.345
2013-12-31,97.094
2014-01-31,98.858
2014-02-28,97.994
2014-03-31,99.101
2014-04-30,98.819
2014-05-31,99.494
2014-06-30,97.836
2014-07-31,99.471
2014-08-31,99.553
2014-09-30,98.501
2014-10-31,98.612
2014-11-30,98.183
2014-12-31,97.712
2015-01-31,97.865
2015-02-28,98.104
2015-03-31,96.022
2015-04-30,96.989
2015-05-31,97.394
2015-06-30,97.505
