date,value
2000-01-31,75.466
2000-02-29,75.466
2000-03-31,75.5
2000-04-30,75.5
2000-05-31,75.5
2000-06-30,77.426
2000-07-31,78.486
2000-08-31,78.486
2000-09-30,78.486
2000-10-31,78.486
2000-11-30,78.486
2000-12-31,78.486
2001-01-31,78.603
2001-02-28,78.603
2001-03-31,78.603
2001-04-30,78.603
2001-05-31,78.603
2001-06-30,78.603
2001-07-31,79.423
2001-08-31,79.423
2001-09-30,79.423
2001-10-31,79.423
2001-11-30,79.423
2001-12-31,79.423
2002-01-31,79.347
2002-02-28,79.347
2002-03-31,79.347
2002-04-30,79.347
2002-05-31,79.347
2002-06-30,79.347
2002-07-31,81.282
2002-08-31,81.282
2002-09-30,81.282
2002-10-31,81.282
2002-11-30,81.282
2002-12-31,81.282
2003-01-31,81.461
2003-02-28,81.461
2003-03-31,81.073
2003-04-30,81.073
2003-05-31,81.073
2003-06-30,81.073
2003-07-31,81.073
2003-08-31,81.073
2003-09-30,81.073
2003-10-31,81.073
2003-11-30,81.073
2003-12-31,81.073
2004-01-31,81.091
2004-02-29,81.092
2004-03-31,81.091
2004-04-30,81.104
2004-05-31,81.105
2004-06-30,81.105
2004-07-31,81.105
2004-08-31,81.105
2004-09-30,81.105
2004-10-31,81.105
2004-11-30,81.11
2004-12-31,81.111
2005-01-31,81.178
2005-02-28,81.177
2005-03-31,81.331
2005-04-30,81.333
2005-05-31,81.333
2005-06-30,81.333
2005-07-31,82.436
2005-08-31,82.435
2005-09-30,82.436
2005-10-31,82.454
2005-11-30,82.444
2005-12-31,82.444
2006-01-31,82.627
2006-02-28,82.627
2006-03-31,82.67
2006-04-30,82.679
2006-05-31,82.679
2006-06-30,82.679
2006-07-31,85.073
2006-08-31,86.328
2006-09-30,86.328
2006-10-31,87.072
2006-11-30,87.09
2006-12-31,87.092
2007-01-31,87.246
2007-02-28,87.246
2007-03-31,87.25
2007-04-30,87.255
2007-05-31,87.255
2007-06-30,87.271
2007-07-31,87.288
2007-08-31,87.288
2007-09-30,87.288
2007-10-31,87.759
2007-11-30,87.759
2007-12-31,92.385
2008-01-31,92.548
2008-02-29,92.548
2008-03-31,92.548
2008-04-30,92.567
2008-05-31,92.567
2008-06-30,92.567
2008-07-31,92.637
2008-08-31,92.637
2008-09-30,92.642
2008-10-31,93.08
2008-11-30,93.08
2008-12-31,93.08
2009-01-31,93.303
2009-02-28,93.302
2009-03-31,93.299
2009-04-30,90.929
2009-05-31,90.92
2009-06-30,90.92
2009-07-31,90.92
2009-08-31,90.92
2009-09-30,90.92
2009-10-31,90.92
2009-11-30,90.934
2009-12-31,90.92
2010-01-31,91.11
2010-02-28,91.126
2010-03-31,91.126
2010-04-30,91.118
2010-05-31,91.118
2010-06-30,91.118
2010-07-31,91.353
2010-08-31,91.353
2010-09-30,91.353
2010-10-31,91.351
2010-11-30,91.353
2010-12-31,91.363
2011-01-31,91.66
2011-02-28,91.657
2011-03-31,91.811
2011-04-30,91.97
2011-05-31,91.985
2011-06-30,91.974
2011-07-31,92.046
2011-08-31,92.046
2011-09-30,92.046
2011-10-31,92.439
2011-11-30,92.559
2011-12-31,93.279
2012-01-31,96.405
2012-02-29,96.542
2012-03-31,96.542
2012-04-30,96.568
2012-05-31,96.568
2012-06-30,96.568
2012-07-31,96.568
2012-08-31,96.568
2012-09-30,96.568
2012-10-31,96.564
2012-11-30,96.564
2012-12-31,96.564
2013-01-31,96.83
2013-02-28,96.88
2013-03-31,96.83
2013-04-30,96.83
2013-05-31,96.83
2013-06-30,96.83
2013-07-31,96.855
2013-08-31,96.855
2013-09-30,96.855
2013-10-31,97.061
2013-11-30,97.061
2013-12-31,97.108
2014-01-31,97.621
2014-02-28,97.585
2014-03-31,97.585
2014-04-30,99.062
2014-05-31,99.322
2014-06-30,99.322
2014-07-31,99.322
2014-08-31,99.322
2014-09-30,99.322
2014-10-31,99.345
2014-11-30,99.35
2014-12-31,99.355
2015-01-31,99.701
2015-02-28,99.804
2015-03-31,99.693
2015-04-30,101.199
2015-05-31,101.433
2015-06-30,101.522
2015-07-31,101.553
2015-08-31,99.917
2015-09-30,101.545
2015-10-31,101.523
2015-11-30,101.541
2015-12-31,101.441
2016-01-31,100.797
2016-02-29,100.947
2016-03-31,100.813
2016-04-30,100.745
2016-05-31,100.807
2016-06-30,100.788
2016-07-31,100.791
2016-08-31,100.827
2016-09-30,100.838
2016-10-31,100.793
2016-11-30,100.782
2016-12-31,100.756
2017-01-31,98.716
2017-02-28,98.607
2017-03-31,98.574
2017-04-30,98.641
2017-05-31,98.594
2017-06-30,98.639
2017-07-31,98.588
2017-08-31,98.604
2017-09-30,98.593
2017-10-31,98.602
2017-11-30,98.593
2017-12-31,98.597
2018-01-31,97.524
2018-02-28,97.728
2018-03-31,97.537
2018-04-30,97.53
2018-05-31,97.537
2018-06-30,97.607
2018-07-31,97.537
2018-08-31,97.553
2018-09-30,97.537
2018-10-31,97.537
2018-11-30,97.566
2018-12-31,97.82
2019-01-31,100.216
2019-02-28,100.187
2019-03-31,100.639
2019-04-30,99.908
2019-05-31,99.867
2019-06-30,99.489
2019-07-31,99.642
2019-08-31,99.488
2019-09-30,99.721
2019-10-31,99.76
2019-11-30,99.997
2019-12-31,101.089
2020-01-31,104.425
2020-02-29,104.569
2020-03-31,103.118
2020-04-30,102.601
2020-05-31,102.197
2020-06-30,101.911
2020-07-31,102.179
2020-08-31,102.834
2020-09-30,103.099
2020-10-31,103.123
2020-11-30,103.287
2020-12-31,103.552
2021-01-31,104.343
2021-02-28,104.423
2021-03-31,105.342
2021-04-30,104.89
2021-05-31,105.333
2021-06-30,103.783
2021-07-31,104.369
2021-08-31,104.982
2021-09-30,105.12
2021-10-31,105.321
2021-11-30,104.725
2021-12-31,106.113
2022-01-31,108.532
2022-02-28,108.233
2022-03-31,109.953
2022-04-30,110.556
2022-05-31,112.825
2022-06-30,113.801
2022-07-31,112.914
2022-08-31,113.167
2022-09-30,114.083
2022-10-31,114.544
2022-11-30,114.383
2022-12-31,115.447
2023-01-31,117.171
2023-02-28,117.471
2023-03-31,116.563
2023-04-30,115.419
2023-05-31,115.141
2023-06-30,115.373
2023-07-31,115.144
2023-08-31,115.352
2023-09-30,115.86
2023-10-31,116.086
2023-11-30,115.281
2023-12-31,118.289
2024-01-31,122.998
2024-02-29,123.969
2024-03-31,125.104
2024-04-30,123.467
