date,value
2000-01-31,53.666
2000-02-29,53.799
2000-03-31,53.877
2000-04-30,54.046
2000-05-31,54.728
2000-06-30,54.77
2000-07-31,55.226
2000-08-31,55.218
2000-09-30,55.359
2000-10-31,55.519
2000-11-30,55.645
2000-12-31,55.784
2001-01-31,55.964
2001-02-28,56.132
2001-03-31,56.208
2001-04-30,56.545
2001-05-31,56.7
2001-06-30,56.749
2001-07-31,57.312
2001-08-31,57.358
2001-09-30,57.492
2001-10-31,57.611
2001-11-30,57.734
2001-12-31,57.879
2002-01-31,57.78
2002-02-28,57.908
2002-03-31,57.979
2002-04-30,57.951
2002-05-31,58.09
2002-06-30,58.156
2002-07-31,58.28
2002-08-31,58.35
2002-09-30,58.453
2002-10-31,58.55
2002-11-30,58.674
2002-12-31,58.828
2003-01-31,58.933
2003-02-28,59.047
2003-03-31,59.14
2003-04-30,59.287
2003-05-31,59.412
2003-06-30,59.49
2003-07-31,60.877
2003-08-31,60.927
2003-09-30,60.996
2003-10-31,61.072
2003-11-30,61.21
2003-12-31,61.386
2004-01-31,61.333
2004-02-29,62.093
2004-03-31,62.217
2004-04-30,62.283
2004-05-31,62.406
2004-06-30,62.527
2004-07-31,61.96
2004-08-31,62.256
2004-09-30,62.272
2004-10-31,62.93
2004-11-30,63.096
2004-12-31,63.281
2005-01-31,63.527
2005-02-28,63.631
2005-03-31,63.776
2005-04-30,63.921
2005-05-31,64.058
2005-06-30,64.264
2005-07-31,64.366
2005-08-31,64.725
2005-09-30,64.865
2005-10-31,65.044
2005-11-30,65.227
2005-12-31,65.408
2006-01-31,65.721
2006-02-28,65.805
2006-03-31,65.948
2006-04-30,66.025
2006-05-31,66.178
2006-06-30,66.3
2006-07-31,66.416
2006-08-31,66.56
2006-09-30,66.769
2006-10-31,66.93
2006-11-30,67.06
2006-12-31,67.235
2007-01-31,67.224
2007-02-28,67.468
2007-03-31,67.598
2007-04-30,66.806
2007-05-31,66.969
2007-06-30,67.116
2007-07-31,68.61
2007-08-31,68.648
2007-09-30,68.889
2007-10-31,68.97
2007-11-30,69.119
2007-12-31,70.674
2008-01-31,70.958
2008-02-29,71.245
2008-03-31,71.456
2008-04-30,71.801
2008-05-31,71.99
2008-06-30,72.137
2008-07-31,71.557
2008-08-31,71.776
2008-09-30,70.413
2008-10-31,70.948
2008-11-30,71.092
2008-12-31,71.28
2009-01-31,71.458
2009-02-28,71.448
2009-03-31,71.621
2009-04-30,71.7
2009-05-31,71.878
2009-06-30,72.004
2009-07-31,71.908
2009-08-31,72.234
2009-09-30,71.879
2009-10-31,72.025
2009-11-30,72.207
2009-12-31,72.378
2010-01-31,72.487
2010-02-28,73.325
2010-03-31,73.515
2010-04-30,73.667
2010-05-31,73.852
2010-06-30,73.968
2010-07-31,74.59
2010-08-31,75.079
2010-09-30,75.146
2010-10-31,75.461
2010-11-30,75.663
2010-12-31,75.817
2011-01-31,75.883
2011-02-28,76.206
2011-03-31,76.412
2011-04-30,76.508
2011-05-31,76.693
2011-06-30,76.855
2011-07-31,77.066
2011-08-31,77.38
2011-09-30,77.528
2011-10-31,77.631
2011-11-30,77.873
2011-12-31,78.012
2012-01-31,78.714
2012-02-29,78.997
2012-03-31,79.259
2012-04-30,79.867
2012-05-31,80.073
2012-06-30,80.291
2012-07-31,80.374
2012-08-31,80.534
2012-09-30,80.789
2012-10-31,80.972
2012-11-30,81.231
2012-12-31,81.387
2013-01-31,82.036
2013-02-28,82.249
2013-03-31,82.52
2013-04-30,82.707
2013-05-31,82.939
2013-06-30,83.176
2013-07-31,83.203
2013-08-31,83.782
2013-09-30,83.961
2013-10-31,84.4
2013-11-30,84.654
2013-12-31,84.846
2014-01-31,85.158
2014-02-28,85.225
2014-03-31,85.473
2014-04-30,85.722
2014-05-31,85.994
2014-06-30,86.199
2014-07-31,86.311
2014-08-31,86.484
2014-09-30,86.846
2014-10-31,86.987
2014-11-30,87.227
2014-12-31,87.446
2015-01-31,87.853
2015-02-28,88.334
2015-03-31,88.492
2015-04-30,88.571
2015-05-31,88.726
2015-06-30,88.941
2015-07-31,89.397
2015-08-31,89.707
2015-09-30,89.897
2015-10-31,90.165
2015-11-30,90.392
2015-12-31,90.617
2016-01-31,90.253
2016-02-29,90.489
2016-03-31,90.701
2016-04-30,91.318
2016-05-31,91.626
2016-06-30,91.813
2016-07-31,92.673
2016-08-31,92.85
2016-09-30,92.861
2016-10-31,93.076
2016-11-30,93.297
2016-12-31,93.52
2017-01-31,93.53
2017-02-28,93.846
2017-03-31,94.051
2017-04-30,94.279
2017-05-31,94.541
2017-06-30,94.772
2017-07-31,95.33
2017-08-31,95.44
2017-09-30,95.385
2017-10-31,95.476
2017-11-30,95.68
2017-12-31,95.898
2018-01-31,96.167
2018-02-28,96.661
2018-03-31,96.863
2018-04-30,97.083
2018-05-31,97.303
2018-06-30,97.477
2018-07-31,97.69
2018-08-31,97.902
2018-09-30,98.189
2018-10-31,98.536
2018-11-30,98.718
2018-12-31,98.931
2019-01-31,99.202
2019-02-28,99.21
2019-03-31,99.404
2019-04-30,99.579
2019-05-31,99.764
2019-06-30,99.92
2019-07-31,100.054
2019-08-31,100.192
2019-09-30,100.218
2019-10-31,100.523
2019-11-30,100.755
2019-12-31,101.168
2020-01-31,98.558
2020-02-29,98.677
2020-03-31,98.87
2020-04-30,99.049
2020-05-31,99.173
2020-06-30,99.305
2020-07-31,99.383
2020-08-31,99.559
2020-09-30,99.941
2020-10-31,99.793
2020-11-30,99.926
2020-12-31,100.049
2021-01-31,99.284
2021-02-28,99.732
2021-03-31,99.921
2021-04-30,100.104
2021-05-31,100.188
2021-06-30,100.549
2021-07-31,100.762
2021-08-31,100.903
2021-09-30,101.193
2021-10-31,101.436
2021-11-30,101.602
2021-12-31,101.968
2022-01-31,101.511
2022-02-28,101.753
2022-03-31,101.936
2022-04-30,102.119
2022-05-31,102.562
2022-06-30,102.756
2022-07-31,102.972
2022-08-31,103.154
2022-09-30,103.354
2022-10-31,103.472
2022-11-30,103.599
2022-12-31,104.079
2023-01-31,104.607
2023-02-28,104.676
2023-03-31,104.948
2023-04-30,105.161
2023-05-31,105.256
2023-06-30,105.432
2023-07-31,105.618
2023-08-31,105.853
2023-09-30,105.833
2023-10-31,106.279
2023-11-30,106.449
2023-12-31,106.762
2024-01-31,107.939
2024-02-29,108.288
2024-03-31,108.441
2024-04-30,108.66
