date,value
2014-01-31,104.303
2014-02-28,103.165
2014-03-31,106.56
2014-04-30,107.506
2014-05-31,107.297
2014-06-30,107.233
2014-07-31,107.452
2014-08-31,104.457
2014-09-30,101.113
2014-10-31,106.755
2014-11-30,106.496
2014-12-31,101.54
2015-01-31,103.026
2015-02-28,102.584
2015-03-31,104.43
2015-04-30,104.655
2015-05-31,105.079
2015-06-30,104.777
2015-07-31,104.528
2015-08-31,103.153
2015-09-30,102.196
2015-10-31,102.325
2015-11-30,102.332
2015-12-31,99.719
2016-01-31,103.207
2016-02-29,102.451
2016-03-31,104.666
2016-04-30,105.243
2016-05-31,101.362
2016-06-30,102.913
2016-07-31,101.954
2016-08-31,103.681
2016-09-30,102.793
2016-10-31,103.442
2016-11-30,104.024
2016-12-31,101.106
2017-01-31,101.701
2017-02-28,103.229
2017-03-31,104.963
2017-04-30,105.825
2017-05-31,104.828
2017-06-30,105.817
2017-07-31,103.65
2017-08-31,103.461
2017-09-30,104.398
2017-10-31,103.553
2017-11-30,103.295
2017-12-31,101.995
2018-01-31,103.32
2018-02-28,101.61
2018-03-31,103.972
2018-04-30,102.888
2018-05-31,101.834
2018-06-30,102.766
2018-07-31,102.277
2018-08-31,102.804
2018-09-30,101.482
2018-10-31,101.131
2018-11-30,101.522
2018-12-31,98.442
2019-01-31,100.565
2019-02-28,101.158
2019-03-31,101.798
2019-04-30,100.319
2019-05-31,100.272
2019-06-30,100.559
2019-07-31,101.228
2019-08-31,100.625
2019-09-30,101.453
2019-10-31,97.193
2019-11-30,98.039
2019-12-31,96.791
2020-01-31,96.895
2020-02-29,96.21
2020-03-31,98.053
2020-04-30,98.82
2020-05-31,98.068
2020-06-30,96.797
2020-07-31,96.749
2020-08-31,97.866
2020-09-30,98.498
2020-10-31,97.285
2020-11-30,97.599
2020-12-31,98.217
2021-01-31,98.474
2021-02-28,98.475
2021-03-31,99.108
2021-04-30,98.094
2021-05-31,98.995
2021-06-30,98.302
2021-07-31,96.008
2021-08-31,98.555
2021-09-30,97.32
2021-10-31,97.141
2021-11-30,96.514
2021-12-31,97.098
2022-01-31,97.298
2022-02-28,97.867
2022-03-31,96.841
2022-04-30,96.867
2022-05-31,96.758
2022-06-30,97.423
2022-07-31,96.803
2022-08-31,96.959
2022-09-30,97.541
2022-10-31,98.643
2022-11-30,98.301
2022-12-31,98.194
2023-01-31,94.911
2023-02-28,96.631
2023-03-31,101.501
2023-04-30,97.586
2023-05-31,102.223
2023-06-30,101.177
2023-07-31,104.573
2023-08-31,100.492
2023-09-30,101.835
2023-10-31,103.71
2023-11-30,103.721
2023-12-31,102.441
2024-01-31,103.331
2024-02-29,102.085
2024-03-31,103.828
2024-04-30,104.411
