date,value
2014-01-31,96.752
2014-02-28,95.972
2014-03-31,96.848
2014-04-30,96.13
2014-05-31,97.344
2014-06-30,97.868
2014-07-31,94.399
2014-08-31,98.572
2014-09-30,98.937
2014-10-31,99.215
2014-11-30,99.223
2014-12-31,99.302
2015-01-31,98.199
2015-02-28,98.199
2015-03-31,100.216
2015-04-30,98.695
2015-05-31,99.055
2015-06-30,99.129
2015-07-31,92.513
2015-08-31,91.925
2015-09-30,93.112
2015-10-31,95.843
2015-11-30,95.963
2015-12-31,94.917
2016-01-31,95.263
2016-02-29,95.528
2016-03-31,96.91
2016-04-30,97.42
2016-05-31,97.844
2016-06-30,95.936
2016-07-31,93.862
2016-08-31,93.495
2016-09-30,97.834
2016-10-31,98.388
2016-11-30,98.494
2016-12-31,94.73
2017-01-31,97.302
2017-02-28,98.302
2017-03-31,99.861
2017-04-30,99.173
2017-05-31,98.411
2017-06-30,97.938
2017-07-31,99.299
2017-08-31,100.474
2017-09-30,101.01
2017-10-31,101.722
2017-11-30,102.075
2017-12-31,102.794
2018-01-31,99.581
2018-02-28,99.377
2018-03-31,102.219
2018-04-30,102.748
2018-05-31,101.503
2018-06-30,101.737
2018-07-31,101.759
2018-08-31,98.27
2018-09-30,99.105
2018-10-31,99.854
2018-11-30,99.653
2018-12-31,98.669
2019-01-31,99.067
2019-02-28,98.096
2019-03-31,102.784
2019-04-30,101.248
2019-05-31,98.232
2019-06-30,99.259
2019-07-31,100.058
2019-08-31,98.398
2019-09-30,99.018
2019-10-31,102.031
2019-11-30,101.662
2019-12-31,100.148
2020-01-31,98.503
2020-02-29,101.915
2020-03-31,102.495
2020-04-30,102.664
2020-05-31,101.9
2020-06-30,101.59
2020-07-31,100.491
2020-08-31,99.607
2020-09-30,99.141
2020-10-31,101.154
2020-11-30,99.872
2020-12-31,99.344
2021-01-31,99.934
2021-02-28,100.162
2021-03-31,100.813
2021-04-30,100.985
2021-05-31,101.786
2021-06-30,102.857
2021-07-31,101.808
2021-08-31,102.649
2021-09-30,102.086
2021-10-31,102.163
2021-11-30,102.568
2021-12-31,102.01
2022-01-31,103.083
2022-02-28,103.254
2022-03-31,104.277
2022-04-30,103.274
2022-05-31,103.373
2022-06-30,104.807
2022-07-31,104.463
2022-08-31,104.264
2022-09-30,104.169
2022-10-31,106.595
2022-11-30,111.661
2022-12-31,111.465
2023-01-31,109.486
2023-02-28,109.957
2023-03-31,111.802
2023-04-30,111.759
2023-05-31,113.239
2023-06-30,113.183
2023-07-31,114.046
2023-08-31,112.006
2023-09-30,112.474
2023-10-31,114.1
2023-11-30,113.035
2023-12-31,111.361
2024-01-31,110.936
2024-02-29,112.683
2024-03-31,114.235
2024-04-30,114.677
