date,value
2000-01-31,66.162
2000-02-29,66.162
2000-03-31,66.162
2000-04-30,66.162
2000-05-31,66.162
2000-06-30,66.162
2000-07-31,65.19
2000-08-31,65.19
2000-09-30,65.19
2000-10-31,65.19
2000-11-30,66.217
2000-12-31,66.217
2001-01-31,66.217
2001-02-28,66.217
2001-03-31,66.217
2001-04-30,67.237
2001-05-31,67.237
2001-06-30,67.237
2001-07-31,68.6
2001-08-31,68.6
2001-09-30,68.712
2001-10-31,68.712
2001-11-30,68.712
2001-12-31,68.807
2002-01-31,69.818
2002-02-28,69.818
2002-03-31,69.818
2002-04-30,69.818
2002-05-31,69.818
2002-06-30,69.818
2002-07-31,70.091
2002-08-31,70.091
2002-09-30,70.091
2002-10-31,70.091
2002-11-30,73.284
2002-12-31,73.284
2003-01-31,73.52
2003-02-28,73.52
2003-03-31,73.52
2003-04-30,73.685
2003-05-31,74.33
2003-06-30,74.33
2003-07-31,74.816
2003-08-31,74.816
2003-09-30,74.816
2003-10-31,74.909
2003-11-30,74.909
2003-12-31,74.909
2004-01-31,75.386
2004-02-29,75.386
2004-03-31,75.386
2004-04-30,75.386
2004-05-31,75.386
2004-06-30,75.386
2004-07-31,75.589
2004-08-31,75.589
2004-09-30,75.944
2004-10-31,76.827
2004-11-30,76.827
2004-12-31,76.827
2005-01-31,77.008
2005-02-28,77.008
2005-03-31,77.008
2005-04-30,77.008
2005-05-31,77.008
2005-06-30,77.008
2005-07-31,77.05
2005-08-31,77.05
2005-09-30,77.478
2005-10-31,79.011
2005-11-30,79.011
2005-12-31,79.402
2006-01-31,79.435
2006-02-28,79.435
2006-03-31,79.435
2006-04-30,79.435
2006-05-31,79.435
2006-06-30,79.435
2006-07-31,79.869
2006-08-31,79.869
2006-09-30,79.869
2006-10-31,82.291
2006-11-30,82.291
2006-12-31,82.291
2007-01-31,82.375
2007-02-28,82.375
2007-03-31,82.375
2007-04-30,82.375
2007-05-31,82.375
2007-06-30,82.375
2007-07-31,84.032
2007-08-31,84.032
2007-09-30,84.032
2007-10-31,85.698
2007-11-30,85.698
2007-12-31,85.728
2008-01-31,85.919
2008-02-29,86.037
2008-03-31,86.037
2008-04-30,86.037
2008-05-31,86.037
2008-06-30,86.037
2008-07-31,86.636
2008-08-31,86.636
2008-09-30,86.636
2008-10-31,88.39
2008-11-30,88.39
2008-12-31,88.39
2009-01-31,88.674
2009-02-28,88.674
2009-03-31,88.876
2009-04-30,88.876
2009-05-31,88.876
2009-06-30,87.452
2009-07-31,88.2
2009-08-31,88.2
2009-09-30,88.2
2009-10-31,88.659
2009-11-30,88.854
2009-12-31,88.854
2010-01-31,89.503
2010-02-28,89.503
2010-03-31,89.503
2010-04-30,89.503
2010-05-31,89.503
2010-06-30,89.503
2010-07-31,89.801
2010-08-31,89.801
2010-09-30,90.055
2010-10-31,90.055
2010-11-30,94.217
2010-12-31,94.217
2011-01-31,94.742
2011-02-28,94.74
2011-03-31,94.74
2011-04-30,94.732
2011-05-31,94.732
2011-06-30,94.732
2011-07-31,95.04
2011-08-31,95.111
2011-09-30,95.111
2011-10-31,95.917
2011-11-30,95.917
2011-12-31,96.023
2012-01-31,96.023
2012-02-29,96.023
2012-03-31,96.023
2012-04-30,96.023
2012-05-31,96.023
2012-06-30,96.023
2012-07-31,96.317
2012-08-31,96.317
2012-09-30,96.317
2012-10-31,96.61
2012-11-30,96.61
2012-12-31,96.61
2013-01-31,96.61
2013-02-28,96.61
2013-03-31,96.61
2013-04-30,96.61
2013-05-31,96.61
2013-06-30,96.61
2013-07-31,96.61
2013-08-31,96.953
2013-09-30,96.953
2013-10-31,96.982
2013-11-30,96.982
2013-12-31,97.09
2014-01-31,98.471
2014-02-28,98.471
2014-03-31,98.471
2014-04-30,98.471
2014-05-31,98.471
2014-06-30,98.471
2014-07-31,98.471
2014-08-31,98.806
2014-09-30,98.806
2014-10-31,98.806
2014-11-30,98.806
2014-12-31,98.806
2015-01-31,98.772
2015-02-28,98.772
2015-03-31,98.772
2015-04-30,98.772
2015-05-31,98.772
2015-06-30,98.772
2015-07-31,99.617
2015-08-31,99.617
2015-09-30,99.617
2015-10-31,99.617
2015-11-30,99.617
2015-12-31,99.617
2016-01-31,100.006
2016-02-29,100.006
2016-03-31,100.006
2016-04-30,100.006
2016-05-31,100.006
2016-06-30,100.006
2016-07-31,99.931
2016-08-31,99.931
2016-09-30,99.931
2016-10-31,99.931
2016-11-30,99.931
2016-12-31,99.931
2017-01-31,100.07
2017-02-28,100.07
2017-03-31,100.07
2017-04-30,100.07
2017-05-31,100.07
2017-06-30,100.07
2017-07-31,100.843
2017-08-31,100.843
2017-09-30,100.843
2017-10-31,100.843
2017-11-30,100.843
2017-12-31,100.843
2018-01-31,100.362
2018-02-28,100.362
2018-03-31,100.362
2018-04-30,100.362
2018-05-31,100.362
2018-06-30,100.362
2018-07-31,100.559
2018-08-31,100.559
2018-09-30,100.559
2018-10-31,100.559
2018-11-30,100.559
2018-12-31,100.559
2019-01-31,99.918
2019-02-28,99.918
2019-03-31,99.918
2019-04-30,99.918
2019-05-31,99.918
2019-06-30,99.918
2019-07-31,99.682
2019-08-31,99.682
2019-09-30,99.682
2019-10-31,100.482
2019-11-30,100.482
2019-12-31,100.482
2020-01-31,100.482
2020-02-29,100.482
2020-03-31,100.482
2020-04-30,100.482
2020-05-31,100.482
2020-06-30,100.482
2020-07-31,100.482
2020-08-31,100.391
2020-09-30,100.391
2020-10-31,100.391
2020-11-30,100.391
2020-12-31,100.391
2021-01-31,100.431
2021-02-28,100.431
2021-03-31,100.431
2021-04-30,100.431
2021-05-31,100.431
2021-06-30,100.431
2021-07-31,100.431
2021-08-31,100.331
2021-09-30,100.331
2021-10-31,100.194
2021-11-30,100.194
2021-12-31,100.194
2022-01-31,100.194
2022-02-28,100.194
2022-03-31,100.194
2022-04-30,100.194
2022-05-31,100.194
2022-06-30,100.194
2022-07-31,100.953
2022-08-31,100.953
2022-09-30,100.953
2022-10-31,101.792
2022-11-30,101.792
2022-12-31,101.792
2023-01-31,102.13
2023-02-28,102.13
2023-03-31,102.739
2023-04-30,102.941
2023-05-31,103.062
2023-06-30,103.062
2023-07-31,103.395
2023-08-31,103.395
2023-09-30,103.395
2023-10-31,103.882
2023-11-30,103.882
2023-12-31,103.882
2024-01-31,104.333
2024-02-29,104.333
2024-03-31,104.333
2024-04-30,104.644
