date,value
1961-01-31,20.538
1961-02-28,20.538
1961-03-31,20.538
1961-04-30,20.538
1961-05-31,20.538
1961-06-30,20.538
1961-07-31,20.538
1961-08-31,20.538
1961-09-30,20.538
1961-10-31,20.538
1961-11-30,20.538
1961-12-31,20.522
1962-01-31,20.522
1962-02-28,20.522
1962-03-31,20.522
1962-04-30,20.522
1962-05-31,20.522
1962-06-30,20.522
1962-07-31,20.522
1962-08-31,20.522
1962-09-30,20.522
1962-10-31,20.522
1962-11-30,20.522
1962-12-31,20.522
1963-01-31,20.522
1963-02-28,20.522
1963-03-31,20.522
1963-04-30,20.522
1963-05-31,20.522
1963-06-30,20.544
1963-07-31,20.544
1963-08-31,20.544
1963-09-30,20.544
1963-10-31,20.544
1963-11-30,20.528
1963-12-31,20.608
1964-01-31,20.608
1964-02-29,20.608
1964-03-31,20.608
1964-04-30,20.608
1964-05-31,20.608
1964-06-30,20.608
1964-07-31,20.608
1964-08-31,20.608
1964-09-30,20.608
1964-10-31,20.608
1964-11-30,20.608
1964-12-31,20.608
1965-01-31,20.608
1965-02-28,20.608
1965-03-31,20.608
1965-04-30,20.608
1965-05-31,20.608
1965-06-30,20.608
1965-07-31,20.608
1965-08-31,20.608
1965-09-30,20.608
1965-10-31,20.608
1965-11-30,20.608
1965-12-31,20.608
1966-01-31,20.608
1966-02-28,20.608
1966-03-31,20.608
1966-04-30,20.608
1966-05-31,20.608
1966-06-30,20.608
1966-07-31,20.608
1966-08-31,20.608
1966-09-30,20.608
1966-10-31,20.608
1966-11-30,20.632
1966-12-31,20.632
1967-01-31,20.632
1967-02-28,20.632
1967-03-31,20.632
1967-04-30,20.632
1967-05-31,20.632
1967-06-30,20.632
1967-07-31,20.632
1967-08-31,20.632
1967-09-30,20.632
1967-10-31,20.632
1967-11-30,20.632
1967-12-31,20.632
1968-01-31,20.632
1968-02-29,20.632
1968-03-31,20.632
1968-04-30,20.632
1968-05-31,20.632
1968-06-30,20.632
1968-07-31,20.632
1968-08-31,20.632
1968-09-30,20.632
1968-10-31,20.632
1968-11-30,20.632
1968-12-31,20.632
1969-01-31,20.675
1969-02-28,20.675
1969-03-31,20.675
1969-04-30,20.675
1969-05-31,20.675
1969-06-30,20.675
1969-07-31,20.675
1969-08-31,20.675
1969-09-30,20.675
1969-10-31,20.675
1969-11-30,20.675
1969-12-31,20.675
1970-01-31,20.652
1970-02-28,20.652
1970-03-31,20.652
1970-04-30,20.652
1970-05-31,20.652
1970-06-30,20.652
1970-07-31,20.652
1970-08-31,20.652
1970-09-30,20.652
1970-10-31,20.652
1970-11-30,20.652
1970-12-31,20.652
1971-01-31,20.652
1971-02-28,20.652
1971-03-31,20.652
1971-04-30,20.652
1971-05-31,20.652
1971-06-30,20.645
1971-07-31,20.645
1971-08-31,20.645
1971-09-30,20.645
1971-10-31,20.645
1971-11-30,20.645
1971-12-31,20.645
1972-01-31,20.645
1972-02-29,20.645
1972-03-31,20.645
1972-04-30,20.645
1972-05-31,20.645
1972-06-30,20.645
1972-07-31,20.645
1972-08-31,20.645
1972-09-30,20.645
1972-10-31,20.686
1972-11-30,20.686
1972-12-31,20.686
1973-01-31,20.704
1973-02-28,20.709
1973-03-31,20.709
1973-04-30,20.709
1973-05-31,20.71
1973-06-30,20.71
1973-07-31,20.729
1973-08-31,20.729
1973-09-30,20.73
1973-10-31,20.734
1973-11-30,20.734
1973-12-31,21.002
1974-01-31,22.01
1974-02-28,26.488
1974-03-31,29.912
1974-04-30,30.07
1974-05-31,30.086
1974-06-30,30.11
1974-07-31,30.11
1974-08-31,30.125
1974-09-30,30.125
1974-10-31,30.134
1974-11-30,30.134
1974-12-31,30.134
1975-01-31,30.134
1975-02-28,30.118
1975-03-31,30.313
1975-04-30,30.342
1975-05-31,30.369
1975-06-30,30.369
1975-07-31,30.407
1975-08-31,30.407
1975-09-30,30.438
1975-10-31,30.438
1975-11-30,30.456
1975-12-31,30.456
1976-01-31,31.484
1976-02-29,31.665
1976-03-31,31.665
1976-04-30,31.665
1976-05-31,31.665
1976-06-30,31.665
1976-07-31,31.681
1976-08-31,31.681
1976-09-30,31.687
1976-10-31,31.694
1976-11-30,31.694
1976-12-31,31.694
1977-01-31,31.729
1977-02-28,31.729
1977-03-31,31.729
1977-04-30,31.754
1977-05-31,31.869
1977-06-30,31.876
1977-07-31,31.916
1977-08-31,31.916
1977-09-30,31.916
1977-10-31,31.927
1977-11-30,31.927
1977-12-31,31.927
1978-01-31,31.978
1978-02-28,31.977
1978-03-31,32.062
1978-04-30,32.258
1978-05-31,32.273
1978-06-30,32.299
1978-07-31,34.899
1978-08-31,34.926
1978-09-30,34.942
1978-10-31,34.954
1978-11-30,34.954
1978-12-31,34.954
1979-01-31,34.968
1979-02-28,34.971
1979-03-31,34.975
1979-04-30,34.978
1979-05-31,34.978
1979-06-30,34.982
1979-07-31,35.285
1979-08-31,35.937
1979-09-30,40.335
1979-10-31,40.339
1979-11-30,40.357
1979-12-31,40.358
1980-01-31,40.862
1980-02-29,41.191
1980-03-31,41.88
1980-04-30,41.877
1980-05-31,41.856
1980-06-30,42.033
1980-07-31,42.263
1980-08-31,42.735
1980-09-30,42.736
1980-10-31,42.735
1980-11-30,42.742
1980-12-31,42.846
1981-01-31,43.235
1981-02-28,43.544
1981-03-31,43.921
1981-04-30,47.618
1981-05-31,48.005
1981-06-30,48.005
1981-07-31,48.061
1981-08-31,48.021
1981-09-30,48.021
1981-10-31,48.063
1981-11-30,48.063
1981-12-31,48.083
1982-01-31,48.132
1982-02-28,48.084
1982-03-31,48.049
1982-04-30,48.049
1982-05-31,47.908
1982-06-30,47.908
1982-07-31,47.9
1982-08-31,47.985
1982-09-30,47.985
1982-10-31,48.649
1982-11-30,48.649
1982-12-31,48.832
1983-01-31,48.841
1983-02-28,48.832
1983-03-31,48.832
1983-04-30,48.092
1983-05-31,48.098
1983-06-30,48.102
1983-07-31,48.151
1983-08-31,48.161
1983-09-30,48.16
1983-10-31,48.465
1983-11-30,50.559
1983-12-31,50.569
1984-01-31,50.955
1984-02-29,50.955
1984-03-31,50.984
1984-04-30,50.984
1984-05-31,50.99
1984-06-30,50.992
1984-07-31,50.991
1984-08-31,51.003
1984-09-30,50.783
1984-10-31,50.574
1984-11-30,50.573
1984-12-31,50.573
1985-01-31,50.728
1985-02-28,50.724
1985-03-31,52.942
1985-04-30,54.566
1985-05-31,54.572
1985-06-30,55.404
1985-07-31,55.429
1985-08-31,55.435
1985-09-30,53.433
1985-10-31,53.37
1985-11-30,53.37
1985-12-31,53.232
1986-01-31,53.009
1986-02-28,52.57
1986-03-31,51.083
1986-04-30,50.704
1986-05-31,51.258
1986-06-30,51.306
1986-07-31,51.537
1986-08-31,51.433
1986-09-30,51.482
1986-10-31,51.684
1986-11-30,51.62
1986-12-31,51.66
1987-01-31,51.632
1987-02-28,51.662
1987-03-31,51.817
1987-04-30,52.162
1987-05-31,52.407
1987-06-30,52.437
1987-07-31,52.488
1987-08-31,52.489
1987-09-30,52.361
1987-10-31,52.356
1987-11-30,52.368
1987-12-31,52.224
1988-01-31,52.294
1988-02-29,52.584
1988-03-31,52.714
1988-04-30,52.726
1988-05-31,52.894
1988-06-30,53.014
1988-07-31,52.787
1988-08-31,52.674
1988-09-30,52.68
1988-10-31,52.49
1988-11-30,52.8
1988-12-31,53.188
1989-01-31,53.39
1989-02-28,53.478
1989-03-31,53.573
1989-04-30,53.986
1989-05-31,55.136
1989-06-30,56.616
1989-07-31,56.323
1989-08-31,56.463
1989-09-30,56.46
1989-10-31,56.469
1989-11-30,56.609
1989-12-31,57.421
1990-01-31,57.532
1990-02-28,57.749
1990-03-31,57.82
1990-04-30,57.973
1990-05-31,58.274
1990-06-30,58.146
1990-07-31,58.079
1990-08-31,59.637
1990-09-30,62.936
1990-10-31,65.827
1990-11-30,64.085
1990-12-31,63.667
1991-01-31,63.443
1991-02-28,64.569
1991-03-31,63.068
1991-04-30,63.449
1991-05-31,64.331
1991-06-30,65.225
1991-07-31,65.166
1991-08-31,65.453
1991-09-30,65.585
1991-10-31,64.796
1991-11-30,65.236
1991-12-31,65.902
1992-01-31,66.182
1992-02-29,65.436
1992-03-31,65.311
1992-04-30,65.757
1992-05-31,66.754
1992-06-30,66.84
1992-07-31,67.064
1992-08-31,67.26
1992-09-30,67.268
1992-10-31,67.569
1992-11-30,68.016
1992-12-31,67.435
1993-01-31,66.927
1993-02-28,66.725
1993-03-31,67.203
1993-04-30,67.945
1993-05-31,68.268
1993-06-30,68.55
1993-07-31,68.942
1993-08-31,68.902
1993-09-30,69.364
1993-10-31,69.909
1993-11-30,70.617
1993-12-31,71.651
1994-01-31,72.81
1994-02-28,71.874
1994-03-31,70.643
1994-04-30,71.551
1994-05-31,72.455
1994-06-30,73.97
1994-07-31,74.557
1994-08-31,74.995
1994-09-30,75.329
1994-10-31,76.172
1994-11-30,77.466
1994-12-31,76.049
1995-01-31,74.659
1995-02-28,73.839
1995-03-31,73.171
1995-04-30,74.014
1995-05-31,75.372
1995-06-30,76.014
1995-07-31,75.079
1995-08-31,74.582
1995-09-30,74.643
1995-10-31,75.75
1995-11-30,75.544
1995-12-31,74.054
1996-01-31,74.362
1996-02-29,74.792
1996-03-31,74.724
1996-04-30,74.06
1996-05-31,75.296
1996-06-30,75.502
1996-07-31,75.113
1996-08-31,75.089
1996-09-30,75.286
1996-10-31,75.332
1996-11-30,75.641
1996-12-31,75.917
1997-01-31,76.613
1997-02-28,76.157
1997-03-31,75.866
1997-04-30,76.656
1997-05-31,77.624
1997-06-30,79.967
1997-07-31,80.218
1997-08-31,80.212
1997-09-30,80.244
1997-10-31,80.062
1997-11-30,79.811
1997-12-31,79.209
1998-01-31,75.323
1998-02-28,75.56
1998-03-31,75.115
1998-04-30,74.998
1998-05-31,75.148
1998-06-30,75.331
1998-07-31,75.368
1998-08-31,74.34
1998-09-30,73.745
1998-10-31,73.445
1998-11-30,73.288
1998-12-31,72.953
1999-01-31,72.867
1999-02-28,72.822
1999-03-31,72.717
1999-04-30,73.26
1999-05-31,74.006
1999-06-30,74.43
1999-07-31,74.211
1999-08-31,74.934
1999-09-30,75.423
1999-10-31,75.749
1999-11-30,75.51
1999-12-31,75.681
2000-01-31,75.869
2000-02-29,76.437
2000-03-31,76.211
2000-04-30,76.814
2000-05-31,75.472
2000-06-30,76.557
2000-07-31,77.322
2000-08-31,77.589
2000-09-30,78.13
2000-10-31,78.045
2000-11-30,77.321
2000-12-31,77.573
2001-01-31,76.683
2001-02-28,76.424
2001-03-31,77.094
2001-04-30,77.155
2001-05-31,76.837
2001-06-30,75.002
2001-07-31,76.406
2001-08-31,76.479
2001-09-30,76.424
2001-10-31,75.782
2001-11-30,74.781
2001-12-31,74.18
2002-01-31,74.375
2002-02-28,74.585
2002-03-31,74.851
2002-04-30,75.377
2002-05-31,75.861
2002-06-30,75.521
2002-07-31,76.022
2002-08-31,75.996
2002-09-30,75.131
2002-10-31,75.258
2002-11-30,75.158
2002-12-31,74.744
2003-01-31,75.128
2003-02-28,75.416
2003-03-31,75.947
2003-04-30,75.287
2003-05-31,74.734
2003-06-30,74.839
2003-07-31,75.096
2003-08-31,75.071
2003-09-30,74.802
2003-10-31,74.867
2003-11-30,74.924
2003-12-31,75.036
2004-01-31,76.356
2004-02-29,76.565
2004-03-31,75.668
2004-04-30,75.816
2004-05-31,76.646
2004-06-30,76.524
2004-07-31,77.109
2004-08-31,76.768
2004-09-30,76.571
2004-10-31,76.107
2004-11-30,75.568
2004-12-31,74.729
2005-01-31,74.679
2005-02-28,73.79
2005-03-31,73.386
2005-04-30,74.563
2005-05-31,74.071
2005-06-30,73.618
2005-07-31,73.816
2005-08-31,74.91
2005-09-30,75.786
2005-10-31,75.281
2005-11-30,73.998
2005-12-31,73.85
2006-01-31,73.384
2006-02-28,72.529
2006-03-31,72.556
2006-04-30,73.565
2006-05-31,73.395
2006-06-30,72.618
2006-07-31,73.412
2006-08-31,73.378
2006-09-30,73.347
2006-10-31,73.615
2006-11-30,72.485
2006-12-31,72.974
2007-01-31,72.395
2007-02-28,71.722
2007-03-31,71.2
2007-04-30,73.009
2007-05-31,74.418
2007-06-30,75.091
2007-07-31,75.785
2007-08-31,76.281
2007-09-30,75.156
2007-10-31,77.394
2007-11-30,77.453
2007-12-31,79.789
2008-01-31,78.869
2008-02-29,78.837
2008-03-31,78.39
2008-04-30,79.554
2008-05-31,80.199
2008-06-30,79.688
2008-07-31,79.185
2008-08-31,78.216
2008-09-30,77.807
2008-10-31,77.145
2008-11-30,75.921
2008-12-31,73.165
2009-01-31,73.526
2009-02-28,73.448
2009-03-31,72.523
2009-04-30,72.742
2009-05-31,74.113
2009-06-30,75.218
2009-07-31,76.229
2009-08-31,77.985
2009-09-30,77.684
2009-10-31,78.044
2009-11-30,78.438
2009-12-31,78.01
2010-01-31,78.71
2010-02-28,78.993
2010-03-31,79.831
2010-04-30,82.466
2010-05-31,85.229
2010-06-30,82.947
2010-07-31,84.343
2010-08-31,84.964
2010-09-30,84.768
2010-10-31,85.434
2010-11-30,85.814
2010-12-31,88.013
2011-01-31,93.135
2011-02-28,90.996
2011-03-31,90.491
2011-04-30,92.083
2011-05-31,91.577
2011-06-30,91.557
2011-07-31,94.048
2011-08-31,95.544
2011-09-30,94.447
2011-10-31,94.392
2011-11-30,95.716
2011-12-31,96.841
2012-01-31,96.386
2012-02-29,95.001
2012-03-31,98.289
2012-04-30,98.998
2012-05-31,99.959
2012-06-30,99.523
2012-07-31,99.372
2012-08-31,101.312
2012-09-30,103.506
2012-10-31,101.458
2012-11-30,101.656
2012-12-31,104.745
2013-01-31,104.556
2013-02-28,108.212
2013-03-31,105.103
2013-04-30,99.494
2013-05-31,97.119
2013-06-30,97.963
2013-07-31,101.032
2013-08-31,101.484
2013-09-30,101.94
2013-10-31,103.806
2013-11-30,104.609
2013-12-31,102.524
2014-01-31,101.393
2014-02-28,102.036
2014-03-31,102.641
2014-04-30,102.686
2014-05-31,101.021
2014-06-30,100.813
2014-07-31,100.617
2014-08-31,101.04
2014-09-30,100.825
2014-10-31,100.456
2014-11-30,99.94
2014-12-31,99.407
2015-01-31,98.289
2015-02-28,98.214
2015-03-31,99.864
2015-04-30,101.207
2015-05-31,101.882
2015-06-30,101.752
2015-07-31,100.72
2015-08-31,98.755
2015-09-30,98.656
2015-10-31,98.755
2015-11-30,98.791
2015-12-31,98.559
2016-01-31,96.792
2016-02-29,95.373
2016-03-31,95.576
2016-04-30,95.744
2016-05-31,96.033
2016-06-30,97.354
2016-07-31,97.241
2016-08-31,98.037
2016-09-30,98.143
2016-10-31,98.52
2016-11-30,98.53
2016-12-31,99.389
2017-01-31,99.526
2017-02-28,99.378
2017-03-31,99.854
2017-04-30,100.239
2017-05-31,99.655
2017-06-30,99.103
2017-07-31,99.206
2017-08-31,99.444
2017-09-30,99.18
2017-10-31,99.637
2017-11-30,101.085
2017-12-31,100.761
2018-01-31,100.244
2018-02-28,100.011
2018-03-31,99.348
2018-04-30,99.498
2018-05-31,99.691
2018-06-30,99.366
2018-07-31,98.893
2018-08-31,99.218
2018-09-30,99.033
2018-10-31,99.098
2018-11-30,98.304
2018-12-31,98.111
2019-01-31,98.055
2019-02-28,98.621
2019-03-31,98.892
2019-04-30,101.316
2019-05-31,101.517
2019-06-30,99.765
2019-07-31,99.328
2019-08-31,100.437
2019-09-30,99.847
2019-10-31,100.689
2019-11-30,100.427
2019-12-31,101.106
2020-01-31,102.14
2020-02-29,100.317
2020-03-31,98.972
2020-04-30,97.289
2020-05-31,96.684
2020-06-30,96.684
2020-07-31,97.981
2020-08-31,98.966
2020-09-30,100.318
2020-10-31,100.134
2020-11-30,100.026
2020-12-31,101.732
2021-01-31,102.806
2021-02-28,103.381
2021-03-31,104.564
2021-04-30,106.77
2021-05-31,107.347
2021-06-30,107.426
2021-07-31,107.386
2021-08-31,107.214
2021-09-30,108.665
2021-10-31,111.217
2021-11-30,114.197
2021-12-31,115.689
2022-01-31,115.823
2022-02-28,118.665
2022-03-31,124.117
2022-04-30,123.34
2022-05-31,123.984
2022-06-30,127.675
2022-07-31,127.787
2022-08-31,128.826
2022-09-30,129.304
2022-10-31,128.421
2022-11-30,131.168
2022-12-31,130.402
2023-01-31,129.642
2023-02-28,130.201
2023-03-31,131.763
2023-04-30,133.902
2023-05-31,131.389
2023-06-30,133.6
2023-07-31,132.476
2023-08-31,135.018
2023-09-30,137.496
2023-10-31,139.18
2023-11-30,134.873
2023-12-31,135.489
2024-01-31,132.578
2024-02-29,133.135
2024-03-31,132.981
2024-04-30,135.132
