date,value
1975-03-31,112.4
1975-06-30,110.7
1975-09-30,116.6
1975-12-31,123.4
1976-03-31,125.1
1976-06-30,120.7
1976-09-30,127.5
1976-12-31,135.4
1977-03-31,136.9
1977-06-30,137.2
1977-09-30,144.4
1977-12-31,154.3
1978-03-31,160.5
1978-06-30,158.3
1978-09-30,169.6
1978-12-31,179.7
1979-03-31,183.8
1979-06-30,187.7
1979-09-30,198.2
1979-12-31,220.5
1980-03-31,232.6
1980-06-30,237.7
1980-09-30,254.8
1980-12-31,273.8
1981-03-31,277.8
1981-06-30,282.5
1981-09-30,302.9
1981-12-31,318.7
1982-03-31,330.2
1982-06-30,327.3
1982-09-30,339.0
1982-12-31,351.6
1983-03-31,347.7
1983-06-30,343.9
1983-09-30,347.1
1983-12-31,360.7
1984-03-31,349.1
1984-06-30,348.3
1984-09-30,348.9
1984-12-31,364.2
1985-03-31,346.9
1985-06-30,344.1
1985-09-30,340.1
1985-12-31,357.6
1986-03-31,332.5
1986-06-30,329.7
1986-09-30,345.5
1986-12-31,359.5
1987-03-31,341.0
1987-06-30,351.1
1987-09-30,376.2
1987-12-31,402.9
1988-03-31,401.4
1988-06-30,410.4
1988-09-30,436.9
1988-12-31,471.1
1989-03-31,474.5
1989-06-30,491.7
1989-09-30,547.6
1989-12-31,587.5
1990-03-31,578.0
1990-06-30,574.5
1990-09-30,591.1
1990-12-31,627.8
1991-03-31,561.6
1991-06-30,601.2
1991-09-30,627.4
1991-12-31,656.6
1992-03-31,654.1
1992-06-30,641.7
1992-09-30,657.1
1992-12-31,678.9
1993-03-31,681.5
1993-06-30,684.2
1993-09-30,706.8
1993-12-31,750.7
1994-03-31,739.7
1994-06-30,713.2
1994-09-30,752.2
1994-12-31,784.6
1995-03-31,774.4
1995-06-30,778.0
1995-09-30,826.5
1995-12-31,860.9
1996-03-31,855.1
1996-06-30,837.8
1996-09-30,843.8
1996-12-31,905.1
1997-03-31,918.1
1997-06-30,914.9
1997-09-30,932.2
1997-12-31,955.4
1998-03-31,893.7
1998-06-30,856.8
1998-09-30,843.6
1998-12-31,890.9
1999-03-31,864.5
1999-06-30,895.6
1999-09-30,883.2
1999-12-31,947.7
2000-03-31,933.8
2000-06-30,928.7
2000-09-30,948.1
2000-12-31,995.1
2001-03-31,977.0
2001-06-30,964.2
2001-09-30,951.7
2001-12-31,943.3
2002-03-31,920.8
2002-06-30,915.5
2002-09-30,910.1
2002-12-31,948.4
2003-03-31,916.7
2003-06-30,711.0
2003-09-30,874.0
2003-12-31,972.4
2004-03-31,962.9
2004-06-30,946.5
2004-09-30,956.2
2004-12-31,992.1
2005-03-31,951.8
2005-06-30,985.5
2005-09-30,993.6
2005-12-31,1049.8
2006-03-31,1026.9
2006-06-30,1044.3
2006-09-30,1095.4
2006-12-31,1136.6
2007-03-31,1163.2
2007-06-30,1190.3
2007-09-30,1236.1
2007-12-31,1280.1
2008-03-31,1349.2
2008-06-30,1341.1
2008-09-30,1352.4
2008-12-31,1312.3
2009-03-31,1216.9
2009-06-30,1177.9
2009-09-30,1255.2
2009-12-31,1320.7
2010-03-31,1369.4
2010-06-30,1451.0
2010-09-30,1579.0
2010-12-31,1666.5
2011-03-31,1684.9
2011-06-30,1773.4
2011-09-30,1864.9
2011-12-31,1904.7
2012-03-31,1923.9
2012-06-30,1951.6
2012-09-30,1988.3
2012-12-31,1983.8
2013-03-31,2069.4
2013-06-30,2052.6
2013-09-30,2045.3
2013-12-31,2041.0
2014-03-31,2118.1
2014-06-30,2116.6
2014-09-30,2215.4
2014-12-31,2216.5
2015-03-31,2159.0
2015-06-30,2110.1
2015-09-30,2255.8
2015-12-31,2238.2
2016-03-31,2265.1
2016-06-30,2226.1
2016-09-30,2395.3
2016-12-31,2304.7
2017-03-31,2340.0
2017-06-30,2246.9
2017-09-30,2397.2
2017-12-31,2365.3
2018-03-31,2396.4
2018-06-30,2378.6
2018-09-30,2533.7
2018-12-31,2497.8
2019-03-31,2491.0
2019-06-30,2402.9
2019-09-30,2554.4
2019-12-31,2484.8
2020-03-31,1888.3
2020-06-30,1160.8
2020-09-30,1601.9
2020-12-31,1725.6
2021-03-31,1623.3
2021-06-30,1491.3
2021-09-30,1565.5
2021-12-31,1759.1
2022-03-31,1675.7
2022-06-30,2089.4
2022-09-30,2431.1
2022-12-31,2658.1
2023-03-31,2482.6
2023-06-30,2604.1
2023-09-30,2909.6
2023-12-31,2730.3
2024-03-31,2791.5
