date,value
1975-03-31,122.3
1975-06-30,113.0
1975-09-30,122.4
1975-12-31,130.1
1976-03-31,135.7
1976-06-30,126.8
1976-09-30,130.9
1976-12-31,142.7
1977-03-31,150.3
1977-06-30,142.9
1977-09-30,156.4
1977-12-31,156.9
1978-03-31,171.1
1978-06-30,160.5
1978-09-30,179.6
1978-12-31,178.9
1979-03-31,193.6
1979-06-30,187.1
1979-09-30,210.4
1979-12-31,225.1
1980-03-31,240.0
1980-06-30,220.7
1980-09-30,247.5
1980-12-31,251.7
1981-03-31,277.9
1981-06-30,249.8
1981-09-30,281.6
1981-12-31,283.6
1982-03-31,293.2
1982-06-30,281.2
1982-09-30,293.8
1982-12-31,321.8
1983-03-31,357.1
1983-06-30,332.1
1983-09-30,342.5
1983-12-31,374.7
1984-03-31,401.7
1984-06-30,368.6
1984-09-30,398.0
1984-12-31,392.2
1985-03-31,421.9
1985-06-30,355.5
1985-09-30,404.8
1985-12-31,356.2
1986-03-31,405.4
1986-06-30,305.9
1986-09-30,358.3
1986-12-31,376.8
1987-03-31,448.7
1987-06-30,363.0
1987-09-30,500.9
1987-12-31,498.3
1988-03-31,594.3
1988-06-30,490.9
1988-09-30,608.7
1988-12-31,689.2
1989-03-31,960.4
1989-06-30,620.6
1989-09-30,702.4
1989-12-31,898.4
1990-03-31,997.4
1990-06-30,773.3
1990-09-30,726.1
1990-12-31,770.8
1991-03-31,770.3
1991-06-30,751.6
1991-09-30,915.4
1991-12-31,951.7
1992-03-31,1086.5
1992-06-30,1022.4
1992-09-30,1114.0
1992-12-31,1068.8
1993-03-31,1339.1
1993-06-30,1294.4
1993-09-30,1447.3
1993-12-31,1482.9
1994-03-31,1779.6
1994-06-30,1660.9
1994-09-30,2169.2
1994-12-31,1920.0
1995-03-31,2332.1
1995-06-30,1953.7
1995-09-30,2104.8
1995-12-31,2003.9
1996-03-31,2143.0
1996-06-30,2105.0
1996-09-30,2182.7
1996-12-31,2010.0
1997-03-31,2094.7
1997-06-30,2620.8
1997-09-30,2409.3
1997-12-31,2042.9
1998-03-31,1846.6
1998-06-30,1946.2
1998-09-30,1881.9
1998-12-31,1611.6
1999-03-31,1655.3
1999-06-30,2206.9
1999-09-30,2522.1
1999-12-31,2352.6
2000-03-31,2638.6
2000-06-30,2947.3
2000-09-30,2896.2
2000-12-31,2755.8
2001-03-31,2567.7
2001-06-30,2505.6
2001-09-30,2282.4
2001-12-31,2207.9
2002-03-31,2208.1
2002-06-30,2315.6
2002-09-30,1973.1
2002-12-31,2130.0
2003-03-31,2248.2
2003-06-30,2403.5
2003-09-30,2194.0
2003-12-31,2281.7
2004-03-31,2607.3
2004-06-30,2156.3
2004-09-30,2340.2
2004-12-31,2590.4
2005-03-31,2586.7
2005-06-30,2243.1
2005-09-30,2162.8
2005-12-31,2503.6
2006-03-31,2521.1
2006-06-30,2409.1
2006-09-30,2294.2
2006-12-31,2647.0
2007-03-31,3325.5
2007-06-30,3752.8
2007-09-30,4312.8
2007-12-31,4128.7
2008-03-31,3640.5
2008-06-30,3742.2
2008-09-30,3764.1
2008-12-31,3085.2
2009-03-31,2786.3
2009-06-30,3369.2
2009-09-30,3776.3
2009-12-31,4009.8
2010-03-31,3976.4
2010-06-30,4622.4
2010-09-30,4650.9
2010-12-31,4683.4
2011-03-31,4797.3
2011-06-30,5163.4
2011-09-30,4966.7
2011-12-31,5039.7
2012-03-31,4764.3
2012-06-30,5526.9
2012-09-30,5109.8
2012-12-31,5751.3
2013-03-31,5296.3
2013-06-30,5870.9
2013-09-30,5379.4
2013-12-31,5624.2
2014-03-31,4948.1
2014-06-30,5614.8
2014-09-30,5474.6
2014-12-31,5711.6
2015-03-31,5695.3
2015-06-30,6217.6
2015-09-30,6180.1
2015-12-31,6163.7
2016-03-31,6654.7
2016-06-30,6388.8
2016-09-30,6791.0
2016-12-31,6747.9
2017-03-31,6876.3
2017-06-30,6803.5
2017-09-30,7227.8
2017-12-31,7966.2
2018-03-31,6842.4
2018-06-30,6903.1
2018-09-30,6275.9
2018-12-31,6587.4
2019-03-31,6383.8
2019-06-30,6412.8
2019-09-30,6560.7
2019-12-31,6787.1
2020-03-31,6184.5
2020-06-30,3270.4
2020-09-30,5802.9
2020-12-31,7013.0
2021-03-31,7145.9
2021-06-30,7282.7
2021-09-30,7526.8
2021-12-31,8460.6
2022-03-31,7404.5
2022-06-30,7979.5
2022-09-30,8045.6
2022-12-31,8375.1
2023-03-31,8315.9
2023-06-30,8136.3
2023-09-30,8894.8
2023-12-31,9144.2
2024-03-31,8200.7
