date,value
1975-03-31,3087.1
1975-06-30,3194.0
1975-09-30,3396.9
1975-12-31,3562.9
1976-03-31,3409.4
1976-06-30,3493.4
1976-09-30,3715.6
1976-12-31,3848.9
1977-03-31,3723.2
1977-06-30,3820.2
1977-09-30,4016.0
1977-12-31,4187.3
1978-03-31,4113.0
1978-06-30,4216.3
1978-09-30,4516.2
1978-12-31,4801.8
1979-03-31,4574.9
1979-06-30,4874.5
1979-09-30,5250.8
1979-12-31,5624.8
1980-03-31,5777.1
1980-06-30,6025.9
1980-09-30,6370.4
1980-12-31,6736.3
1981-03-31,6696.5
1981-06-30,7048.5
1981-09-30,7563.6
1981-12-31,7950.5
1982-03-31,7771.1
1982-06-30,7917.8
1982-09-30,8323.3
1982-12-31,8779.0
1983-03-31,8458.9
1983-06-30,8997.4
1983-09-30,9455.3
1983-12-31,9740.0
1984-03-31,9529.3
1984-06-30,9857.2
1984-09-30,10270.8
1984-12-31,10512.6
1985-03-31,10018.3
1985-06-30,9825.2
1985-09-30,9815.1
1985-12-31,9665.8
1986-03-31,9363.6
1986-06-30,9655.5
1986-09-30,9929.7
1986-12-31,10497.5
1987-03-31,9978.6
1987-06-30,10619.5
1987-09-30,11224.3
1987-12-31,11916.2
1988-03-31,11515.3
1988-06-30,12363.8
1988-09-30,13194.3
1988-12-31,13975.8
1989-03-31,12994.2
1989-06-30,14233.7
1989-09-30,15086.8
1989-12-31,15812.0
1990-03-31,15672.1
1990-06-30,16314.4
1990-09-30,17204.0
1990-12-31,18034.2
1991-03-31,17750.7
1991-06-30,18306.5
1991-09-30,19236.2
1991-12-31,19860.4
1992-03-31,18872.4
1992-06-30,19359.5
1992-09-30,20560.3
1992-12-31,21836.3
1993-03-31,21215.1
1993-06-30,22339.3
1993-09-30,23533.0
1993-12-31,25272.0
1994-03-31,24508.7
1994-06-30,25288.1
1994-09-30,26875.8
1994-12-31,28353.1
1995-03-31,26594.7
1995-06-30,28151.7
1995-09-30,29966.0
1995-12-31,31356.4
1996-03-31,30631.3
1996-06-30,31074.0
1996-09-30,31727.8
1996-12-31,33903.4
1997-03-31,32695.8
1997-06-30,34219.6
1997-09-30,35842.3
1997-12-31,36739.0
1998-03-31,34149.8
1998-06-30,33908.5
1998-09-30,34002.5
1998-12-31,34127.8
1999-03-31,32254.6
1999-06-30,33991.9
1999-09-30,34944.2
1999-12-31,36324.9
2000-03-31,35626.2
2000-06-30,37102.9
2000-09-30,40053.6
2000-12-31,41611.8
2001-03-31,38891.7
2001-06-30,37674.6
2001-09-30,37150.4
2001-12-31,37605.3
2002-03-31,38341.2
2002-06-30,39009.1
2002-09-30,39473.1
2002-12-31,40247.9
2003-03-31,39871.3
2003-06-30,37726.0
2003-09-30,40399.9
2003-12-31,42993.3
2004-03-31,44022.6
2004-06-30,44574.8
2004-09-30,46887.4
2004-12-31,49254.0
2005-03-31,47916.4
2005-06-30,48950.2
2005-09-30,51550.0
2005-12-31,54810.2
2006-03-31,53271.3
2006-06-30,54877.4
2006-09-30,57409.2
2006-12-31,60729.5
2007-03-31,60236.5
2007-06-30,63221.2
2007-09-30,65692.4
2007-12-31,68027.7
2008-03-31,65073.3
2008-06-30,64702.7
2008-09-30,66311.8
2008-12-31,63621.8
2009-03-31,61994.4
2009-06-30,64956.7
2009-09-30,68891.6
2009-12-31,72610.2
2010-03-31,73886.6
2010-06-30,76551.0
2010-09-30,77198.3
2010-12-31,81411.1
2011-03-31,81699.8
2011-06-30,81112.0
2011-09-30,83204.4
2011-12-31,85384.6
2012-03-31,86394.4
2012-06-30,87032.6
2012-09-30,85067.3
2012-12-31,89123.9
2013-03-31,88574.9
2013-06-30,89687.8
2013-09-30,90587.5
2013-12-31,93849.3
2014-03-31,92238.7
2014-06-30,92709.5
2014-09-30,94057.0
2014-12-31,98193.6
2015-03-31,97656.9
2015-06-30,98184.1
2015-09-30,100045.9
2015-12-31,103300.5
2016-03-31,99683.1
2016-06-30,101117.4
2016-09-30,103147.4
2016-12-31,110257.4
2017-03-31,108829.6
2017-06-30,107611.3
2017-09-30,110124.0
2017-12-31,118573.7
2018-03-31,114653.9
2018-06-30,117179.2
2018-09-30,122657.3
2018-12-31,127269.5
2019-03-31,120333.0
2019-06-30,120223.8
2019-09-30,122739.4
2019-12-31,124712.8
2020-03-31,120013.7
2020-06-30,105154.6
2020-09-30,113922.8
2020-12-31,120841.9
2021-03-31,128797.5
2021-06-30,135420.2
2021-09-30,139888.5
2021-12-31,148699.3
2022-03-31,156979.8
2022-06-30,169708.3
2022-09-30,165107.9
2022-12-31,163629.7
2023-03-31,152846.9
2023-06-30,159215.3
2023-09-30,159479.0
2023-12-31,167267.9
2024-03-31,163928.0
