date,value
1975-03-31,81.2
1975-06-30,83.5
1975-09-30,86.0
1975-12-31,86.7
1976-03-31,88.6
1976-06-30,89.3
1976-09-30,91.3
1976-12-31,92.9
1977-03-31,96.0
1977-06-30,98.1
1977-09-30,97.7
1977-12-31,100.1
1978-03-31,104.2
1978-06-30,105.1
1978-09-30,105.4
1978-12-31,106.2
1979-03-31,112.5
1979-06-30,113.8
1979-09-30,116.1
1979-12-31,116.8
1980-03-31,120.0
1980-06-30,120.2
1980-09-30,120.0
1980-12-31,120.9
1981-03-31,153.8
1981-06-30,156.3
1981-09-30,157.4
1981-12-31,160.7
1982-03-31,144.9
1982-06-30,147.5
1982-09-30,150.1
1982-12-31,157.7
1983-03-31,201.1
1983-06-30,206.6
1983-09-30,211.1
1983-12-31,225.3
1984-03-31,268.7
1984-06-30,278.6
1984-09-30,298.6
1984-12-31,309.7
1985-03-31,270.3
1985-06-30,323.2
1985-09-30,366.9
1985-12-31,386.3
1986-03-31,318.5
1986-06-30,323.6
1986-09-30,368.1
1986-12-31,407.4
1987-03-31,383.6
1987-06-30,441.3
1987-09-30,451.8
1987-12-31,465.4
1988-03-31,465.9
1988-06-30,466.9
1988-09-30,472.6
1988-12-31,525.8
1989-03-31,515.9
1989-06-30,544.7
1989-09-30,571.8
1989-12-31,613.5
1990-03-31,595.8
1990-06-30,610.6
1990-09-30,612.2
1990-12-31,602.6
1991-03-31,615.5
1991-06-30,654.5
1991-09-30,671.9
1991-12-31,676.4
1992-03-31,705.4
1992-06-30,718.0
1992-09-30,740.7
1992-12-31,741.5
1993-03-31,832.3
1993-06-30,839.7
1993-09-30,852.6
1993-12-31,860.6
1994-03-31,1029.6
1994-06-30,1044.6
1994-09-30,1044.7
1994-12-31,1059.6
1995-03-31,1141.8
1995-06-30,1177.4
1995-09-30,1208.1
1995-12-31,1241.6
1996-03-31,1303.9
1996-06-30,1327.7
1996-09-30,1363.9
1996-12-31,1390.6
1997-03-31,1443.2
1997-06-30,1462.7
1997-09-30,1495.7
1997-12-31,1511.3
1998-03-31,1576.9
1998-06-30,1567.4
1998-09-30,1554.1
1998-12-31,1517.7
1999-03-31,1457.7
1999-06-30,1431.5
1999-09-30,1412.3
1999-12-31,1413.8
2000-03-31,1395.6
2000-06-30,1426.9
2000-09-30,1455.1
2000-12-31,1480.5
2001-03-31,1492.2
2001-06-30,1509.3
2001-09-30,1509.4
2001-12-31,1509.6
2002-03-31,1440.1
2002-06-30,1402.4
2002-09-30,1414.6
2002-12-31,1451.8
2003-03-31,1501.1
2003-06-30,1500.8
2003-09-30,1494.6
2003-12-31,1484.7
2004-03-31,1456.4
2004-06-30,1416.1
2004-09-30,1437.1
2004-12-31,1454.0
2005-03-31,1529.1
2005-06-30,1566.9
2005-09-30,1610.9
2005-12-31,1610.9
2006-03-31,1731.8
2006-06-30,1749.5
2006-09-30,1743.7
2006-12-31,1787.2
2007-03-31,1829.2
2007-06-30,1934.5
2007-09-30,2057.1
2007-12-31,2122.5
2008-03-31,2287.2
2008-06-30,2419.2
2008-09-30,2649.3
2008-12-31,2810.5
2009-03-31,2605.7
2009-06-30,2567.0
2009-09-30,2571.8
2009-12-31,2607.2
2010-03-31,2657.1
2010-06-30,2772.1
2010-09-30,2867.9
2010-12-31,3050.0
2011-03-31,3155.8
2011-06-30,3345.4
2011-09-30,3482.6
2011-12-31,3621.1
2012-03-31,3725.4
2012-06-30,3879.4
2012-09-30,4012.6
2012-12-31,4131.9
2013-03-31,4230.2
2013-06-30,4304.2
2013-09-30,4343.1
2013-12-31,4373.5
2014-03-31,4382.1
2014-06-30,4424.1
2014-09-30,4471.7
2014-12-31,4519.3
2015-03-31,4529.7
2015-06-30,4539.9
2015-09-30,4532.0
2015-12-31,4498.5
2016-03-31,4416.2
2016-06-30,4384.4
2016-09-30,4395.5
2016-12-31,4393.3
2017-03-31,4324.3
2017-06-30,4337.5
2017-09-30,4356.2
2017-12-31,4418.2
2018-03-31,4357.0
2018-06-30,4426.3
2018-09-30,4466.4
2018-12-31,4501.3
2019-03-31,4570.4
2019-06-30,4588.5
2019-09-30,4617.2
2019-12-31,4676.9
2020-03-31,4660.7
2020-06-30,4679.3
2020-09-30,4701.0
2020-12-31,4741.7
2021-03-31,4697.7
2021-06-30,4703.9
2021-09-30,4728.4
2021-12-31,4782.9
2022-03-31,4955.2
2022-06-30,5050.8
2022-09-30,5175.9
2022-12-31,5317.8
2023-03-31,5410.6
2023-06-30,5729.5
2023-09-30,5898.9
2023-12-31,6079.8
2024-03-31,6360.5
