date,value
2005-03-31,2507.1
2005-06-30,2550.2
2005-09-30,2649.2
2005-12-31,2809.6
2006-03-31,2767.8
2006-06-30,2861.6
2006-09-30,3007.0
2006-12-31,3240.3
2007-03-31,3377.6
2007-06-30,3546.5
2007-09-30,3686.4
2007-12-31,3868.6
2008-03-31,4018.9
2008-06-30,3979.2
2008-09-30,4122.5
2008-12-31,4209.1
2009-03-31,4087.8
2009-06-30,3973.4
2009-09-30,4180.0
2009-12-31,4420.8
2010-03-31,4540.5
2010-06-30,4491.8
2010-09-30,4490.8
2010-12-31,4757.6
2011-03-31,4719.1
2011-06-30,4721.7
2011-09-30,4985.6
2011-12-31,5246.1
2012-03-31,5080.0
2012-06-30,5158.7
2012-09-30,5113.1
2012-12-31,5630.5
2013-03-31,5422.1
2013-06-30,5424.5
2013-09-30,5412.9
2013-12-31,5411.9
2014-03-31,5131.3
2014-06-30,5380.2
2014-09-30,5469.8
2014-12-31,6123.5
2015-03-31,5673.7
2015-06-30,5990.2
2015-09-30,6108.4
2015-12-31,6446.3
2016-03-31,5950.6
2016-06-30,6214.6
2016-09-30,6195.9
2016-12-31,6572.5
2017-03-31,6190.5
2017-06-30,6439.0
2017-09-30,6452.5
2017-12-31,6803.0
2018-03-31,6426.2
2018-06-30,6542.7
2018-09-30,6628.8
2018-12-31,7338.9
2019-03-31,7059.7
2019-06-30,7327.2
2019-09-30,7348.8
2019-12-31,7926.4
2020-03-31,7071.4
2020-06-30,6352.6
2020-09-30,6684.8
2020-12-31,7191.3
2021-03-31,6631.6
2021-06-30,7174.4
2021-09-30,7321.9
2021-12-31,8278.9
2022-03-31,7870.3
2022-06-30,8443.6
2022-09-30,8475.7
2022-12-31,9633.3
2023-03-31,8478.7
2023-06-30,9059.7
2023-09-30,8966.2
2023-12-31,9994.8
2024-03-31,8924.0
