date,value
2005-03-31,1147.8
2005-06-30,1100.6
2005-09-30,1113.9
2005-12-31,1223.0
2006-03-31,1216.5
2006-06-30,1187.1
2006-09-30,1161.8
2006-12-31,1281.8
2007-03-31,1292.7
2007-06-30,1298.7
2007-09-30,1237.7
2007-12-31,1368.3
2008-03-31,1355.1
2008-06-30,1315.7
2008-09-30,1316.9
2008-12-31,1358.4
2009-03-31,1329.2
2009-06-30,1313.6
2009-09-30,1344.3
2009-12-31,1429.5
2010-03-31,1394.3
2010-06-30,1326.9
2010-09-30,1383.7
2010-12-31,1546.9
2011-03-31,1510.8
2011-06-30,1545.5
2011-09-30,1554.5
2011-12-31,1720.4
2012-03-31,1657.9
2012-06-30,1572.6
2012-09-30,1581.3
2012-12-31,1720.1
2013-03-31,1664.7
2013-06-30,1634.0
2013-09-30,1586.0
2013-12-31,1723.7
2014-03-31,1720.9
2014-06-30,1651.2
2014-09-30,1682.5
2014-12-31,1840.6
2015-03-31,1799.7
2015-06-30,1765.0
2015-09-30,1781.4
2015-12-31,1932.3
2016-03-31,1900.8
2016-06-30,1849.1
2016-09-30,1845.7
2016-12-31,1996.1
2017-03-31,1934.2
2017-06-30,1874.6
2017-09-30,1876.3
2017-12-31,2092.7
2018-03-31,1984.3
2018-06-30,1957.8
2018-09-30,1926.3
2018-12-31,2072.1
2019-03-31,1962.1
2019-06-30,1848.0
2019-09-30,1828.1
2019-12-31,1940.2
2020-03-31,1706.6
2020-06-30,1033.9
2020-09-30,1629.2
2020-12-31,1810.7
2021-03-31,1772.0
2021-06-30,1645.3
2021-09-30,1706.9
2021-12-31,1964.3
2022-03-31,1915.7
2022-06-30,1966.7
2022-09-30,1967.2
2022-12-31,2172.9
2023-03-31,2017.6
2023-06-30,2015.4
2023-09-30,2031.2
2023-12-31,2197.4
2024-03-31,2105.7
