date,value
2005-03-31,371.4
2005-06-30,420.5
2005-09-30,451.0
2005-12-31,431.7
2006-03-31,443.6
2006-06-30,459.4
2006-09-30,437.8
2006-12-31,494.1
2007-03-31,473.2
2007-06-30,473.6
2007-09-30,472.6
2007-12-31,513.1
2008-03-31,485.4
2008-06-30,509.9
2008-09-30,534.8
2008-12-31,530.0
2009-03-31,483.9
2009-06-30,513.5
2009-09-30,494.7
2009-12-31,531.8
2010-03-31,661.9
2010-06-30,1234.5
2010-09-30,1325.9
2010-12-31,1392.8
2011-03-31,1382.4
2011-06-30,1435.1
2011-09-30,1542.5
2011-12-31,1416.5
2012-03-31,1602.5
2012-06-30,1396.6
2012-09-30,1278.1
2012-12-31,1441.6
2013-03-31,1343.9
2013-06-30,1401.6
2013-09-30,1540.7
2013-12-31,1341.3
2014-03-31,1485.0
2014-06-30,1510.3
2014-09-30,1292.2
2014-12-31,1488.7
2015-03-31,1378.1
2015-06-30,1315.8
2015-09-30,1405.0
2015-12-31,1218.9
2016-03-31,1195.3
2016-06-30,1303.9
2016-09-30,1383.2
2016-12-31,1375.0
2017-03-31,1391.8
2017-06-30,1548.1
2017-09-30,1477.6
2017-12-31,1561.1
2018-03-31,1647.2
2018-06-30,1421.7
2018-09-30,1545.3
2018-12-31,1457.6
2019-03-31,1532.3
2019-06-30,1542.9
2019-09-30,1578.9
2019-12-31,1559.9
2020-03-31,1274.2
2020-06-30,107.0
2020-09-30,824.5
2020-12-31,908.8
2021-03-31,946.2
2021-06-30,834.1
2021-09-30,735.4
2021-12-31,941.3
2022-03-31,974.5
2022-06-30,1155.3
2022-09-30,1358.6
2022-12-31,1291.1
2023-03-31,1442.8
2023-06-30,1457.3
2023-09-30,1657.7
2023-12-31,1681.0
2024-03-31,1829.0
