date,value
1975-03-31,697.1
1975-06-30,705.0
1975-09-30,749.8
1975-12-31,787.7
1976-03-31,790.4
1976-06-30,806.0
1976-09-30,840.9
1976-12-31,872.7
1977-03-31,895.3
1977-06-30,921.6
1977-09-30,932.8
1977-12-31,948.0
1978-03-31,1012.0
1978-06-30,1028.4
1978-09-30,1080.9
1978-12-31,1154.8
1979-03-31,1165.0
1979-06-30,1289.9
1979-09-30,1385.3
1979-12-31,1492.6
1980-03-31,1663.3
1980-06-30,1701.4
1980-09-30,1716.2
1980-12-31,1779.2
1981-03-31,1839.7
1981-06-30,1930.7
1981-09-30,2005.3
1981-12-31,2038.4
1982-03-31,1986.1
1982-06-30,1875.0
1982-09-30,1876.3
1982-12-31,1840.7
1983-03-31,1940.5
1983-06-30,2036.0
1983-09-30,2081.5
1983-12-31,2103.9
1984-03-31,2149.9
1984-06-30,2244.0
1984-09-30,2227.1
1984-12-31,2296.8
1985-03-31,2197.1
1985-06-30,2080.4
1985-09-30,2004.3
1985-12-31,1940.9
1986-03-31,2108.3
1986-06-30,2253.1
1986-09-30,2363.7
1986-12-31,2488.1
1987-03-31,2493.4
1987-06-30,2632.4
1987-09-30,2805.7
1987-12-31,3009.6
1988-03-31,3238.3
1988-06-30,3423.4
1988-09-30,3617.9
1988-12-31,3637.7
1989-03-31,3681.4
1989-06-30,3857.9
1989-09-30,3920.0
1989-12-31,4058.6
1990-03-31,4039.6
1990-06-30,4197.6
1990-09-30,4401.9
1990-12-31,4567.0
1991-03-31,5064.1
1991-06-30,4961.0
1991-09-30,5006.6
1991-12-31,4957.5
1992-03-31,4883.1
1992-06-30,4996.9
1992-09-30,5198.7
1992-12-31,5562.8
1993-03-31,5810.4
1993-06-30,5902.0
1993-09-30,6071.8
1993-12-31,6153.5
1994-03-31,6311.1
1994-06-30,6640.1
1994-09-30,6768.2
1994-12-31,6845.9
1995-03-31,6921.3
1995-06-30,7336.5
1995-09-30,7719.1
1995-12-31,7835.9
1996-03-31,8171.0
1996-06-30,7845.2
1996-09-30,7561.9
1996-12-31,7869.5
1997-03-31,7741.9
1997-06-30,8118.9
1997-09-30,8491.6
1997-12-31,8550.0
1998-03-31,8504.8
1998-06-30,8163.0
1998-09-30,8049.8
1998-12-31,7848.5
1999-03-31,7952.4
1999-06-30,8345.8
1999-09-30,8454.0
1999-12-31,8667.3
2000-03-31,9619.3
2000-06-30,10220.2
2000-09-30,11252.1
2000-12-31,11677.5
2001-03-31,10367.3
2001-06-30,9470.9
2001-09-30,8932.6
2001-12-31,9010.1
2002-03-31,9742.3
2002-06-30,10620.7
2002-09-30,10434.9
2002-12-31,10200.6
2003-03-31,10456.5
2003-06-30,10002.3
2003-09-30,10469.0
2003-12-31,11133.6
2004-03-31,12135.5
2004-06-30,12967.6
2004-09-30,13554.4
2004-12-31,13878.2
2005-03-31,13724.8
2005-06-30,14037.2
2005-09-30,14518.7
2005-12-31,15181.3
2006-03-31,15353.4
2006-06-30,15935.3
2006-09-30,15683.0
2006-12-31,15757.6
2007-03-31,16400.6
2007-06-30,16300.8
2007-09-30,16192.2
2007-12-31,16104.9
2008-03-31,15557.0
2008-06-30,14196.7
2008-09-30,14087.6
2008-12-31,12724.2
2009-03-31,12270.3
2009-06-30,13585.1
2009-09-30,15300.7
2009-12-31,16096.9
2010-03-31,16808.9
2010-06-30,17192.6
2010-09-30,16601.1
2010-12-31,17493.0
2011-03-31,17893.1
2011-06-30,16877.0
2011-09-30,16929.2
2011-12-31,17215.0
2012-03-31,18108.4
2012-06-30,18062.0
2012-09-30,17058.6
2012-12-31,17223.2
2013-03-31,16351.7
2013-06-30,16707.1
2013-09-30,17213.2
2013-12-31,17541.7
2014-03-31,17767.1
2014-06-30,17771.3
2014-09-30,18261.6
2014-12-31,17956.8
2015-03-31,19009.5
2015-06-30,19465.2
2015-09-30,19255.1
2015-12-31,18726.8
2016-03-31,18116.4
2016-06-30,19015.7
2016-09-30,19273.4
2016-12-31,20354.4
2017-03-31,21433.7
2017-06-30,21084.1
2017-09-30,21847.9
2017-12-31,23302.3
2018-03-31,24058.1
2018-06-30,26059.0
2018-09-30,27305.0
2018-12-31,27689.4
2019-03-31,26456.8
2019-06-30,25866.7
2019-09-30,24897.2
2019-12-31,22657.7
2020-03-31,26186.3
2020-06-30,22211.5
2020-09-30,24328.7
2020-12-31,22392.7
2021-03-31,28823.5
2021-06-30,30011.0
2021-09-30,30846.7
2021-12-31,28922.8
2022-03-31,35811.4
2022-06-30,36072.9
2022-09-30,33353.6
2022-12-31,30516.4
2023-03-31,31302.0
2023-06-30,29509.3
2023-09-30,29173.6
2023-12-31,28902.1
2024-03-31,31110.3
