date,value
2005-03-31,784.1
2005-06-30,795.1
2005-09-30,800.4
2005-12-31,824.5
2006-03-31,796.2
2006-06-30,829.3
2006-09-30,846.1
2006-12-31,865.0
2007-03-31,874.8
2007-06-30,895.9
2007-09-30,915.9
2007-12-31,938.8
2008-03-31,929.2
2008-06-30,946.2
2008-09-30,968.3
2008-12-31,979.1
2009-03-31,988.2
2009-06-30,999.9
2009-09-30,1007.0
2009-12-31,1019.7
2010-03-31,1033.8
2010-06-30,1046.4
2010-09-30,1059.3
2010-12-31,1065.9
2011-03-31,1097.5
2011-06-30,1122.5
2011-09-30,1140.8
2011-12-31,1160.6
2012-03-31,1171.8
2012-06-30,1188.9
2012-09-30,1209.2
2012-12-31,1224.4
2013-03-31,1230.4
2013-06-30,1240.9
2013-09-30,1248.2
2013-12-31,1260.4
2014-03-31,1263.5
2014-06-30,1280.0
2014-09-30,1299.9
2014-12-31,1329.8
2015-03-31,1368.8
2015-06-30,1372.7
2015-09-30,1379.1
2015-12-31,1395.1
2016-03-31,1434.8
2016-06-30,1452.8
2016-09-30,1478.1
2016-12-31,1485.3
2017-03-31,1491.4
2017-06-30,1508.7
2017-09-30,1531.9
2017-12-31,1542.1
2018-03-31,1526.6
2018-06-30,1554.0
2018-09-30,1582.6
2018-12-31,1615.3
2019-03-31,1650.9
2019-06-30,1688.2
2019-09-30,1715.9
2019-12-31,1687.5
2020-03-31,1630.7
2020-06-30,1202.6
2020-09-30,1393.8
2020-12-31,1392.4
2021-03-31,1468.3
2021-06-30,1401.4
2021-09-30,1427.1
2021-12-31,1456.6
2022-03-31,1505.6
2022-06-30,1552.6
2022-09-30,1580.8
2022-12-31,1624.2
2023-03-31,1662.6
2023-06-30,1688.7
2023-09-30,1713.8
2023-12-31,1742.9
2024-03-31,1786.0
