date,value
2005-03-31,6842.7
2005-06-30,7288.8
2005-09-30,7761.8
2005-12-31,8099.6
2006-03-31,8467.8
2006-06-30,8915.8
2006-09-30,9604.1
2006-12-31,10133.3
2007-03-31,10411.8
2007-06-30,11025.2
2007-09-30,11220.3
2007-12-31,11217.0
2008-03-31,10353.1
2008-06-30,10187.3
2008-09-30,10295.0
2008-12-31,8987.9
2009-03-31,10116.0
2009-06-30,11053.5
2009-09-30,11634.5
2009-12-31,12146.3
2010-03-31,12882.5
2010-06-30,13245.5
2010-09-30,13399.3
2010-12-31,14012.8
2011-03-31,14944.0
2011-06-30,15402.3
2011-09-30,15736.6
2011-12-31,15586.7
2012-03-31,15562.7
2012-06-30,15758.8
2012-09-30,14818.2
2012-12-31,14938.5
2013-03-31,15767.0
2013-06-30,15364.3
2013-09-30,15554.2
2013-12-31,15145.7
2014-03-31,14852.1
2014-06-30,14695.7
2014-09-30,14150.2
2014-12-31,14076.0
2015-03-31,14066.7
2015-06-30,14363.3
2015-09-30,14885.0
2015-12-31,14882.3
2016-03-31,14600.8
2016-06-30,16032.4
2016-09-30,17105.5
2016-12-31,18565.2
2017-03-31,19125.9
2017-06-30,18019.7
2017-09-30,17989.5
2017-12-31,19207.9
2018-03-31,19342.5
2018-06-30,20023.0
2018-09-30,21126.7
2018-12-31,20633.6
2019-03-31,20982.8
2019-06-30,20805.7
2019-09-30,21095.4
2019-12-31,21004.4
2020-03-31,20997.9
2020-06-30,20603.5
2020-09-30,20787.9
2020-12-31,21729.4
2021-03-31,24512.4
2021-06-30,26079.5
2021-09-30,26981.1
2021-12-31,28628.1
2022-03-31,30730.1
2022-06-30,34705.5
2022-09-30,34119.2
2022-12-31,32786.9
2023-03-31,30614.2
2023-06-30,34250.4
2023-09-30,36857.9
2023-12-31,39759.5
2024-03-31,35770.0
