date,value
1975-03-31,291.2
1975-06-30,303.2
1975-09-30,331.6
1975-12-31,335.6
1976-03-31,364.0
1976-06-30,357.9
1976-09-30,390.3
1976-12-31,404.6
1977-03-31,412.4
1977-06-30,409.3
1977-09-30,464.7
1977-12-31,491.6
1978-03-31,514.8
1978-06-30,514.6
1978-09-30,568.9
1978-12-31,589.5
1979-03-31,575.8
1979-06-30,582.7
1979-09-30,618.2
1979-12-31,643.6
1980-03-31,714.5
1980-06-30,695.3
1980-09-30,770.7
1980-12-31,778.1
1981-03-31,784.3
1981-06-30,824.5
1981-09-30,875.3
1981-12-31,898.7
1982-03-31,889.6
1982-06-30,902.4
1982-09-30,934.3
1982-12-31,936.2
1983-03-31,976.0
1983-06-30,1056.3
1983-09-30,1090.7
1983-12-31,1059.6
1984-03-31,1074.4
1984-06-30,1150.5
1984-09-30,1114.9
1984-12-31,1118.9
1985-03-31,1130.2
1985-06-30,1163.3
1985-09-30,1187.0
1985-12-31,1161.9
1986-03-31,1092.2
1986-06-30,1178.4
1986-09-30,1202.3
1986-12-31,1214.7
1987-03-31,1204.5
1987-06-30,1238.4
1987-09-30,1332.8
1987-12-31,1405.6
1988-03-31,1406.9
1988-06-30,1453.7
1988-09-30,1600.4
1988-12-31,1621.9
1989-03-31,1614.3
1989-06-30,1671.9
1989-09-30,1810.2
1989-12-31,1871.0
1990-03-31,1842.0
1990-06-30,1863.0
1990-09-30,1918.0
1990-12-31,1988.5
1991-03-31,1947.8
1991-06-30,2163.3
1991-09-30,2288.4
1991-12-31,2339.2
1992-03-31,2157.0
1992-06-30,2089.2
1992-09-30,2251.6
1992-12-31,2243.9
1993-03-31,2258.0
1993-06-30,2349.8
1993-09-30,2521.7
1993-12-31,2605.0
1994-03-31,2571.2
1994-06-30,2575.8
1994-09-30,2821.1
1994-12-31,2960.0
1995-03-31,2828.3
1995-06-30,2932.3
1995-09-30,3075.7
1995-12-31,3128.5
1996-03-31,2980.4
1996-06-30,3066.4
1996-09-30,3099.9
1996-12-31,3305.6
1997-03-31,3105.5
1997-06-30,3267.8
1997-09-30,3266.8
1997-12-31,3527.7
1998-03-31,3113.6
1998-06-30,3213.3
1998-09-30,3247.2
1998-12-31,3304.3
1999-03-31,3247.4
1999-06-30,3410.6
1999-09-30,3589.7
1999-12-31,3747.6
2000-03-31,3647.2
2000-06-30,3733.6
2000-09-30,3996.6
2000-12-31,4087.1
2001-03-31,3585.5
2001-06-30,3470.2
2001-09-30,3502.4
2001-12-31,3675.1
2002-03-31,3548.7
2002-06-30,3545.0
2002-09-30,3458.1
2002-12-31,3583.7
2003-03-31,3996.0
2003-06-30,3292.7
2003-09-30,4108.6
2003-12-31,4637.8
2004-03-31,4625.6
2004-06-30,4661.0
2004-09-30,4816.9
2004-12-31,5133.3
2005-03-31,5064.0
2005-06-30,5028.7
2005-09-30,5127.5
2005-12-31,5478.2
2006-03-31,5175.6
2006-06-30,4878.8
2006-09-30,5117.1
2006-12-31,5671.2
2007-03-31,5810.5
2007-06-30,5946.5
2007-09-30,6237.7
2007-12-31,6643.2
2008-03-31,6605.0
2008-06-30,6337.9
2008-09-30,6025.6
2008-12-31,6208.5
2009-03-31,5464.5
2009-06-30,5058.9
2009-09-30,5033.0
2009-12-31,5898.7
2010-03-31,6194.6
2010-06-30,6216.1
2010-09-30,6352.6
2010-12-31,6507.7
2011-03-31,5626.1
2011-06-30,5460.4
2011-09-30,5340.3
2011-12-31,5732.4
2012-03-31,5724.2
2012-06-30,5954.6
2012-09-30,5819.1
2012-12-31,6205.0
2013-03-31,5762.2
2013-06-30,6163.2
2013-09-30,6118.9
2013-12-31,6712.4
2014-03-31,6275.8
2014-06-30,6443.2
2014-09-30,6782.6
2014-12-31,7590.8
2015-03-31,7654.8
2015-06-30,7357.6
2015-09-30,7359.8
2015-12-31,7642.8
2016-03-31,6899.7
2016-06-30,6876.7
2016-09-30,6673.8
2016-12-31,7301.7
2017-03-31,7357.5
2017-06-30,7937.0
2017-09-30,7946.6
2017-12-31,8362.2
2018-03-31,7391.4
2018-06-30,7481.5
2018-09-30,7840.8
2018-12-31,8185.1
2019-03-31,7325.7
2019-06-30,7753.2
2019-09-30,7863.7
2019-12-31,8592.5
2020-03-31,7114.0
2020-06-30,6369.4
2020-09-30,7571.9
2020-12-31,8608.1
2021-03-31,10754.8
2021-06-30,11947.6
2021-09-30,13664.0
2021-12-31,16312.3
2022-03-31,20505.6
2022-06-30,22469.9
2022-09-30,20257.4
2022-12-31,15862.4
2023-03-31,12924.7
2023-06-30,12171.6
2023-09-30,9949.8
2023-12-31,8452.8
2024-03-31,13893.2
