date,value
1975-03-31,61.3
1975-06-30,71.2
1975-09-30,73.5
1975-12-31,83.2
1976-03-31,73.4
1976-06-30,76.8
1976-09-30,81.0
1976-12-31,83.8
1977-03-31,78.8
1977-06-30,82.5
1977-09-30,83.4
1977-12-31,89.9
1978-03-31,93.7
1978-06-30,95.8
1978-09-30,100.6
1978-12-31,106.1
1979-03-31,116.3
1979-06-30,109.1
1979-09-30,120.6
1979-12-31,123.4
1980-03-31,125.9
1980-06-30,161.6
1980-09-30,162.5
1980-12-31,155.9
1981-03-31,123.2
1981-06-30,128.4
1981-09-30,136.6
1981-12-31,146.2
1982-03-31,155.8
1982-06-30,161.1
1982-09-30,175.3
1982-12-31,180.6
1983-03-31,179.8
1983-06-30,197.7
1983-09-30,205.3
1983-12-31,197.5
1984-03-31,200.7
1984-06-30,210.9
1984-09-30,228.9
1984-12-31,215.4
1985-03-31,221.9
1985-06-30,224.0
1985-09-30,229.9
1985-12-31,208.6
1986-03-31,236.0
1986-06-30,294.0
1986-09-30,328.1
1986-12-31,305.3
1987-03-31,264.7
1987-06-30,253.9
1987-09-30,254.2
1987-12-31,273.8
1988-03-31,289.7
1988-06-30,307.7
1988-09-30,323.2
1988-12-31,328.4
1989-03-31,311.2
1989-06-30,291.9
1989-09-30,302.4
1989-12-31,311.9
1990-03-31,303.8
1990-06-30,344.6
1990-09-30,362.1
1990-12-31,312.4
1991-03-31,303.9
1991-06-30,344.2
1991-09-30,371.6
1991-12-31,343.6
1992-03-31,347.5
1992-06-30,367.4
1992-09-30,370.9
1992-12-31,339.3
1993-03-31,366.8
1993-06-30,404.8
1993-09-30,441.1
1993-12-31,441.0
1994-03-31,449.5
1994-06-30,456.9
1994-09-30,477.5
1994-12-31,444.4
1995-03-31,466.9
1995-06-30,501.7
1995-09-30,494.1
1995-12-31,553.0
1996-03-31,488.3
1996-06-30,579.8
1996-09-30,632.7
1996-12-31,606.7
1997-03-31,582.4
1997-06-30,676.7
1997-09-30,729.6
1997-12-31,724.2
1998-03-31,699.2
1998-06-30,753.6
1998-09-30,660.2
1998-12-31,685.8
1999-03-31,718.3
1999-06-30,661.5
1999-09-30,668.9
1999-12-31,600.1
2000-03-31,585.6
2000-06-30,595.9
2000-09-30,740.9
2000-12-31,812.9
2001-03-31,863.4
2001-06-30,901.1
2001-09-30,871.4
2001-12-31,817.3
2002-03-31,798.7
2002-06-30,781.9
2002-09-30,840.7
2002-12-31,848.4
2003-03-31,780.3
2003-06-30,800.7
2003-09-30,812.7
2003-12-31,868.1
2004-03-31,865.2
2004-06-30,855.8
2004-09-30,849.9
2004-12-31,852.2
2005-03-31,794.2
2005-06-30,791.9
2005-09-30,807.5
2005-12-31,808.5
2006-03-31,900.2
2006-06-30,913.8
2006-09-30,952.2
2006-12-31,941.8
2007-03-31,1058.2
2007-06-30,933.2
2007-09-30,948.3
2007-12-31,971.7
2008-03-31,955.1
2008-06-30,1065.7
2008-09-30,913.3
2008-12-31,1064.6
2009-03-31,861.0
2009-06-30,1047.8
2009-09-30,992.0
2009-12-31,1151.0
2010-03-31,1089.9
2010-06-30,1209.4
2010-09-30,1207.9
2010-12-31,1257.8
2011-03-31,1186.1
2011-06-30,1367.7
2011-09-30,1299.4
2011-12-31,1257.0
2012-03-31,1238.4
2012-06-30,1393.2
2012-09-30,1381.3
2012-12-31,1341.7
2013-03-31,1185.7
2013-06-30,1382.2
2013-09-30,1351.3
2013-12-31,1300.2
2014-03-31,1244.5
2014-06-30,1376.2
2014-09-30,1390.0
2014-12-31,1419.5
2015-03-31,1449.4
2015-06-30,1460.3
2015-09-30,1450.7
2015-12-31,1456.8
2016-03-31,1354.2
2016-06-30,1409.4
2016-09-30,1451.5
2016-12-31,1461.0
2017-03-31,1290.5
2017-06-30,1422.2
2017-09-30,1413.6
2017-12-31,1435.2
2018-03-31,1377.3
2018-06-30,1533.3
2018-09-30,1507.0
2018-12-31,1468.2
2019-03-31,1394.9
2019-06-30,1494.8
2019-09-30,1557.0
2019-12-31,1460.8
2020-03-31,1536.4
2020-06-30,1573.7
2020-09-30,1538.5
2020-12-31,1608.6
2021-03-31,1519.6
2021-06-30,1553.7
2021-09-30,1543.2
2021-12-31,1672.1
2022-03-31,1895.7
2022-06-30,1907.5
2022-09-30,1968.6
2022-12-31,2147.0
2023-03-31,2305.9
2023-06-30,2429.2
2023-09-30,2460.8
2023-12-31,2423.6
2024-03-31,2320.4
