date,value
1975-03-31,672.8
1975-06-30,704.9
1975-09-30,716.0
1975-12-31,724.8
1976-03-31,677.5
1976-06-30,711.0
1976-09-30,759.3
1976-12-31,783.2
1977-03-31,746.8
1977-06-30,777.6
1977-09-30,826.7
1977-12-31,870.6
1978-03-31,824.5
1978-06-30,832.1
1978-09-30,917.7
1978-12-31,946.4
1979-03-31,883.6
1979-06-30,919.2
1979-09-30,1020.7
1979-12-31,1058.9
1980-03-31,985.3
1980-06-30,1015.7
1980-09-30,1088.3
1980-12-31,1145.1
1981-03-31,1043.1
1981-06-30,1047.1
1981-09-30,1096.3
1981-12-31,1157.9
1982-03-31,1131.4
1982-06-30,1115.5
1982-09-30,1181.3
1982-12-31,1252.9
1983-03-31,1150.1
1983-06-30,1141.2
1983-09-30,1244.0
1983-12-31,1336.5
1984-03-31,1198.7
1984-06-30,1165.5
1984-09-30,1263.2
1984-12-31,1360.3
1985-03-31,1198.3
1985-06-30,1156.0
1985-09-30,1143.4
1985-12-31,1185.8
1986-03-31,1090.2
1986-06-30,1126.7
1986-09-30,1171.9
1986-12-31,1272.7
1987-03-31,1121.1
1987-06-30,1302.7
1987-09-30,1352.7
1987-12-31,1466.2
1988-03-31,1312.3
1988-06-30,1548.7
1988-09-30,1608.2
1988-12-31,1709.0
1989-03-31,1310.0
1989-06-30,1754.0
1989-09-30,1832.4
1989-12-31,1866.8
1990-03-31,2120.2
1990-06-30,2118.2
1990-09-30,2104.7
1990-12-31,2312.1
1991-03-31,2360.5
1991-06-30,2404.3
1991-09-30,2491.0
1991-12-31,2541.8
1992-03-31,2321.9
1992-06-30,2379.0
1992-09-30,2485.6
1992-12-31,2699.7
1993-03-31,2806.4
1993-06-30,2884.8
1993-09-30,3054.8
1993-12-31,3307.8
1994-03-31,3185.0
1994-06-30,3298.8
1994-09-30,3481.4
1994-12-31,3741.6
1995-03-31,3579.6
1995-06-30,3718.9
1995-09-30,3954.4
1995-12-31,4125.2
1996-03-31,4113.4
1996-06-30,4091.4
1996-09-30,4223.7
1996-12-31,4539.6
1997-03-31,4303.0
1997-06-30,4404.5
1997-09-30,4494.8
1997-12-31,4337.0
1998-03-31,4135.4
1998-06-30,4011.7
1998-09-30,3953.1
1998-12-31,4105.8
1999-03-31,4071.8
1999-06-30,4568.6
1999-09-30,4677.7
1999-12-31,5101.7
2000-03-31,4694.9
2000-06-30,5061.4
2000-09-30,5435.5
2000-12-31,5540.2
2001-03-31,5030.2
2001-06-30,5009.5
2001-09-30,4923.7
2001-12-31,5130.7
2002-03-31,5066.4
2002-06-30,5499.6
2002-09-30,5792.4
2002-12-31,5887.6
2003-03-31,5547.9
2003-06-30,5465.9
2003-09-30,5692.5
2003-12-31,6126.8
2004-03-31,6166.0
2004-06-30,6669.6
2004-09-30,7191.2
2004-12-31,7665.9
2005-03-31,7661.6
2005-06-30,8329.5
2005-09-30,9080.8
2005-12-31,9583.6
2006-03-31,9245.9
2006-06-30,10041.8
2006-09-30,11014.3
2006-12-31,11754.0
2007-03-31,11149.1
2007-06-30,12281.0
2007-09-30,12713.2
2007-12-31,12954.4
2008-03-31,11169.7
2008-06-30,11506.6
2008-09-30,11792.3
2008-12-31,10617.5
2009-03-31,10968.8
2009-06-30,12416.5
2009-09-30,13103.3
2009-12-31,13907.3
2010-03-31,13749.9
2010-06-30,14667.1
2010-09-30,14850.1
2010-12-31,15910.4
2011-03-31,15925.0
2011-06-30,17073.9
2011-09-30,17290.9
2011-12-31,17719.8
2012-03-31,16705.2
2012-06-30,17431.9
2012-09-30,16369.3
2012-12-31,17131.4
2013-03-31,16877.8
2013-06-30,17053.5
2013-09-30,17083.0
2013-12-31,17481.0
2014-03-31,15996.3
2014-06-30,16323.2
2014-09-30,15783.0
2014-12-31,16622.0
2015-03-31,15246.5
2015-06-30,16041.1
2015-09-30,16626.7
2015-12-31,17670.2
2016-03-31,15802.2
2016-06-30,17718.0
2016-09-30,18951.0
2016-12-31,21698.4
2017-03-31,20055.2
2017-06-30,19726.0
2017-09-30,19904.3
2017-12-31,22452.3
2018-03-31,20244.0
2018-06-30,21893.7
2018-09-30,23122.9
2018-12-31,23884.9
2019-03-31,21617.1
2019-06-30,22794.6
2019-09-30,23001.3
2019-12-31,24065.4
2020-03-31,21169.8
2020-06-30,22063.5
2020-09-30,22461.8
2020-12-31,24703.9
2021-03-31,24157.2
2021-06-30,28662.9
2021-09-30,28630.8
2021-12-31,32227.3
2022-03-31,29609.7
2022-06-30,38325.9
2022-09-30,35820.6
2022-12-31,37055.5
2023-03-31,29292.4
2023-06-30,38151.6
2023-09-30,38452.0
2023-12-31,44710.6
2024-03-31,33775.0
