date,value
1975-03-31,6705.5
1975-06-30,6917.5
1975-09-30,7271.0
1975-12-31,7418.2
1976-03-31,7266.6
1976-06-30,7430.5
1976-09-30,7814.1
1976-12-31,7946.1
1977-03-31,7719.7
1977-06-30,7988.5
1977-09-30,8291.6
1977-12-31,8529.6
1978-03-31,8140.5
1978-06-30,8489.0
1978-09-30,9033.2
1978-12-31,9410.7
1979-03-31,8933.3
1979-06-30,9396.6
1979-09-30,9753.4
1979-12-31,10293.1
1980-03-31,9926.1
1980-06-30,10365.7
1980-09-30,10764.4
1980-12-31,11198.0
1981-03-31,10978.4
1981-06-30,11570.1
1981-09-30,11979.5
1981-12-31,12363.2
1982-03-31,11990.2
1982-06-30,12400.9
1982-09-30,12766.0
1982-12-31,13064.4
1983-03-31,12880.4
1983-06-30,13394.5
1983-09-30,13873.3
1983-12-31,14390.7
1984-03-31,14300.1
1984-06-30,14736.0
1984-09-30,15106.7
1984-12-31,15271.4
1985-03-31,14866.6
1985-06-30,14738.7
1985-09-30,14742.4
1985-12-31,14684.2
1986-03-31,14278.3
1986-06-30,14757.0
1986-09-30,15161.9
1986-12-31,15637.3
1987-03-31,15437.5
1987-06-30,16253.5
1987-09-30,16987.3
1987-12-31,17553.5
1988-03-31,17177.5
1988-06-30,18194.2
1988-09-30,18937.6
1988-12-31,19390.3
1989-03-31,18773.5
1989-06-30,20238.9
1989-09-30,20810.3
1989-12-31,21098.4
1990-03-31,21296.9
1990-06-30,21964.8
1990-09-30,22628.5
1990-12-31,23087.3
1991-03-31,22925.9
1991-06-30,23509.5
1991-09-30,24237.0
1991-12-31,24556.6
1992-03-31,24096.6
1992-06-30,24750.9
1992-09-30,25891.3
1992-12-31,26707.3
1993-03-31,26305.2
1993-06-30,27791.6
1993-09-30,28886.6
1993-12-31,30004.2
1994-03-31,29905.1
1994-06-30,30782.9
1994-09-30,32333.2
1994-12-31,32804.8
1995-03-31,31329.8
1995-06-30,33093.3
1995-09-30,35141.4
1995-12-31,35440.0
1996-03-31,35217.1
1996-06-30,35910.9
1996-09-30,36592.8
1996-12-31,37653.2
1997-03-31,37283.6
1997-06-30,39274.1
1997-09-30,40713.7
1997-12-31,40291.6
1998-03-31,37869.9
1998-06-30,38634.0
1998-09-30,38804.2
1998-12-31,39421.1
1999-03-31,38894.4
1999-06-30,40667.3
1999-09-30,41822.5
1999-12-31,41994.2
2000-03-31,42246.8
2000-06-30,43842.5
2000-09-30,45847.5
2000-12-31,46147.5
2001-03-31,44656.4
2001-06-30,44315.4
2001-09-30,43685.7
2001-12-31,43928.3
2002-03-31,44249.3
2002-06-30,46099.3
2002-09-30,46728.1
2002-12-31,46726.9
2003-03-31,46067.1
2003-06-30,45960.1
2003-09-30,49172.3
2003-12-31,50888.0
2004-03-31,50629.4
2004-06-30,52304.8
2004-09-30,53251.8
2004-12-31,54875.4
2005-03-31,53493.5
2005-06-30,55579.9
2005-09-30,57827.2
2005-12-31,59978.7
2006-03-31,59028.5
2006-06-30,60425.4
2006-09-30,62806.3
2006-12-31,65165.2
2007-03-31,63877.9
2007-06-30,66056.1
2007-09-30,69399.6
2007-12-31,69349.0
2008-03-31,70018.0
2008-06-30,68995.3
2008-09-30,69966.2
2008-12-31,67487.0
2009-03-31,64674.6
2009-06-30,68161.2
2009-09-30,71862.1
2009-12-31,71930.8
2010-03-31,75266.1
2010-06-30,81319.9
2010-09-30,79723.8
2010-12-31,81839.9
2011-03-31,82712.8
2011-06-30,83864.5
2011-09-30,86230.3
2011-12-31,86669.3
2012-03-31,86645.9
2012-06-30,89332.5
2012-09-30,88090.2
2012-12-31,90732.4
2013-03-31,90172.6
2013-06-30,93692.9
2013-09-30,93970.1
2013-12-31,95987.8
2014-03-31,94397.9
2014-06-30,97125.5
2014-09-30,97644.3
2014-12-31,100256.3
2015-03-31,96992.4
2015-06-30,99819.9
2015-09-30,100806.9
2015-12-31,101568.2
2016-03-31,99443.0
2016-06-30,102045.4
2016-09-30,103153.5
2016-12-31,106418.2
2017-03-31,103685.7
2017-06-30,106027.0
2017-09-30,108846.3
2017-12-31,110567.0
2018-03-31,108847.6
2018-06-30,110989.2
2018-09-30,112509.3
2018-12-31,113235.9
2019-03-31,110553.2
2019-06-30,112810.3
2019-09-30,113407.6
2019-12-31,114429.7
2020-03-31,112236.4
2020-06-30,101598.2
2020-09-30,109020.9
2020-12-31,113915.1
2021-03-31,117279.3
2021-06-30,118118.4
2021-09-30,119741.0
2021-12-31,123528.5
2022-03-31,123082.5
2022-06-30,124043.7
2022-09-30,125179.7
2022-12-31,127243.9
2023-03-31,123739.3
2023-06-30,124756.7
2023-09-30,126244.4
2023-12-31,129772.6
2024-03-31,127256.5
