date,value
1975-03-31,83.2
1975-06-30,85.8
1975-09-30,88.3
1975-12-31,96.4
1976-03-31,95.7
1976-06-30,96.8
1976-09-30,97.8
1976-12-31,98.4
1977-03-31,98.2
1977-06-30,98.8
1977-09-30,96.8
1977-12-31,99.0
1978-03-31,91.9
1978-06-30,93.3
1978-09-30,94.5
1978-12-31,98.9
1979-03-31,91.1
1979-06-30,95.7
1979-09-30,96.2
1979-12-31,102.9
1980-03-31,91.8
1980-06-30,95.9
1980-09-30,98.4
1980-12-31,104.8
1981-03-31,100.0
1981-06-30,97.6
1981-09-30,99.3
1981-12-31,105.3
1982-03-31,98.2
1982-06-30,97.3
1982-09-30,103.5
1982-12-31,107.0
1983-03-31,107.8
1983-06-30,106.0
1983-09-30,106.5
1983-12-31,111.0
1984-03-31,103.9
1984-06-30,110.7
1984-09-30,111.8
1984-12-31,118.1
1985-03-31,108.8
1985-06-30,100.1
1985-09-30,97.8
1985-12-31,93.0
1986-03-31,87.4
1986-06-30,85.6
1986-09-30,87.2
1986-12-31,88.7
1987-03-31,82.0
1987-06-30,81.5
1987-09-30,78.5
1987-12-31,77.4
1988-03-31,67.0
1988-06-30,67.3
1988-09-30,67.0
1988-12-31,70.1
1989-03-31,65.9
1989-06-30,60.1
1989-09-30,64.7
1989-12-31,68.0
1990-03-31,63.5
1990-06-30,57.4
1990-09-30,56.0
1990-12-31,60.6
1991-03-31,53.4
1991-06-30,54.2
1991-09-30,55.0
1991-12-31,55.1
1992-03-31,54.7
1992-06-30,51.1
1992-09-30,50.1
1992-12-31,51.9
1993-03-31,49.0
1993-06-30,48.8
1993-09-30,50.2
1993-12-31,50.9
1994-03-31,50.7
1994-06-30,50.6
1994-09-30,51.0
1994-12-31,53.0
1995-03-31,47.1
1995-06-30,47.4
1995-09-30,48.9
1995-12-31,51.8
1996-03-31,49.6
1996-06-30,49.9
1996-09-30,49.9
1996-12-31,51.9
1997-03-31,48.7
1997-06-30,51.2
1997-09-30,47.2
1997-12-31,49.3
1998-03-31,45.5
1998-06-30,42.9
1998-09-30,43.5
1998-12-31,45.3
1999-03-31,39.9
1999-06-30,43.6
1999-09-30,45.2
1999-12-31,46.7
2000-03-31,41.7
2000-06-30,39.8
2000-09-30,42.6
2000-12-31,40.8
2001-03-31,37.5
2001-06-30,36.4
2001-09-30,35.4
2001-12-31,34.4
2002-03-31,31.7
2002-06-30,29.5
2002-09-30,29.1
2002-12-31,28.7
2003-03-31,28.1
2003-06-30,25.9
2003-09-30,27.4
2003-12-31,27.7
2004-03-31,26.9
2004-06-30,25.3
2004-09-30,29.9
2004-12-31,27.0
2005-03-31,30.3
2005-06-30,27.1
2005-09-30,29.2
2005-12-31,30.0
2006-03-31,30.6
2006-06-30,28.2
2006-09-30,27.4
2006-12-31,32.4
2007-03-31,32.2
2007-06-30,29.0
2007-09-30,27.8
2007-12-31,29.6
2008-03-31,30.9
2008-06-30,28.1
2008-09-30,26.6
2008-12-31,26.1
2009-03-31,31.0
2009-06-30,26.5
2009-09-30,27.0
2009-12-31,31.5
2010-03-31,29.8
2010-06-30,30.4
2010-09-30,29.7
2010-12-31,29.3
2011-03-31,32.6
2011-06-30,30.1
2011-09-30,29.4
2011-12-31,32.1
2012-03-31,32.0
2012-06-30,32.9
2012-09-30,32.8
2012-12-31,31.9
2013-03-31,34.0
2013-06-30,32.8
2013-09-30,34.3
2013-12-31,33.1
2014-03-31,35.1
2014-06-30,34.2
2014-09-30,35.9
2014-12-31,33.4
2015-03-31,35.1
2015-06-30,34.0
2015-09-30,35.5
2015-12-31,33.5
2016-03-31,35.5
2016-06-30,35.1
2016-09-30,32.6
2016-12-31,34.3
2017-03-31,34.3
2017-06-30,34.0
2017-09-30,38.8
2017-12-31,34.4
2018-03-31,34.4
2018-06-30,35.5
2018-09-30,38.3
2018-12-31,37.7
2019-03-31,37.7
2019-06-30,36.6
2019-09-30,42.1
2019-12-31,39.6
2020-03-31,37.8
2020-06-30,30.6
2020-09-30,38.9
2020-12-31,42.1
2021-03-31,39.3
2021-06-30,40.9
2021-09-30,42.5
2021-12-31,43.6
2022-03-31,37.4
2022-06-30,37.2
2022-09-30,38.9
2022-12-31,40.1
2023-03-31,37.4
2023-06-30,37.3
2023-09-30,40.9
2023-12-31,42.0
2024-03-31,38.4
