date,value
2005-03-31,976.1
2005-06-30,993.5
2005-09-30,1006.5
2005-12-31,1015.4
2006-03-31,1011.0
2006-06-30,1034.9
2006-09-30,1048.0
2006-12-31,1054.2
2007-03-31,1065.8
2007-06-30,1077.6
2007-09-30,1095.7
2007-12-31,1112.3
2008-03-31,1097.9
2008-06-30,1106.0
2008-09-30,1116.2
2008-12-31,1128.3
2009-03-31,1128.3
2009-06-30,1135.9
2009-09-30,1140.2
2009-12-31,1152.7
2010-03-31,1160.0
2010-06-30,1173.4
2010-09-30,1174.0
2010-12-31,1175.7
2011-03-31,1188.5
2011-06-30,1201.9
2011-09-30,1215.4
2011-12-31,1228.9
2012-03-31,1246.1
2012-06-30,1251.7
2012-09-30,1262.9
2012-12-31,1277.8
2013-03-31,1290.4
2013-06-30,1302.9
2013-09-30,1305.0
2013-12-31,1307.8
2014-03-31,1303.2
2014-06-30,1307.4
2014-09-30,1317.9
2014-12-31,1340.0
2015-03-31,1360.4
2015-06-30,1371.8
2015-09-30,1384.6
2015-12-31,1399.3
2016-03-31,1411.1
2016-06-30,1425.8
2016-09-30,1436.3
2016-12-31,1448.4
2017-03-31,1454.6
2017-06-30,1467.0
2017-09-30,1476.3
2017-12-31,1483.7
2018-03-31,1484.4
2018-06-30,1499.7
2018-09-30,1516.4
2018-12-31,1543.6
2019-03-31,1589.4
2019-06-30,1610.0
2019-09-30,1612.5
2019-12-31,1592.9
2020-03-31,1544.9
2020-06-30,1130.7
2020-09-30,1292.7
2020-12-31,1307.8
2021-03-31,1379.8
2021-06-30,1310.0
2021-09-30,1315.5
2021-12-31,1350.6
2022-03-31,1411.8
2022-06-30,1430.7
2022-09-30,1419.5
2022-12-31,1475.9
2023-03-31,1504.7
2023-06-30,1505.6
2023-09-30,1498.5
2023-12-31,1548.5
2024-03-31,1582.3
