date,value
1975-03-31,356.2
1975-06-30,362.5
1975-09-30,370.3
1975-12-31,374.2
1976-03-31,379.1
1976-06-30,381.0
1976-09-30,389.2
1976-12-31,397.1
1977-03-31,402.4
1977-06-30,410.7
1977-09-30,410.7
1977-12-31,420.9
1978-03-31,421.9
1978-06-30,425.4
1978-09-30,427.0
1978-12-31,428.7
1979-03-31,455.0
1979-06-30,460.5
1979-09-30,461.4
1979-12-31,463.5
1980-03-31,485.1
1980-06-30,485.1
1980-09-30,484.7
1980-12-31,483.0
1981-03-31,621.0
1981-06-30,632.9
1981-09-30,641.0
1981-12-31,642.2
1982-03-31,604.9
1982-06-30,597.7
1982-09-30,604.6
1982-12-31,621.5
1983-03-31,850.6
1983-06-30,850.2
1983-09-30,862.6
1983-12-31,918.0
1984-03-31,1119.2
1984-06-30,1176.1
1984-09-30,1223.0
1984-12-31,1254.8
1985-03-31,1340.4
1985-06-30,1300.2
1985-09-30,1377.6
1985-12-31,1485.3
1986-03-31,1495.4
1986-06-30,1545.5
1986-09-30,1590.8
1986-12-31,1601.3
1987-03-31,1689.0
1987-06-30,1714.5
1987-09-30,1697.1
1987-12-31,1748.3
1988-03-31,1795.8
1988-06-30,1809.8
1988-09-30,1803.4
1988-12-31,1882.6
1989-03-31,1951.7
1989-06-30,1958.9
1989-09-30,1944.1
1989-12-31,1976.3
1990-03-31,1949.9
1990-06-30,1950.5
1990-09-30,1975.5
1990-12-31,1985.9
1991-03-31,1991.4
1991-06-30,1994.0
1991-09-30,2017.7
1991-12-31,2015.8
1992-03-31,2014.7
1992-06-30,2016.3
1992-09-30,2043.2
1992-12-31,2029.4
1993-03-31,2074.4
1993-06-30,2089.9
1993-09-30,2117.6
1993-12-31,2138.0
1994-03-31,2155.0
1994-06-30,2184.1
1994-09-30,2211.7
1994-12-31,2247.3
1995-03-31,2253.6
1995-06-30,2260.3
1995-09-30,2284.4
1995-12-31,2311.4
1996-03-31,2317.3
1996-06-30,2333.9
1996-09-30,2364.5
1996-12-31,2385.9
1997-03-31,2413.6
1997-06-30,2431.8
1997-09-30,2469.2
1997-12-31,2527.3
1998-03-31,2618.2
1998-06-30,2658.2
1998-09-30,2722.7
1998-12-31,2774.1
1999-03-31,2826.6
1999-06-30,2886.6
1999-09-30,2957.6
1999-12-31,3023.6
2000-03-31,3070.7
2000-06-30,3110.2
2000-09-30,3163.5
2000-12-31,3215.5
2001-03-31,3238.5
2001-06-30,3222.0
2001-09-30,3232.4
2001-12-31,3264.1
2002-03-31,3361.3
2002-06-30,3387.9
2002-09-30,3411.0
2002-12-31,3449.7
2003-03-31,3443.4
2003-06-30,3447.6
2003-09-30,3430.6
2003-12-31,3413.5
2004-03-31,3444.1
2004-06-30,3486.7
2004-09-30,3501.3
2004-12-31,3525.1
2005-03-31,3528.6
2005-06-30,3541.5
2005-09-30,3568.5
2005-12-31,3581.7
2006-03-31,3610.8
2006-06-30,3623.6
2006-09-30,3630.1
2006-12-31,3631.7
2007-03-31,3646.2
2007-06-30,3658.0
2007-09-30,3648.5
2007-12-31,3629.4
2008-03-31,3636.2
2008-06-30,3648.8
2008-09-30,3683.2
2008-12-31,3729.0
2009-03-31,3736.5
2009-06-30,3739.5
2009-09-30,3718.7
2009-12-31,3702.8
2010-03-31,3738.5
2010-06-30,3740.5
2010-09-30,3730.0
2010-12-31,3728.0
2011-03-31,3805.1
2011-06-30,3843.9
2011-09-30,3859.9
2011-12-31,3909.0
2012-03-31,3952.4
2012-06-30,3999.0
2012-09-30,4057.0
2012-12-31,4101.4
2013-03-31,4137.4
2013-06-30,4153.0
2013-09-30,4166.8
2013-12-31,4205.3
2014-03-31,4255.7
2014-06-30,4293.6
2014-09-30,4351.9
2014-12-31,4403.4
2015-03-31,4464.1
2015-06-30,4498.7
2015-09-30,4550.1
2015-12-31,4587.2
2016-03-31,4665.9
2016-06-30,4700.6
2016-09-30,4767.4
2016-12-31,4810.8
2017-03-31,4877.0
2017-06-30,4917.0
2017-09-30,4962.8
2017-12-31,5032.6
2018-03-31,5103.6
2018-06-30,5165.2
2018-09-30,5210.6
2018-12-31,5257.9
2019-03-31,5346.2
2019-06-30,5382.8
2019-09-30,5423.6
2019-12-31,5473.1
2020-03-31,5508.2
2020-06-30,5479.8
2020-09-30,5455.0
2020-12-31,5434.8
2021-03-31,5403.8
2021-06-30,5503.9
2021-09-30,5494.7
2021-12-31,5504.3
2022-03-31,5413.5
2022-06-30,5515.2
2022-09-30,5524.3
2022-12-31,5549.0
2023-03-31,5504.2
2023-06-30,5631.1
2023-09-30,5630.7
2023-12-31,5688.9
2024-03-31,5769.4
